target,wind_bin,wind_mid,rows,fail8_rate,boundary_6_10_rate,near_support_10_16_actual_rate,mean_actual_ratio
kpx_group_1,"(0.13999999999999999, 5.396]",3.7810498291797323,586,0.24914675767918087,0.1296928327645051,0.4726962457337884,0.20376237493679686
kpx_group_1,"(5.396, 6.881]",6.1871543124152515,524,0.4198473282442748,0.183206106870229,0.2748091603053435,0.2723163806721798
kpx_group_1,"(6.881, 8.155]",7.511291869579871,505,0.5247524752475248,0.1504950495049505,0.1782178217821782,0.3173276242207554
kpx_group_1,"(8.155, 9.348]",8.73518545975778,482,0.6307053941908713,0.16597510373443983,0.0954356846473029,0.3929219017980636
kpx_group_1,"(9.348, 10.606]",10.001658388206643,488,0.6844262295081968,0.16598360655737704,0.04918032786885246,0.48293539086217363
kpx_group_1,"(10.606, 11.92]",11.241161189678559,485,0.622680412371134,0.14845360824742268,0.03505154639175258,0.5481545130775104
kpx_group_1,"(11.92, 13.291]",12.571274390951794,484,0.5971074380165289,0.1921487603305785,0.012396694214876033,0.6292865438475665
kpx_group_1,"(13.291, 15.071]",14.119128308061534,480,0.5416666666666666,0.18958333333333333,0.010416666666666666,0.683071734375
kpx_group_1,"(15.071, 17.398]",16.108214230778028,475,0.5031578947368421,0.18947368421052632,0.002105263157894737,0.737941046491228
kpx_group_1,"(17.398, 27.438]",19.820968137612127,480,0.43333333333333335,0.20625,0.0,0.8016590268132716
kpx_group_2,"(0.13999999999999999, 5.396]",3.7352699944590966,565,0.26902654867256637,0.1079646017699115,0.4194690265486726,0.2121334269911504
kpx_group_2,"(5.396, 6.881]",6.170489498287525,506,0.4150197628458498,0.16996047430830039,0.2450592885375494,0.28335064640974966
kpx_group_2,"(6.881, 8.155]",7.515593131629079,493,0.5699797160243407,0.18864097363083165,0.16024340770791076,0.33826415436481105
kpx_group_2,"(8.155, 9.348]",8.734139126378297,489,0.6175869120654397,0.15132924335378323,0.10224948875255624,0.4202208465878967
kpx_group_2,"(9.348, 10.606]",10.004524485620328,489,0.7055214723926381,0.14314928425357873,0.05725971370143149,0.5090600532076043
kpx_group_2,"(10.606, 11.92]",11.239799288083093,493,0.6389452332657201,0.1947261663286004,0.04665314401622718,0.5645572698332206
kpx_group_2,"(11.92, 13.291]",12.571399694156785,486,0.602880658436214,0.1748971193415638,0.006172839506172839,0.6465903425544886
kpx_group_2,"(13.291, 15.071]",14.12761781294958,488,0.5573770491803278,0.16393442622950818,0.02459016393442623,0.687308725808288
kpx_group_2,"(15.071, 17.398]",16.101165884216865,487,0.48459958932238195,0.16837782340862423,0.024640657084188913,0.7316192112518062
kpx_group_2,"(17.398, 27.438]",19.820968137612127,480,0.34791666666666665,0.20208333333333334,0.008333333333333333,0.8030623783757717
kpx_group_3,"(0.13999999999999999, 5.396]",3.875408436452951,305,0.20655737704918034,0.11475409836065574,0.5180327868852459,0.19326211288056205
kpx_group_3,"(5.396, 6.881]",6.18231951037842,423,0.30260047281323876,0.19858156028368795,0.3546099290780142,0.23265445840369242
kpx_group_3,"(6.881, 8.155]",7.524648572548839,455,0.46593406593406594,0.16923076923076924,0.23516483516483516,0.27989048623757196
kpx_group_3,"(8.155, 9.348]",8.729731017809994,482,0.6224066390041494,0.18049792531120332,0.14937759336099585,0.3481903094250148
kpx_group_3,"(9.348, 10.606]",10.006032020441687,476,0.6785714285714286,0.14915966386554622,0.08823529411764706,0.4267615478191277
kpx_group_3,"(10.606, 11.92]",11.235249102898225,473,0.6828752642706131,0.1522198731501057,0.0613107822410148,0.49110669686902253
kpx_group_3,"(11.92, 13.291]",12.571106449393884,483,0.6853002070393375,0.12215320910973085,0.024844720496894408,0.5831234980774919
kpx_group_3,"(13.291, 15.071]",14.12133991995788,487,0.728952772073922,0.12320328542094455,0.024640657084188913,0.6379741797203481
kpx_group_3,"(15.071, 17.398]",16.10110448384573,490,0.6693877551020408,0.14489795918367346,0.006122448979591836,0.7099316239067055
kpx_group_3,"(17.398, 27.438]",19.813606733313705,492,0.7235772357723578,0.09959349593495935,0.0,0.782207390050329
