target,disagreement_bin,disagreement_mid,rows,mean_abs_error_ratio,mean_signed_error_ratio,fail8_rate
kpx_group_1,"(-17.242, -5.04]",-7.157429883109708,611,0.11258659771035871,0.024729676267311342,0.513911620294599
kpx_group_1,"(-5.04, -2.936]",-3.9004316823021856,619,0.10787692313794722,0.012809860090922233,0.5088852988691438
kpx_group_1,"(-2.936, -1.354]",-2.12700510081116,624,0.11051005197730042,0.02104742521338718,0.5096153846153846
kpx_group_1,"(-1.354, -0.111]",-0.7105292732078148,638,0.10957298886317282,0.018723831122072983,0.48119122257053293
kpx_group_1,"(-0.111, 1.073]",0.49987628126554984,633,0.10475288875155908,0.014215784711185555,0.47393364928909953
kpx_group_1,"(1.073, 2.271]",1.6683613260252954,635,0.11060167734678063,0.0039616525626712164,0.48661417322834644
kpx_group_1,"(2.271, 3.711]",2.9281901159322703,624,0.11752702310162419,0.016557752271115427,0.5657051282051282
kpx_group_1,"(3.711, 12.181]",5.283142766646101,605,0.1314252458817685,0.029668114193940186,0.5801652892561984
kpx_group_2,"(-17.242, -5.04]",-7.144740957505662,613,0.11336788317358687,0.029839834272467614,0.5236541598694943
kpx_group_2,"(-5.04, -2.936]",-3.896955412150466,619,0.10323355702656165,0.021580950950261014,0.4668820678513732
kpx_group_2,"(-2.936, -1.354]",-2.1344683567270577,624,0.1199363911660586,0.02451405947604178,0.5496794871794872
kpx_group_2,"(-1.354, -0.111]",-0.7123296315113075,634,0.11102894212380786,0.028627835973282598,0.49369085173501576
kpx_group_2,"(-0.111, 1.073]",0.49778244268759125,644,0.11085748970206673,0.02912771113171858,0.4767080745341615
kpx_group_2,"(1.073, 2.271]",1.667304871874203,619,0.12309493028203436,0.01678884693630662,0.5121163166397416
kpx_group_2,"(2.271, 3.711]",2.9309061120921753,617,0.12123104469351334,0.04333891412657438,0.4991896272285251
kpx_group_2,"(3.711, 12.181]",5.313512641407779,606,0.1606216618535823,0.0693569026966592,0.6188118811881188
kpx_group_3,"(-17.242, -5.04]",-7.1656608420399435,594,0.13700612430393816,-0.029572683588484923,0.6515151515151515
kpx_group_3,"(-5.04, -2.936]",-3.9067881050727125,579,0.14040168852982174,-0.030786512166447236,0.6355785837651122
kpx_group_3,"(-2.936, -1.354]",-2.144742231841318,568,0.13175781931617256,0.0008779435554039184,0.5985915492957746
kpx_group_3,"(-1.354, -0.111]",-0.7179507882654013,543,0.12086905742978583,0.00777184308410992,0.5322283609576427
kpx_group_3,"(-0.111, 1.073]",0.4905572305117371,541,0.12398525235700258,0.020143771399383694,0.5360443622920518
kpx_group_3,"(1.073, 2.271]",1.6766790884784393,562,0.12727481968059817,0.011570107758513649,0.5391459074733096
kpx_group_3,"(2.271, 3.711]",2.939247626227733,573,0.1234937803278408,0.012092079146599098,0.5706806282722513
kpx_group_3,"(3.711, 12.181]",5.3211651888221105,606,0.14278918320262685,0.04581387781607356,0.6848184818481848
