target,wind_bin,wind_mid,rows,mean_signed_error_ratio,mean_abs_error_ratio,fail8_rate
kpx_group_1,"(0.13999999999999999, 5.396]",3.7810498291797323,586,-0.021973873278991793,0.07072146281963068,0.24914675767918087
kpx_group_1,"(5.396, 6.881]",6.1871543124152515,524,-0.03864772273393893,0.10042758543244214,0.4198473282442748
kpx_group_1,"(6.881, 8.155]",7.511291869579871,505,0.0019254923677121992,0.1090645197811582,0.5247524752475248
kpx_group_1,"(8.155, 9.348]",8.73518545975778,482,0.01294053700728273,0.12793145645432236,0.6307053941908713
kpx_group_1,"(9.348, 10.606]",10.001658388206643,488,0.03323107492375295,0.14441776674878326,0.6844262295081968
kpx_group_1,"(10.606, 11.92]",11.241161189678559,485,0.03685015343345694,0.13593324024821277,0.622680412371134
kpx_group_1,"(11.92, 13.291]",12.571274390951794,484,0.03763316484354227,0.1343891906487249,0.5971074380165289
kpx_group_1,"(13.291, 15.071]",14.119128308061534,480,0.041446520412907646,0.11975371913898548,0.5416666666666666
kpx_group_1,"(15.071, 17.398]",16.108214230778028,475,0.053655567509080494,0.1059120510803228,0.5031578947368421
kpx_group_1,"(17.398, 27.438]",19.820968137612127,480,0.03364195756707837,0.09120124984119607,0.43333333333333335
kpx_group_2,"(0.13999999999999999, 5.396]",3.7352699944590966,565,-0.02017177106179137,0.07125846385122278,0.26902654867256637
kpx_group_2,"(5.396, 6.881]",6.170489498287525,506,-0.032614956934636556,0.09551296355437006,0.4150197628458498
kpx_group_2,"(6.881, 8.155]",7.515593131629079,493,-0.003447188563463116,0.11977620135887239,0.5699797160243407
kpx_group_2,"(8.155, 9.348]",8.734139126378297,489,0.006306076184003412,0.13734849592964068,0.6175869120654397
kpx_group_2,"(9.348, 10.606]",10.004524485620328,489,0.04466966074959033,0.1590451018694811,0.7055214723926381
kpx_group_2,"(10.606, 11.92]",11.239799288083093,493,0.06766491943928958,0.148473864345188,0.6389452332657201
kpx_group_2,"(11.92, 13.291]",12.571399694156785,486,0.06465160355150593,0.13877106011441492,0.602880658436214
kpx_group_2,"(13.291, 15.071]",14.12761781294958,488,0.07416262886637758,0.13051887136582102,0.5573770491803278
kpx_group_2,"(15.071, 17.398]",16.101165884216865,487,0.08571268420354748,0.12268098869890799,0.48459958932238195
kpx_group_2,"(17.398, 27.438]",19.820968137612127,480,0.05203709624290531,0.08686891492088548,0.34791666666666665
kpx_group_3,"(0.13999999999999999, 5.396]",3.875408436452951,305,-0.011105057748880464,0.0633973053669694,0.20655737704918034
kpx_group_3,"(5.396, 6.881]",6.18231951037842,423,-0.021305812156012422,0.0769006689731972,0.30260047281323876
kpx_group_3,"(6.881, 8.155]",7.524648572548839,455,-0.007465845137428858,0.10240563964153267,0.46593406593406594
kpx_group_3,"(8.155, 9.348]",8.729731017809994,482,-0.011454461603343926,0.12746240874663892,0.6224066390041494
kpx_group_3,"(9.348, 10.606]",10.006032020441687,476,0.013662322657633232,0.14556907955843235,0.6785714285714286
kpx_group_3,"(10.606, 11.92]",11.235249102898225,473,0.025675780426595553,0.15051855248725296,0.6828752642706131
kpx_group_3,"(11.92, 13.291]",12.571106449393884,483,0.03204313468666746,0.15536605126264022,0.6853002070393375
kpx_group_3,"(13.291, 15.071]",14.12133991995788,487,0.047111988791159326,0.15469550499078075,0.728952772073922
kpx_group_3,"(15.071, 17.398]",16.10110448384573,490,0.021766922599485355,0.14653227954940706,0.6693877551020408
kpx_group_3,"(17.398, 27.438]",19.813606733313705,492,-0.05080750584689226,0.15544534624861828,0.7235772357723578
