slice_type,actual_bin,count,eligible_count,actual_sum,mean_bias,median_bias,normalized_mean_bias,underprediction_rate,overprediction_rate,mean_abs_error,normalized_abs_error,ficr_fail_rate,near_boundary_fail_rate,large_fail_rate,impact_proxy,target,month,hour
actual_bin,30-60%,4394,4394,41993460.758,748.1227619814018,828.0791304183986,0.034949287629450945,0.4269458352298589,0.5730541647701412,3135.7525079828924,0.1464823624365037,0.6822940373236231,0.07669549385525717,0.28060992262175694,643.6435005459972,,,
actual_bin,10-30%,4497,4497,17964312.387,1212.1669917876725,337.6323981564956,0.05662814845874329,0.44629753168779185,0.5537024683122082,2625.161188520586,0.1226415449685317,0.5323549032688459,0.09517456081832333,0.17567267066933512,551.519027723487,,,
actual_bin,60-80%,3135,3135,47204608.853,-590.8875899546474,-91.78070538844622,-0.027832692287634304,0.5138755980861244,0.4861244019138756,2469.7766124431346,0.11527362042581495,0.5572567783094099,0.08516746411483253,0.15502392344497606,361.38280003492986,,,
actual_bin,90-100%,1185,1185,23995825.273,-2701.9740431450905,-2402.7525012333535,-0.1273284291453092,0.8818565400843882,0.11814345991561181,2836.048476456681,0.1335355788356606,0.6050632911392405,0.06244725738396625,0.2371308016877637,158.23966092025782,,,
actual_bin,80-90%,1320,1320,24075372.635,-1672.12685515936,-1230.8191156089651,-0.07831981421222461,0.7090909090909091,0.2909090909090909,2244.546961346924,0.10485169627504616,0.4537878787878788,0.0803030303030303,0.14242424242424243,138.40423908306093,,,
actual_bin,<1%,6640,0,194456.916,1067.4781755626855,379.48001290943455,0.049780757626605956,0.03975903614457831,0.9405120481927711,1071.6494733260085,0.049977023259819224,0.0,0.0,0.0,0.0,,,
actual_bin,1-5%,3108,0,1804307.883,986.231105672507,346.40792203514764,0.046074662767827346,0.3227155727155727,0.6772844272844273,1181.5623998882002,0.05521955241384583,0.0,0.0,0.0,0.0,,,
actual_bin,5-10%,2055,0,3218558.833,1054.006452643466,324.72029925824245,0.04918944271265408,0.410705596107056,0.5892944038929441,1655.8124726138,0.07733128516694802,0.0,0.0,0.0,0.0,,,
actual_bin,,18,0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,,,
target+actual_bin,30-60%,1462,1462,14081041.273,900.5352413037274,936.8220906281867,0.04169144635665404,0.42270861833105333,0.5772913816689467,3380.255991492875,0.15649333293948497,0.6990424076607387,0.07523939808481532,0.3221614227086183,228.79325275752703,kpx_group_2,,
target+actual_bin,30-60%,1484,1484,14344502.139,625.1267227504089,690.6786182637879,0.0289410519791856,0.4359838274932615,0.5640161725067385,3025.2385784564253,0.14005734159520486,0.6597035040431267,0.07277628032345014,0.2634770889487871,207.845094927284,kpx_group_1,,
target+actual_bin,30-60%,1448,1448,13567917.346,720.2906331482209,900.8911162178847,0.034299553959439094,0.4219613259668508,0.5780386740331491,3002.146553926044,0.142959359710764,0.68853591160221,0.08218232044198895,0.2562154696132597,207.00515286118628,kpx_group_3,,
target+actual_bin,10-30%,1436,1436,5751202.43,1548.54624115095,477.1882812128074,0.07169195560884027,0.43175487465181056,0.5682451253481894,2973.4323083127883,0.1376589031626291,0.5494428969359332,0.09122562674094707,0.19637883008356546,197.6781849415354,kpx_group_2,,
target+actual_bin,10-30%,1507,1507,5930661.275,1148.9746141470105,318.83282634684747,0.05471307686414336,0.44525547445255476,0.5547445255474452,2495.779490218042,0.11884664239133533,0.5268745852687459,0.09688122096881222,0.17650962176509621,179.10189008374235,kpx_group_3,,
