experiment,month,lead_hour,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
lead_basic,2,21.0,32,0.17685377611903488,0.17617013721271968,-0.0006836389063152026,-0.02187644500208648,1,2,-1,11
lead_basic,2,22.0,32,0.1861210489207448,0.18657970316469558,0.000458654243950781,0.014676935806424991,0,2,-2,11
lead_basic,2,23.0,31,0.19656094661747012,0.18740689875233385,-0.009154047865136272,-0.2837754838192244,0,1,-1,11
lead_basic,2,24.0,36,0.15527028763376005,0.14472635685075272,-0.010543930783007353,-0.37958150818826475,3,1,2,11
lead_basic,2,25.0,32,0.16861492324172656,0.15736586018816087,-0.011249063053565682,-0.3599700177141018,3,0,3,11
lead_basic,2,26.0,30,0.17298172782129723,0.1721017226313509,-0.000880005189946309,-0.02640015569838927,0,3,-3,11
lead_basic,2,27.0,31,0.15001885780382906,0.14534235980760354,-0.004676497996225527,-0.14497143788299136,0,1,-1,11
lead_basic,2,28.0,30,0.1281700652701925,0.12334373311959343,-0.004826332150599082,-0.14478996451797246,1,0,1,11
lead_basic,2,29.0,31,0.1391400124100815,0.13333903245402468,-0.005800979956056814,-0.17983037863776125,3,1,2,11
lead_basic,2,30.0,31,0.10862671800668736,0.10357818000483418,-0.005048538001853169,-0.15650467805744822,3,0,3,11
lead_basic,2,31.0,35,0.12245395917916621,0.12057670852311353,-0.0018772506560526794,-0.06570377296184378,4,3,1,11
lead_basic,2,32.0,29,0.1413474511304456,0.13741292178685416,-0.003934529343591484,-0.11410135096415305,2,1,1,11
lead_basic,2,33.0,29,0.12091123748406069,0.11417687235642371,-0.00673436512763698,-0.19529658870147243,1,0,1,11
lead_basic,2,34.0,29,0.15573884216125047,0.15327766006672544,-0.0024611820945250403,-0.07137428074122616,0,2,-2,11
lead_basic,2,35.0,29,0.14394412867250547,0.1410630647272217,-0.002881063945283789,-0.08355085441322987,1,1,0,11
lead_basic,3,12.0,76,0.1446082495995198,0.14378890287010346,-0.0008193467294163439,-0.062270351435642135,1,2,-1,11
lead_basic,3,13.0,72,0.13848163497140756,0.13601239570797896,-0.0024692392634285895,-0.17778522696685845,2,2,0,11
lead_basic,3,14.0,72,0.13300173846176305,0.13056768628393298,-0.002434052177830068,-0.1752517568037649,4,0,4,11
