experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
lead_basic,kpx_group_1,ficr_boundary_8_12pct,219,0.07149845802867226,0.07295393191777555,0.001455473889103294,0.31874878171362137,4,8,-4,11
lead_basic,kpx_group_1,high_50_80pct,1611,0.1305083089684209,0.1281477773230116,-0.0023605316454092863,-3.80281648075436,78,33,45,11
lead_basic,kpx_group_1,mid_12_50pct,2319,0.1143052427223156,0.11446430717677845,0.00015906445446284555,0.36887046989933886,86,94,-8,11
lead_basic,kpx_group_1,very_high_80pct_plus,840,0.133438353332074,0.1349863021545544,0.001547948822480401,1.3002770108835369,28,34,-6,11
lead_basic,kpx_group_2,ficr_boundary_8_12pct,224,0.10454339020025151,0.10376771780593716,-0.0007756723943143451,-0.1737506163264133,13,7,6,11
lead_basic,kpx_group_2,high_50_80pct,1584,0.12924049754967515,0.1309462924703197,0.0017057949206445327,2.7019791543009397,65,80,-15,11
lead_basic,kpx_group_2,mid_12_50pct,2215,0.1311841904209813,0.13126949300863344,8.530258765213578e-05,0.18894523164948074,75,91,-16,11
lead_basic,kpx_group_2,very_high_80pct_plus,953,0.09834163850524272,0.09881671482685588,0.000475076321613156,0.45274773449733763,29,34,-5,11
lead_basic,kpx_group_3,ficr_boundary_8_12pct,212,0.07994228263478437,0.07813662702279772,-0.0018056556119866352,-0.38279898974116666,7,6,1,11
lead_basic,kpx_group_3,high_50_80pct,1353,0.1418468411483141,0.14136435575637024,-0.00048248539194388533,-0.6528027353000768,75,82,-7,11
lead_basic,kpx_group_3,mid_12_50pct,2289,0.11925429150115355,0.11916546248425652,-8.882901689700564e-05,-0.20332961967724592,112,107,5,11
lead_basic,kpx_group_3,very_high_80pct_plus,712,0.2590109792308394,0.25789418557845983,-0.001116793652379519,-0.7951570804942174,8,6,2,11
lead_interactions,kpx_group_1,ficr_boundary_8_12pct,219,0.07149845802867226,0.07196486896310063,0.0004664109344283636,0.10214399463981164,7,9,-2,11
lead_interactions,kpx_group_1,high_50_80pct,1611,0.1305083089684209,0.1285184746535187,-0.0019898343149022044,-3.205623081307451,81,45,36,11
lead_interactions,kpx_group_1,mid_12_50pct,2319,0.1143052427223156,0.11400671758710157,-0.0002985251352140358,-0.692279788561349,76,93,-17,11
lead_interactions,kpx_group_1,very_high_80pct_plus,840,0.133438353332074,0.13404006158249704,0.0006017082504230606,0.5054349303553709,36,51,-15,11
lead_interactions,kpx_group_2,ficr_boundary_8_12pct,224,0.10454339020025151,0.10456591487267507,2.252467242356402e-05,0.005045526622878341,13,10,3,11
lead_interactions,kpx_group_2,high_50_80pct,1584,0.12924049754967515,0.13183565902028738,0.0025951614706122166,4.110735769449751,62,76,-14,11
lead_interactions,kpx_group_2,mid_12_50pct,2215,0.1311841904209813,0.1317775875652475,0.0005933971442661615,1.3143746745495477,85,110,-25,11
lead_interactions,kpx_group_2,very_high_80pct_plus,953,0.09834163850524272,0.09840071764769175,5.907914244901142e-05,0.056302422753907885,30,31,-1,11
lead_interactions,kpx_group_3,ficr_boundary_8_12pct,212,0.07994228263478437,0.08216295803405749,0.002220675399273133,0.47078318464590413,7,8,-1,11
lead_interactions,kpx_group_3,high_50_80pct,1353,0.1418468411483141,0.1415630598282512,-0.0002837813200629037,-0.38395612604510865,66,94,-28,11
lead_interactions,kpx_group_3,mid_12_50pct,2289,0.11925429150115355,0.11968333372173615,0.0004290422205826131,0.9820776429136013,109,104,5,11
lead_interactions,kpx_group_3,very_high_80pct_plus,712,0.2590109792308394,0.2553929953413519,-0.003617983889487485,-2.5760045293150893,11,6,5,11
issue_cycle,kpx_group_1,ficr_boundary_8_12pct,219,0.07149845802867226,0.07160761445503831,0.00010915642636605082,0.02390525737416513,10,13,-3,11
issue_cycle,kpx_group_1,high_50_80pct,1611,0.1305083089684209,0.13018531558401136,-0.0003229933844095493,-0.520342342283784,123,93,30,11
issue_cycle,kpx_group_1,mid_12_50pct,2319,0.1143052427223156,0.11670049727671908,0.0023952545544034635,5.5545953116616325,137,176,-39,11
issue_cycle,kpx_group_1,very_high_80pct_plus,840,0.133438353332074,0.13934343288520543,0.005905079553131429,4.9602668246304,25,72,-47,11
issue_cycle,kpx_group_2,ficr_boundary_8_12pct,224,0.10454339020025151,0.10097530468159423,-0.0035680855186572768,-0.79925115617923,16,19,-3,11
issue_cycle,kpx_group_2,high_50_80pct,1584,0.12924049754967515,0.13284698609478104,0.003606488545105868,5.712677855447695,85,109,-24,11
issue_cycle,kpx_group_2,mid_12_50pct,2215,0.1311841904209813,0.13262623506310478,0.0014420446421234462,3.194128882303433,156,187,-31,11
issue_cycle,kpx_group_2,very_high_80pct_plus,953,0.09834163850524272,0.09937531990403782,0.0010336813987950914,0.9850983730517222,35,44,-9,11
issue_cycle,kpx_group_3,ficr_boundary_8_12pct,212,0.07994228263478437,0.07822562337686319,-0.0017166592579211835,-0.3639317626792909,14,10,4,11
issue_cycle,kpx_group_3,high_50_80pct,1353,0.1418468411483141,0.1410873432494059,-0.0007594978989082252,-1.0276006572228287,122,117,5,11
issue_cycle,kpx_group_3,mid_12_50pct,2289,0.11925429150115355,0.12031254426641631,0.0010582527652627822,2.4223405796865083,174,154,20,11
issue_cycle,kpx_group_3,very_high_80pct_plus,712,0.2590109792308394,0.2612642028077618,0.002253223576922405,1.6042951867687525,9,7,2,11
forecast_safe_ramp,kpx_group_1,ficr_boundary_8_12pct,219,0.07149845802867226,0.07312432193507044,0.0016258639063981915,0.35606419550120394,8,10,-2,11
forecast_safe_ramp,kpx_group_1,high_50_80pct,1611,0.1305083089684209,0.1291956278586806,-0.0013126811097403117,-2.1147292677916423,80,58,22,11
forecast_safe_ramp,kpx_group_1,mid_12_50pct,2319,0.1143052427223156,0.11557663223552696,0.0012713895132113653,2.948352281137156,102,131,-29,11
forecast_safe_ramp,kpx_group_1,very_high_80pct_plus,840,0.133438353332074,0.13512317319022965,0.0016848198581556613,1.4152486808507554,23,35,-12,11
forecast_safe_ramp,kpx_group_2,ficr_boundary_8_12pct,224,0.10454339020025151,0.10373516150965108,-0.0008082286906004267,-0.18104322669449557,11,10,1,11
forecast_safe_ramp,kpx_group_2,high_50_80pct,1584,0.12924049754967515,0.13106710978312694,0.001826612233451766,2.8933537777875973,74,78,-4,11
forecast_safe_ramp,kpx_group_2,mid_12_50pct,2215,0.1311841904209813,0.131981866595993,0.0007976761750116704,1.7668527276508499,105,118,-13,11
forecast_safe_ramp,kpx_group_2,very_high_80pct_plus,953,0.09834163850524272,0.10149227654841193,0.0031506380431692,3.0025580551402475,32,55,-23,11
forecast_safe_ramp,kpx_group_3,ficr_boundary_8_12pct,212,0.07994228263478437,0.0792309015244036,-0.0007113811103807621,-0.15081279540072157,7,7,0,11
forecast_safe_ramp,kpx_group_3,high_50_80pct,1353,0.1418468411483141,0.14084521890913185,-0.0010016222391822861,-1.3551948896136332,71,79,-8,11
forecast_safe_ramp,kpx_group_3,mid_12_50pct,2289,0.11925429150115355,0.11910464064109992,-0.000149650860053605,-0.3425508186627018,129,122,7,11
forecast_safe_ramp,kpx_group_3,very_high_80pct_plus,712,0.2590109792308394,0.2560979454467521,-0.002913033784087296,-2.074080054270155,12,6,6,11
source_disagreement,kpx_group_1,ficr_boundary_8_12pct,219,0.07149845802867226,0.07217011817669201,0.0006716601480197554,0.14709357241632645,6,9,-3,11
source_disagreement,kpx_group_1,high_50_80pct,1611,0.1305083089684209,0.13002230922931937,-0.0004859997391015298,-0.7829455796925645,74,55,19,11
source_disagreement,kpx_group_1,mid_12_50pct,2319,0.1143052427223156,0.11369942045054786,-0.0006058222717677353,-1.404901848229378,79,96,-17,11
source_disagreement,kpx_group_1,very_high_80pct_plus,840,0.133438353332074,0.13758146240748836,0.004143109075414367,3.480211623348069,23,45,-22,11
