target,lead_hour,rows,candidate_abs_error,baseline_abs_error,delta_abs_error,mean_abs_source_disagreement
kpx_group_1,12.0,366,0.10499542494223539,0.10421893744377872,0.0007764874984566614,2.939676938148363
kpx_group_1,13.0,366,0.10799780997847788,0.10775375055733248,0.00024405942114539902,2.929243821780808
kpx_group_1,14.0,366,0.10709647841224873,0.106703157114014,0.00039332129823472573,2.8793187607920743
kpx_group_1,15.0,366,0.1061476273816069,0.10462674110387574,0.001520886277731159,2.9283071321451817
kpx_group_1,16.0,366,0.1054919285477192,0.10416474433356686,0.0013271842141523453,2.833132463712419
kpx_group_1,17.0,366,0.10526126018984401,0.10478483814459662,0.00047642204524737296,2.6763271291935093
kpx_group_1,18.0,366,0.10540968248144084,0.10604341879915229,-0.0006337363177114644,2.6071406355253166
kpx_group_1,19.0,366,0.10012693816161801,0.0998637570284836,0.00026318113313438446,2.6208722592673586
kpx_group_1,20.0,366,0.09286922287595492,0.09156822750019554,0.0013009953757593766,2.507768790390512
kpx_group_1,21.0,366,0.08199035015287742,0.08258740627699926,-0.0005970561241218394,2.4312158579326857
kpx_group_1,22.0,366,0.07495963109691012,0.0756825907105836,-0.0007229596136734805,2.394879453112491
kpx_group_1,23.0,366,0.07299427469180288,0.07393216565563218,-0.0009378909638292952,2.5666322075393238
kpx_group_1,24.0,366,0.07216317561664001,0.07301616675098696,-0.0008529911343469543,2.6933838412359203
kpx_group_1,25.0,366,0.07401744120414064,0.07356102759552274,0.00045641360861788837,2.8090397700822627
kpx_group_1,26.0,366,0.07371581207807631,0.07388305235421534,-0.0001672402761390209,2.792468600297367
kpx_group_1,27.0,366,0.07796165387230505,0.07744763240074476,0.0005140214715602897,2.6675706245018977
kpx_group_1,28.0,366,0.08722199227017434,0.0870321294119233,0.00018986285825103863,2.4634744236066735
kpx_group_1,29.0,366,0.0908820452963231,0.09032211241324468,0.0005599328830784123,2.406175789388311
kpx_group_1,30.0,366,0.09427124084685291,0.09451867134301896,-0.0002474304961660439,2.536681033505942
kpx_group_1,31.0,366,0.10229187532586355,0.10222264221274263,6.923311312093727e-05,2.7128062255964593
kpx_group_1,32.0,366,0.10121384479081368,0.10107198941254775,0.00014185537826593434,2.7895665162348133
kpx_group_1,33.0,366,0.11503179693893463,0.11432923169168219,0.0007025652472524405,2.805415823018424
kpx_group_1,34.0,366,0.11947018321905896,0.11837635994514656,0.001093823273912394,2.765363757078025
kpx_group_1,35.0,366,0.11389010861694475,0.11324905475639824,0.0006410538605465213,2.8416153180943162
kpx_group_2,12.0,366,0.10341394180877764,0.1035796417712391,-0.00016569996246146992,2.939676938148363
kpx_group_2,13.0,366,0.11253595998474494,0.11194064382810974,0.0005953161566352105,2.929243821780808
kpx_group_2,14.0,366,0.1086683999807913,0.10891397261057713,-0.00024557262978583215,2.8793187607920743
kpx_group_2,15.0,366,0.10759620234933137,0.10743280828215823,0.00016339406717311817,2.9283071321451817
kpx_group_2,16.0,366,0.11074826040693758,0.11175842694634769,-0.001010166539410108,2.833132463712419
kpx_group_2,17.0,366,0.10755930198414998,0.10787831703335482,-0.00031901504920482887,2.6763271291935093
kpx_group_2,18.0,366,0.10095977699706829,0.10128053755439949,-0.00032076055733120133,2.6071406355253166
kpx_group_2,19.0,366,0.10027492057693338,0.10104212972975585,-0.0007672091528224628,2.6208722592673586
kpx_group_2,20.0,366,0.09427435526664744,0.09422803659996709,4.631866668035635e-05,2.507768790390512
kpx_group_2,21.0,366,0.08723483688682906,0.08779396701950015,-0.0005591301326710926,2.4312158579326857
kpx_group_2,22.0,366,0.08208479398360545,0.08128855621848059,0.0007962377651248466,2.394879453112491
