experiment,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,feature_count_group1,feature_count_group2,feature_count_group3,delta_score_vs_baseline,delta_ficr_vs_baseline,delta_nmae_vs_baseline
B1_plus_lead_interactions,0.6118351089515459,0.8699484581688701,0.13005154183112982,0.35372175973422176,0.5734043310386321,0.6001244492570202,14531,293,293,293,6.775247881929403e-05,0.00021572391765795063,8.021896001914053e-05
B1_aggregate,0.6117673564727266,0.8700286771288893,0.12997132287111068,0.3535060358165638,0.5917149198256562,0.6001969855349586,14531,286,286,286,0.0,0.0,0.0
B1_plus_direction_grid,0.6114103369125773,0.8695360749982188,0.1304639250017812,0.3532845988269358,0.5832189525465812,0.5989885371146606,14531,299,299,299,-0.0003570195601493298,-0.00022143698962800995,0.0004926021306705108
B1_plus_source_disagreement,0.6106720901983019,0.8698464497392816,0.1301535502607184,0.3514977306573223,0.5822189984775014,0.5986220745957426,14531,302,302,302,-0.0010952662744246888,-0.002008305159241497,0.00018222738960771423
B1_plus_all_score_insights,0.6085088009572088,0.8693723571477249,0.1306276428522751,0.34764524476669273,0.5858147765404454,0.5963092008016102,14531,321,321,321,-0.0032585555155177914,-0.005860791049871084,0.000656319981164416
B1_all_plus_2025_exposure_weight,0.6081125236680152,0.8686376965836028,0.13136230341639718,0.34758735075242764,0.5715323730393838,0.5962200294166671,14531,321,321,321,-0.003654832804711461,-0.0059186850641361755,0.0013909805452864965
