experiment,target,month,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta
B1_plus_direction_grid,kpx_group_1,1,469,0.12799004078175533,0.1281650162012517,0.00017497541949638255,0.08206347174380342
B1_plus_direction_grid,kpx_group_1,2,254,0.11701019982613568,0.12385691459261608,0.006846714766480378,1.739065550686016
B1_plus_direction_grid,kpx_group_1,3,556,0.12025669801440428,0.12255757155964324,0.002300873545238976,1.2792856911528707
B1_plus_direction_grid,kpx_group_1,4,403,0.11356876293832201,0.11318058644165724,-0.0003881764966647418,-0.15643512815589095
B1_plus_direction_grid,kpx_group_1,5,534,0.12507623583328717,0.12631867212883494,0.0012424362955477332,0.6634609818224895
B1_plus_direction_grid,kpx_group_1,6,330,0.11990466460980628,0.12009481779145352,0.00019015318164725034,0.06275054994359261
B1_plus_direction_grid,kpx_group_1,7,536,0.1307989438821994,0.13328714603669212,0.0024882021544927095,1.3336763548080923
B1_plus_direction_grid,kpx_group_1,8,251,0.12703716547076366,0.12411378248931032,-0.0029233829814533365,-0.7337691283447875
B1_plus_direction_grid,kpx_group_1,9,285,0.11275375247634964,0.11224847166600868,-0.0005052808103409522,-0.14400503094717138
B1_plus_direction_grid,kpx_group_1,10,339,0.10969133856741857,0.10855824469347927,-0.0011330938739392996,-0.38411882326542257
B1_plus_direction_grid,kpx_group_1,11,342,0.10633723960334455,0.10624592105636123,-9.131854698332713e-05,-0.03123094306829788
B1_plus_direction_grid,kpx_group_1,12,690,0.11861854689511087,0.12068855505406575,0.0020700081589548943,1.428305629678877
B1_plus_direction_grid,kpx_group_2,1,504,0.15681015872627854,0.15861728838717062,0.001807129660892039,0.9107933490895876
B1_plus_direction_grid,kpx_group_2,2,262,0.14300883231845163,0.1356049983587074,-0.00740383395974423,-1.9398044974529882
B1_plus_direction_grid,kpx_group_2,3,535,0.13103647770077148,0.13129211041626737,0.0002556327154958634,0.13676350279028693
B1_plus_direction_grid,kpx_group_2,4,407,0.10932508955876906,0.111612475804192,0.002287386245422914,0.930966201887126
B1_plus_direction_grid,kpx_group_2,5,526,0.10904511060461122,0.11203567501687259,0.00299056441226136,1.5730368808494752
B1_plus_direction_grid,kpx_group_2,6,345,0.12381715283667759,0.12431020734149419,0.0004930545048166241,0.17010380416173532
B1_plus_direction_grid,kpx_group_2,7,526,0.11504573911399274,0.11553711786627914,0.000491378752286421,0.25846522370265745
B1_plus_direction_grid,kpx_group_2,8,239,0.12955542190039568,0.1314415410554984,0.0018861191551027576,0.45078247806955907
B1_plus_direction_grid,kpx_group_2,9,303,0.10757661770020407,0.10352214500743685,-0.00405447269276721,-1.2285052259084646
B1_plus_direction_grid,kpx_group_2,10,315,0.1230562156379109,0.11957150622176323,-0.0034847094161476757,-1.0976834660865178
B1_plus_direction_grid,kpx_group_2,11,328,0.12101595002097168,0.12216091042065386,0.0011449603996821773,0.37554701109575417
B1_plus_direction_grid,kpx_group_2,12,686,0.12188079127802641,0.12101109471932689,-0.0008696965586995461,-0.5966118392678886
B1_plus_direction_grid,kpx_group_3,1,519,0.15846625679847332,0.15542433669858566,-0.0030419200998876316,-1.5787565318416807
B1_plus_direction_grid,kpx_group_3,2,256,0.1644537861655821,0.16008907808505785,-0.004364708080524259,-1.1173652686142104
B1_plus_direction_grid,kpx_group_3,3,496,0.15913679649356616,0.1610748789924819,0.0019380824989157573,0.9612889194622156
B1_plus_direction_grid,kpx_group_3,4,356,0.1316585654718731,0.13714603489208646,0.005487469420213369,1.9535391135959594
B1_plus_direction_grid,kpx_group_3,5,485,0.14659936810110338,0.1428582777268073,-0.0037410903742960654,-1.8144288315335917
B1_plus_direction_grid,kpx_group_3,6,295,0.12897781097620384,0.12706772176810285,-0.0019100892081009805,-0.5634763163897892
B1_plus_direction_grid,kpx_group_3,7,515,0.16645324870949613,0.16830267481346411,0.001849426103967978,0.9524544435435087
B1_plus_direction_grid,kpx_group_3,8,199,0.1451428789399892,0.14868871976490605,0.0035458408249168585,0.7056223241584548
B1_plus_direction_grid,kpx_group_3,9,249,0.10791666199416533,0.11332587780566798,0.005409215811502662,1.3468947370641629
B1_plus_direction_grid,kpx_group_3,10,241,0.15173077338595123,0.14788271236858855,-0.003848061017362693,-0.927382705184409
B1_plus_direction_grid,kpx_group_3,11,293,0.17694012022661224,0.1787287255437287,0.0017886053171164839,0.5240613579151298
B1_plus_direction_grid,kpx_group_3,12,662,0.11657110010232494,0.11906869235094364,0.002497592248618737,1.653406068585604
B1_plus_source_disagreement,kpx_group_1,1,469,0.12799004078175533,0.12969465684303053,0.0017046160612751871,0.7994649327380627
B1_plus_source_disagreement,kpx_group_1,2,254,0.11701019982613568,0.12081707153988751,0.0038068717137518062,0.9669454152929587
B1_plus_source_disagreement,kpx_group_1,3,556,0.12025669801440428,0.1212971741597296,0.001040476145325346,0.5785047368008923
B1_plus_source_disagreement,kpx_group_1,4,403,0.11356876293832201,0.11449371648699448,0.0009249535486724758,0.3727562801150077
B1_plus_source_disagreement,kpx_group_1,5,534,0.12507623583328717,0.1260579413313415,0.0009817054980543057,0.5242307359609992
B1_plus_source_disagreement,kpx_group_1,6,330,0.11990466460980628,0.11871403565588104,-0.0011906289539252368,-0.39290755479532813
B1_plus_source_disagreement,kpx_group_1,7,536,0.1307989438821994,0.13120572363209632,0.0004067797498969023,0.21803394594473963
B1_plus_source_disagreement,kpx_group_1,8,251,0.12703716547076366,0.12783119773853646,0.0007940322677727927,0.19930209921097097
B1_plus_source_disagreement,kpx_group_1,9,285,0.11275375247634964,0.116127224176736,0.0033734717003863525,0.9614394346101105
B1_plus_source_disagreement,kpx_group_1,10,339,0.10969133856741857,0.11027629245679786,0.0005849538893792705,0.1982993684995727
B1_plus_source_disagreement,kpx_group_1,11,342,0.10633723960334455,0.10836604724768512,0.0020288076443405593,0.6938522143644713
B1_plus_source_disagreement,kpx_group_1,12,690,0.11861854689511087,0.12257062732102128,0.003952080425910415,2.7269354938781865
B1_plus_source_disagreement,kpx_group_2,1,504,0.15681015872627854,0.15611959716006873,-0.0006905615662098363,-0.3480430293697575
B1_plus_source_disagreement,kpx_group_2,2,262,0.14300883231845163,0.14358521425654566,0.0005763819380940256,0.1510120677806347
B1_plus_source_disagreement,kpx_group_2,3,535,0.13103647770077148,0.13148040839215996,0.00044393069138847424,0.2375029198928337
B1_plus_source_disagreement,kpx_group_2,4,407,0.10932508955876906,0.11019153027090962,0.0008664407121405609,0.3526413698412083
B1_plus_source_disagreement,kpx_group_2,5,526,0.10904511060461122,0.10897048611743683,-7.462448717437889e-05,-0.0392524802537233
B1_plus_source_disagreement,kpx_group_2,6,345,0.12381715283667759,0.12300154089577645,-0.000815611940901122,-0.2813861196108871
B1_plus_source_disagreement,kpx_group_2,7,526,0.11504573911399274,0.11543667025306384,0.000390931139071101,0.20562977915139913
B1_plus_source_disagreement,kpx_group_2,8,239,0.12955542190039568,0.12663429425341746,-0.0029211276469782023,-0.6981495076277904
B1_plus_source_disagreement,kpx_group_2,9,303,0.10757661770020407,0.11004837238612562,0.002471754685921566,0.7489416698342345
B1_plus_source_disagreement,kpx_group_2,10,315,0.1230562156379109,0.11942605599898988,-0.003630159638921026,-1.1435002862601231
B1_plus_source_disagreement,kpx_group_2,11,328,0.12101595002097168,0.11781917091511188,-0.0031967791058598316,-1.0485435467220248
B1_plus_source_disagreement,kpx_group_2,12,686,0.12188079127802641,0.12172633844996471,-0.00015445282806171896,-0.10595464005033921
B1_plus_source_disagreement,kpx_group_3,1,519,0.15846625679847332,0.15491755731663706,-0.0035486994818362478,-1.8417750310730125
B1_plus_source_disagreement,kpx_group_3,2,256,0.1644537861655821,0.1592614762232533,-0.005192309942328823,-1.3292313452361786
B1_plus_source_disagreement,kpx_group_3,3,496,0.15913679649356616,0.16125955873145298,0.0021227622378868225,1.052890069991864
B1_plus_source_disagreement,kpx_group_3,4,356,0.1316585654718731,0.13249429650514633,0.0008357310332732275,0.297520247845269
B1_plus_source_disagreement,kpx_group_3,5,485,0.14659936810110338,0.14277376650606705,-0.0038256015950362907,-1.855416773592601
B1_plus_source_disagreement,kpx_group_3,6,295,0.12897781097620384,0.12796565403857296,-0.0010121569376308553,-0.2985862966011023
B1_plus_source_disagreement,kpx_group_3,7,515,0.16645324870949613,0.16598055242879742,-0.0004726962806987427,-0.2434385845598525
B1_plus_source_disagreement,kpx_group_3,8,199,0.1451428789399892,0.14205289518409428,-0.0030899837558949236,-0.6149067674230898
B1_plus_source_disagreement,kpx_group_3,9,249,0.10791666199416533,0.10921849174900566,0.0013018297548403565,0.32415560895524875
B1_plus_source_disagreement,kpx_group_3,10,241,0.15173077338595123,0.15134859713423804,-0.0003821762517131921,-0.0921044766628793
B1_plus_source_disagreement,kpx_group_3,11,293,0.17694012022661224,0.1788362807295216,0.0018961605029093717,0.5555750273524459
B1_plus_source_disagreement,kpx_group_3,12,662,0.11657110010232494,0.11833360232009466,0.001762502217769747,1.1667764681635726
B1_plus_lead_interactions,kpx_group_1,1,469,0.12799004078175533,0.12582297696041278,-0.002167063821342545,-1.0163529322096536
B1_plus_lead_interactions,kpx_group_1,2,254,0.11701019982613568,0.12104466220259043,0.0040344623764547215,1.0247534436194992
B1_plus_lead_interactions,kpx_group_1,3,556,0.12025669801440428,0.1196575974963802,-0.0005991005180240521,-0.33309988802137297
B1_plus_lead_interactions,kpx_group_1,4,403,0.11356876293832201,0.11366222134352418,9.345840520216422e-05,0.03766373729647218
B1_plus_lead_interactions,kpx_group_1,5,534,0.12507623583328717,0.12580955891332124,0.0007333230800340703,0.39159452473819356
B1_plus_lead_interactions,kpx_group_1,6,330,0.11990466460980628,0.12111375746703493,0.0012090928572286426,0.39900064288545206
B1_plus_lead_interactions,kpx_group_1,7,536,0.1307989438821994,0.13161973489079165,0.0008207910085922472,0.4399439806054445
B1_plus_lead_interactions,kpx_group_1,8,251,0.12703716547076366,0.1258739717524007,-0.0011631937183629911,-0.2919616233091108
B1_plus_lead_interactions,kpx_group_1,9,285,0.11275375247634964,0.11391887073371552,0.001165118257365873,0.3320587033492738
B1_plus_lead_interactions,kpx_group_1,10,339,0.10969133856741857,0.11129528843179527,0.0016039498643766865,0.5437390040236967
B1_plus_lead_interactions,kpx_group_1,11,342,0.10633723960334455,0.10912477410843731,0.0027875345050927666,0.9533368007417262
B1_plus_lead_interactions,kpx_group_1,12,690,0.11861854689511087,0.11916317516107183,0.0005446282659609584,0.3757935035130613
B1_plus_lead_interactions,kpx_group_2,1,504,0.15681015872627854,0.15765602431088171,0.0008458655846031583,0.4263162546399918
B1_plus_lead_interactions,kpx_group_2,2,262,0.14300883231845163,0.15151443220131205,0.008505599882860402,2.2284671693094253
B1_plus_lead_interactions,kpx_group_2,3,535,0.13103647770077148,0.13153290173668425,0.0004964240359127863,0.2655868592133407
B1_plus_lead_interactions,kpx_group_2,4,407,0.10932508955876906,0.10842550342199422,-0.0008995861367748366,-0.3661315576673585
B1_plus_lead_interactions,kpx_group_2,5,526,0.10904511060461122,0.10880143777382904,-0.00024367283078216022,-0.12817190899141628
B1_plus_lead_interactions,kpx_group_2,6,345,0.12381715283667759,0.12264702574788595,-0.0011701270887916372,-0.40369384563311483
B1_plus_lead_interactions,kpx_group_2,7,526,0.11504573911399274,0.11573698002107638,0.0006912409070836418,0.36359271712599556
B1_plus_lead_interactions,kpx_group_2,8,239,0.12955542190039568,0.12846336022271712,-0.001092061677678527,-0.26100274096516796
B1_plus_lead_interactions,kpx_group_2,9,303,0.10757661770020407,0.1088724783087927,0.0012958606085886198,0.3926457644023518
B1_plus_lead_interactions,kpx_group_2,10,315,0.1230562156379109,0.12670773453361006,0.003651518895699133,1.1502284521452268
B1_plus_lead_interactions,kpx_group_2,11,328,0.12101595002097168,0.12026000598060753,-0.0007559440403641716,-0.2479496452394483
B1_plus_lead_interactions,kpx_group_2,12,686,0.12188079127802641,0.12086289637555912,-0.0010178949024672948,-0.6982759030925643
B1_plus_lead_interactions,kpx_group_3,1,519,0.15846625679847332,0.15504122402533282,-0.003425032773140446,-1.7775920092598914
B1_plus_lead_interactions,kpx_group_3,2,256,0.1644537861655821,0.1619501829923393,-0.0025036031732428134,-0.6409224123501602
B1_plus_lead_interactions,kpx_group_3,3,496,0.15913679649356616,0.1622021942383984,0.003065397744832252,1.520437281436797
B1_plus_lead_interactions,kpx_group_3,4,356,0.1316585654718731,0.13703655534774337,0.005377989875870274,1.9145643958098177
B1_plus_lead_interactions,kpx_group_3,5,485,0.14659936810110338,0.14258459428777448,-0.004014773813328853,-1.9471652994644937
B1_plus_lead_interactions,kpx_group_3,6,295,0.12897781097620384,0.12773411351599792,-0.0012436974602059133,-0.3668907507607444
B1_plus_lead_interactions,kpx_group_3,7,515,0.16645324870949613,0.16549770482012766,-0.0009555438893685299,-0.4921051030247929
B1_plus_lead_interactions,kpx_group_3,8,199,0.1451428789399892,0.13846136929848452,-0.006681509641504668,-1.329620418659429
B1_plus_lead_interactions,kpx_group_3,9,249,0.10791666199416533,0.10767206349061903,-0.00024459850354629896,-0.06090502738302844
B1_plus_lead_interactions,kpx_group_3,10,241,0.15173077338595123,0.14937975342958168,-0.0023510199563695536,-0.5665958094850624
B1_plus_lead_interactions,kpx_group_3,11,293,0.17694012022661224,0.17533538560789583,-0.0016047346187164078,-0.4701872432839075
B1_plus_lead_interactions,kpx_group_3,12,662,0.11657110010232494,0.11687952746703703,0.0003084273647121123,0.20417891543941835
B1_plus_all_score_insights,kpx_group_1,1,469,0.12799004078175533,0.12730913128241497,-0.0006809094993403701,-0.3193465551906336
B1_plus_all_score_insights,kpx_group_1,2,254,0.11701019982613568,0.12085549567511711,0.0038452958489814,0.9767051456412755
B1_plus_all_score_insights,kpx_group_1,3,556,0.12025669801440428,0.12170360573524613,0.0014469077208418954,0.8044806927880939
B1_plus_all_score_insights,kpx_group_1,4,403,0.11356876293832201,0.11523734639110207,0.00166858345278007,0.6724391314703682
B1_plus_all_score_insights,kpx_group_1,5,534,0.12507623583328717,0.12588835213413815,0.0008121163008509749,0.4336701046544206
B1_plus_all_score_insights,kpx_group_1,6,330,0.11990466460980628,0.1190748166877306,-0.0008298479220756876,-0.2738498142849769
B1_plus_all_score_insights,kpx_group_1,7,536,0.1307989438821994,0.13402561154003895,0.0032266676578395505,1.729493864601999
B1_plus_all_score_insights,kpx_group_1,8,251,0.12703716547076366,0.12941722205438305,0.002380056583619385,0.5973942024884656
B1_plus_all_score_insights,kpx_group_1,9,285,0.11275375247634964,0.11663297380309921,0.00387922132674957,1.1055780781236275
