experiment_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
baseline_w4,1,0.6066120531203469,0.8522445145644976,0.36097959167619637,0.1477554854355024,1492
baseline_w4,2,0.5974444395698287,0.8585090605632768,0.3363798185763807,0.14149093943672317,772
baseline_w4,3,0.6122074150278399,0.8631900092637527,0.36122482079192714,0.1368099907362473,1587
baseline_w4,4,0.6089309843639541,0.8818158606770119,0.33604610805089624,0.11818413932298806,1166
baseline_w4,5,0.6201257605110734,0.8730930951536661,0.36715842586848074,0.1269069048463339,1545
baseline_w4,6,0.6035545287833999,0.8757667905257708,0.33134226704102904,0.12423320947422922,970
baseline_w4,7,0.6067560647603746,0.8625673560981039,0.35094477342264535,0.1374326439018961,1577
baseline_w4,8,0.6050738452677202,0.8660881778962838,0.3440595126391566,0.1339118221037162,689
baseline_w4,9,0.6204641713315268,0.8905843226097603,0.3503440200532932,0.10941567739023968,837
baseline_w4,10,0.5917149198256562,0.8718405574695731,0.3115892821817391,0.1281594425304269,895
baseline_w4,11,0.5923041861163887,0.8652355633830239,0.31937280884975344,0.13476443661697615,963
baseline_w4,12,0.6393293584328147,0.8809765205748459,0.3976821962907835,0.11902347942515407,2038
A2_group_1.030_1.030_1.030,1,0.6236824321215324,0.8539016526969928,0.39346321154607206,0.1460983473030072,1492
A2_group_1.030_1.030_1.030,2,0.6160518555280711,0.8630183321126417,0.3690853789435005,0.13698166788735838,772
A2_group_1.030_1.030_1.030,3,0.617276800660023,0.8631137080571949,0.3714398932628511,0.1368862919428051,1587
A2_group_1.030_1.030_1.030,4,0.619956171633242,0.8833728007927806,0.3565395424737034,0.11662719920721942,1166
A2_group_1.030_1.030_1.030,5,0.6255490613311911,0.874327499384174,0.37677062327820837,0.12567250061582605,1545
A2_group_1.030_1.030_1.030,6,0.6038066015731703,0.874282014787002,0.33333118835933867,0.125717985212998,970
A2_group_1.030_1.030_1.030,7,0.6067595298932661,0.8632018132994559,0.3503172464870763,0.13679818670054417,1577
A2_group_1.030_1.030_1.030,8,0.6140349210918059,0.8670293910121016,0.3610404511715102,0.13297060898789842,689
A2_group_1.030_1.030_1.030,9,0.6295822368003818,0.8917419869615909,0.3674224866391727,0.10825801303840905,837
A2_group_1.030_1.030_1.030,10,0.6026838369238885,0.8741336227263576,0.3312340511214193,0.1258663772736424,895
A2_group_1.030_1.030_1.030,11,0.6131558710915328,0.8681024174810615,0.3582093247020041,0.1318975825189385,963
A2_group_1.030_1.030_1.030,12,0.6492868006780896,0.8817439869300051,0.4168296144261743,0.11825601306999485,2038
A1_global_1.0300,1,0.6236824321215324,0.8539016526969928,0.39346321154607206,0.1460983473030072,1492
A1_global_1.0300,2,0.6160518555280711,0.8630183321126417,0.3690853789435005,0.13698166788735838,772
A1_global_1.0300,3,0.617276800660023,0.8631137080571949,0.3714398932628511,0.1368862919428051,1587
A1_global_1.0300,4,0.619956171633242,0.8833728007927806,0.3565395424737034,0.11662719920721942,1166
A1_global_1.0300,5,0.6255490613311911,0.874327499384174,0.37677062327820837,0.12567250061582605,1545
A1_global_1.0300,6,0.6038066015731703,0.874282014787002,0.33333118835933867,0.125717985212998,970
A1_global_1.0300,7,0.6067595298932661,0.8632018132994559,0.3503172464870763,0.13679818670054417,1577
A1_global_1.0300,8,0.6140349210918059,0.8670293910121016,0.3610404511715102,0.13297060898789842,689
A1_global_1.0300,9,0.6295822368003818,0.8917419869615909,0.3674224866391727,0.10825801303840905,837
A1_global_1.0300,10,0.6026838369238885,0.8741336227263576,0.3312340511214193,0.1258663772736424,895
A1_global_1.0300,11,0.6131558710915328,0.8681024174810615,0.3582093247020041,0.1318975825189385,963
A1_global_1.0300,12,0.6492868006780896,0.8817439869300051,0.4168296144261743,0.11825601306999485,2038
A2_group_1.030_1.030_1.025,1,0.6231000171279678,0.8536734604765973,0.39252657377933836,0.14632653952340266,1492
A2_group_1.030_1.030_1.025,2,0.6154706338233182,0.8627519944481775,0.3681892731984589,0.1372480055518225,772
A2_group_1.030_1.030_1.025,3,0.616717578840363,0.8629536050250508,0.37048155265567534,0.13704639497494925,1587
A2_group_1.030_1.030_1.025,4,0.6201813080096261,0.8832125385756612,0.35715007744359095,0.11678746142433882,1166
A2_group_1.030_1.030_1.025,5,0.6251532039633698,0.874222940273399,0.3760834676533406,0.12577705972660105,1545
A2_group_1.030_1.030_1.025,6,0.6038372231736879,0.8742558877293658,0.3334185586180101,0.1257441122706342,970
A2_group_1.030_1.030_1.025,7,0.6055240596451762,0.8628889960719899,0.34815912321836245,0.13711100392801015,1577
A2_group_1.030_1.030_1.025,8,0.6131044639875178,0.8669854107879632,0.35922351718707235,0.13301458921203677,689
A2_group_1.030_1.030_1.025,9,0.6302860826974688,0.891702707050349,0.36886945834458856,0.10829729294965096,837
A2_group_1.030_1.030_1.025,10,0.6025894786447451,0.8739449061680709,0.3312340511214193,0.12605509383192917,895
A2_group_1.030_1.030_1.025,11,0.6128868956086589,0.8677995488836793,0.35797424233363867,0.13220045111632076,963
A2_group_1.030_1.030_1.025,12,0.6507289326884681,0.8821449461303429,0.41931291924659336,0.11785505386965711,2038
A2_group_1.030_1.020_1.030,1,0.62371781651712,0.8543668727879268,0.39306876024631315,0.1456331272120732,1492
A2_group_1.030_1.020_1.030,2,0.6131522064865031,0.8626765895803152,0.36362782339269106,0.1373234104196848,772
A2_group_1.030_1.020_1.030,3,0.6203249073137134,0.8637753721398883,0.3768744424875383,0.13622462786011172,1587
A2_group_1.030_1.020_1.030,4,0.6184127341049234,0.8833890502956052,0.3534364179142415,0.11661094970439483,1166
A2_group_1.030_1.020_1.030,5,0.6266762048572451,0.8745141450111844,0.3788382647033058,0.12548585498881556,1545
A2_group_1.030_1.020_1.030,6,0.6043366623633966,0.8746498874804468,0.3340234372463464,0.12535011251955322,970
A2_group_1.030_1.020_1.030,7,0.6106098280678325,0.863825705378543,0.357393950757122,0.136174294621457,1577
A2_group_1.030_1.020_1.030,8,0.6121986461671988,0.8671548558116038,0.3572424365227938,0.13284514418839619,689
A2_group_1.030_1.020_1.030,9,0.6296516137479669,0.8916161009536082,0.36768712654232544,0.10838389904639183,837
A2_group_1.030_1.020_1.030,10,0.6028759030070856,0.8741363624888601,0.3316154435253111,0.12586363751113994,895
A2_group_1.030_1.020_1.030,11,0.6091214747918047,0.8680425968573315,0.35020035272627786,0.13195740314266846,963
A2_group_1.030_1.020_1.030,12,0.646390019172589,0.8811657110396156,0.4116143273055624,0.11883428896038443,2038
A2_group_1.030_1.025_1.030,1,0.6238105691167068,0.8541418969777506,0.39347924125566314,0.14585810302224947,1492
A2_group_1.030_1.025_1.030,2,0.6140866989707706,0.8628526456211054,0.36532075232043576,0.13714735437889453,772
A2_group_1.030_1.025_1.030,3,0.6186365655418079,0.8634537575160743,0.3738193735675415,0.1365462424839257,1587
A2_group_1.030_1.025_1.030,4,0.6200363965305699,0.8833831527886861,0.3566896402724537,0.11661684721131398,1166
A2_group_1.030_1.025_1.030,5,0.6260544151378173,0.8744313062373426,0.3776775240382922,0.1255686937626575,1545
A2_group_1.030_1.025_1.030,6,0.6041854268583867,0.8744691161515641,0.3339017375652093,0.12553088384843586,970
A2_group_1.030_1.025_1.030,7,0.6090752062170653,0.8635283397373379,0.35462207269679286,0.13647166026266208,1577
A2_group_1.030_1.025_1.030,8,0.6123086827684892,0.86710103373088,0.3575163318060983,0.13289896626912004,689
A2_group_1.030_1.025_1.030,9,0.6296268492804191,0.8916790439575996,0.36757465460323857,0.10832095604240044,837
A2_group_1.030_1.025_1.030,10,0.6026170585973316,0.8741349926076089,0.3310991245870545,0.12586500739239115,895
A2_group_1.030_1.025_1.030,11,0.6102413531021404,0.8680857538497918,0.35239695235448915,0.13191424615020816,963
A2_group_1.030_1.025_1.030,12,0.6473597327570633,0.8814591355108714,0.41326033000325507,0.11854086448912855,2038
A2_group_1.030_1.020_1.025,1,0.6231354015235555,0.8541386805675314,0.3921321224795795,0.14586131943246863,1492
A2_group_1.030_1.020_1.025,2,0.6125709847817502,0.8624102519158511,0.36273171764764944,0.13758974808414892,772
A2_group_1.030_1.020_1.025,3,0.6197656854940533,0.8636152691077441,0.37591610188036256,0.1363847308922559,1587
A2_group_1.030_1.020_1.025,4,0.6186378704813075,0.8832287880784858,0.3540469528841291,0.11677121192151423,1166
A2_group_1.030_1.020_1.025,5,0.6262803474894237,0.8744095859004095,0.378151109078438,0.1255904140995905,1545
A2_group_1.030_1.020_1.025,6,0.6043672839639143,0.8746237604228105,0.33411080750501787,0.12537623957718944,970
A2_group_1.030_1.020_1.025,7,0.6093743578197426,0.863512888151077,0.35523582748840815,0.13648711184892298,1577
A2_group_1.030_1.020_1.025,8,0.6112681890629107,0.8671108755874655,0.355425502538356,0.13288912441253453,689
A2_group_1.030_1.020_1.025,9,0.6303554596450537,0.8915768210423662,0.3691340982477412,0.10842317895763375,837
A2_group_1.030_1.020_1.025,10,0.6027815447279422,0.8739476459305733,0.3316154435253111,0.12605235406942675,895
A2_group_1.030_1.020_1.025,11,0.6088524993089309,0.8677397282599493,0.34996527035791253,0.13226027174005076,963
A2_group_1.030_1.020_1.025,12,0.6478321511829674,0.8815666702399533,0.4140976321259815,0.11843332976004668,2038
A2_group_1.030_1.025_1.025,1,0.6232281541231423,0.8539137047573551,0.39254260348892944,0.14608629524264494,1492
A2_group_1.030_1.025_1.025,2,0.6135054772660178,0.8625863079566414,0.36442464657539414,0.13741369204335865,772
A2_group_1.030_1.025_1.025,3,0.618077343722148,0.8632936544839301,0.3728610329603658,0.13670634551606986,1587
A2_group_1.030_1.025_1.025,4,0.620261532906954,0.8832228905715667,0.35730017524234126,0.11677710942843338,1166
A2_group_1.030_1.025_1.025,5,0.625658557769996,0.8743267471265675,0.3769903684134244,0.12567325287343248,1545
A2_group_1.030_1.025_1.025,6,0.6042160484589043,0.8744429890939279,0.33398910782388075,0.12555701090607205,970
A2_group_1.030_1.025_1.025,7,0.6078397359689756,0.863215522509872,0.352463949428079,0.13678447749012804,1577
A2_group_1.030_1.025_1.025,8,0.6113782256642011,0.8670570535067417,0.3556993978216605,0.13294294649325836,689
A2_group_1.030_1.025_1.025,9,0.6303306951775061,0.8916397640463577,0.36902162630865437,0.10836023595364234,837
A2_group_1.030_1.025_1.025,10,0.6025227003181883,0.8739462760493221,0.3310991245870545,0.12605372395067796,895
A2_group_1.030_1.025_1.025,11,0.6099723776192666,0.8677828852524095,0.3521618699861237,0.13221711474759046,963
