experiment_id,target,nmae,ficr,eligible_hours
baseline_w4,kpx_group_1,0.11991721460913031,0.37521641315384047,4989
baseline_w4,kpx_group_2,0.12405843832663847,0.42193119597690065,4976
baseline_w4,kpx_group_3,0.14593831567756324,0.2633704983189503,4566
A2_group_1.030_1.030_1.030,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.030_1.030,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.030_1.030_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A1_global_1.0300,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A1_global_1.0300,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A1_global_1.0300,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.030_1.030_1.025,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.030_1.025,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.030_1.030_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A2_group_1.030_1.020_1.030,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.020_1.030,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.030_1.020_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.030_1.025_1.030,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.025_1.030,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.030_1.025_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.030_1.020_1.025,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.020_1.025,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.030_1.020_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A2_group_1.030_1.025_1.025,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.025_1.025,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.030_1.025_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A2_group_1.030_1.015_1.030,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.015_1.030,kpx_group_2,0.12408215020034111,0.4315678278799043,4976
A2_group_1.030_1.015_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.030_1.030_1.020,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.030_1.020,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.030_1.030_1.020,kpx_group_3,0.14452894051282647,0.2673000322424318,4566
A1_global_1.0275,kpx_group_1,0.11797212364687158,0.40690186233553816,4989
A1_global_1.0275,kpx_group_2,0.12447605730075618,0.43482159042683266,4976
A1_global_1.0275,kpx_group_3,0.1440861113224615,0.2691666891665301,4566
A2_group_1.030_1.030_1.015,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.030_1.015,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.030_1.030_1.015,kpx_group_3,0.14485134926293908,0.2672114920550922,4566
A2_group_1.030_1.015_1.025,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.015_1.025,kpx_group_2,0.12408215020034111,0.4315678278799043,4976
A2_group_1.030_1.015_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A2_group_1.025_1.030_1.030,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.030_1.030,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.025_1.030_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.030_1.020_1.020,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.020_1.020,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.030_1.020_1.020,kpx_group_3,0.14452894051282647,0.2673000322424318,4566
A2_group_1.030_1.025_1.020,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.025_1.020,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.030_1.025_1.020,kpx_group_3,0.14452894051282647,0.2673000322424318,4566
A2_group_1.030_1.020_1.015,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.020_1.015,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.030_1.020_1.015,kpx_group_3,0.14485134926293908,0.2672114920550922,4566
A2_group_1.030_1.025_1.015,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.025_1.015,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.030_1.025_1.015,kpx_group_3,0.14485134926293908,0.2672114920550922,4566
A2_group_1.030_1.030_1.010,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.030_1.010,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
