target,feature_family,speed_decile,rows,speed_mean,actual_ratio_mean,abs_error_ratio_mean,signed_error_ratio_mean,pass8_rate,pass6_rate
kpx_group_1,direction_conditional_top,0,499,4.116807770300232,0.2349444623506272,0.0869713404499519,-0.033266155674258766,0.6833667334669339,0.5791583166332666
kpx_group_1,direction_conditional_top,1,499,6.328733780564237,0.27094669997402215,0.10164148086796096,-0.019923423049729858,0.5771543086172345,0.48697394789579157
kpx_group_1,direction_conditional_top,2,499,7.551632265932502,0.3080277983745268,0.09981275596748379,0.0009277175757792404,0.5170340681362725,0.40681362725450904
kpx_group_1,direction_conditional_top,3,499,8.716129200825918,0.362444450382246,0.12064112095438333,0.017682902263183517,0.41082164328657317,0.3066132264529058
kpx_group_1,direction_conditional_top,4,499,9.858907307957123,0.44463368273584203,0.13616368963845082,0.025831929703968325,0.37675350701402804,0.3026052104208417
kpx_group_1,direction_conditional_top,5,498,10.977339387227419,0.5317800147813476,0.12696715823880367,0.021489643654278235,0.39357429718875503,0.3112449799196787
kpx_group_1,direction_conditional_top,6,499,12.23438894999631,0.608694124452609,0.13445178335207025,0.03626997471987261,0.3967935871743487,0.3066132264529058
kpx_group_1,direction_conditional_top,7,499,13.778313421619597,0.6653597432828621,0.12719202582428818,0.049970173317220305,0.4248496993987976,0.3346693386773547
kpx_group_1,direction_conditional_top,8,499,15.816785285736835,0.7400076938135529,0.10612371064189406,0.04552921388650019,0.503006012024048,0.39478957915831664
kpx_group_1,direction_conditional_top,9,499,19.700151568494668,0.8062354407889853,0.09019287590644266,0.03171149140335665,0.5711422845691383,0.45490981963927857
kpx_group_1,nearest_modal,0,499,3.393052411067656,0.2699819003748237,0.09555619226375736,-0.036739355049988924,0.6352705410821643,0.5250501002004008
kpx_group_1,nearest_modal,1,499,5.034980419642584,0.36328445715505087,0.12437300857941355,0.0020257038263112362,0.44488977955911824,0.3527054108216433
kpx_group_1,nearest_modal,2,499,6.089778948251737,0.4152481808060566,0.11695917044441799,0.017369486957282115,0.47695390781563124,0.3727454909819639
kpx_group_1,nearest_modal,3,499,6.96750422116852,0.4521789889037334,0.11035768071903487,0.01448258229480672,0.4909819639278557,0.4088176352705411
kpx_group_1,nearest_modal,4,499,7.790614737424829,0.4562931485192608,0.11480332131918408,0.02904660535718045,0.46693386773547096,0.3807615230460922
kpx_group_1,nearest_modal,5,498,8.790872163322108,0.4806410377621598,0.11355902138771312,0.02814369233305842,0.43775100401606426,0.3654618473895582
kpx_group_1,nearest_modal,6,499,9.974864572241318,0.5151849184480071,0.12287034335398701,0.01201671881759178,0.44488977955911824,0.36472945891783565
kpx_group_1,nearest_modal,7,499,11.41716600547297,0.5911103255585244,0.11826746810574679,0.02158991510211468,0.43687374749499,0.3186372745490982
kpx_group_1,nearest_modal,8,499,13.611551001343257,0.6640111699324576,0.11322836903002642,0.049973488105512734,0.48897795591182364,0.3807615230460922
kpx_group_1,nearest_modal,9,499,17.62976721884974,0.7650375005566689,0.1001564966247188,0.03832796482319259,0.531062124248497,0.4148296593186373
kpx_group_1,soft_upstream,0,499,3.5428165772518736,0.23251434507904697,0.0851115814359293,-0.03606138271704044,0.6993987975951904,0.591182364729459
kpx_group_1,soft_upstream,1,499,5.249528197966562,0.31167096136717876,0.10991813715825927,-0.008712656823511012,0.5210420841683366,0.43286573146292584
kpx_group_1,soft_upstream,2,499,6.30792022355055,0.3563617763304387,0.11841116610010152,0.002025154983963653,0.45090180360721444,0.3486973947895792
kpx_group_1,soft_upstream,3,499,7.18470540312587,0.4035296736064722,0.11260458767958531,0.01844382332685042,0.4709418837675351,0.37074148296593185
kpx_group_1,soft_upstream,4,499,8.04991915327129,0.495268959307504,0.12355425841012901,0.027070554458410247,0.4248496993987976,0.3466933867735471
kpx_group_1,soft_upstream,5,498,9.006128429952332,0.5137118231258366,0.12163857050429122,0.03276216964824564,0.41967871485943775,0.3433734939759036
kpx_group_1,soft_upstream,6,499,10.135929438532623,0.5871048580494321,0.11850531416682758,0.011505799723400708,0.4288577154308617,0.342685370741483
kpx_group_1,soft_upstream,7,499,11.571525180433207,0.6192197145216358,0.13080558588057073,0.04038906965857886,0.4168336673346693,0.3066132264529058
kpx_group_1,soft_upstream,8,499,13.688738337635725,0.685652768592741,0.11045984064865005,0.04925973619831296,0.4909819639278557,0.3927855711422846
kpx_group_1,soft_upstream,9,499,17.485263661793454,0.768003022155422,0.09913822132485149,0.03956378957541226,0.531062124248497,0.4088176352705411
kpx_group_1,static_corr_top,0,499,3.5243777210143548,0.19673083101387961,0.06693798745349867,-0.01903236332622182,0.7675350701402806,0.6813627254509018
kpx_group_1,static_corr_top,1,499,5.896674352921332,0.26110009463371187,0.0990842539411039,-0.03596262952079431,0.5851703406813628,0.4749498997995992
kpx_group_1,static_corr_top,2,499,7.230170227131517,0.3112536416351221,0.10528493676671352,-0.011658162467584538,0.5130260521042084,0.41282565130260523
kpx_group_1,static_corr_top,3,499,8.460367324882293,0.3689095554998887,0.1263287285616666,0.010010662324282152,0.3867735470941884,0.3026052104208417
kpx_group_1,static_corr_top,4,499,9.756071002640876,0.4681042435797521,0.1441763933714358,0.03498241798280409,0.3226452905811623,0.23046092184368738
kpx_group_1,static_corr_top,5,498,11.01478300365457,0.537077579670534,0.13445248256458187,0.02982825966887475,0.3614457831325301,0.2751004016064257
kpx_group_1,static_corr_top,6,499,12.377156642560678,0.6217383946596897,0.13199819152858228,0.035149833028919504,0.4088176352705411,0.3106212424849699
kpx_group_1,static_corr_top,7,499,13.92825675169675,0.6695061059155347,0.12449264542083925,0.04862169235078457,0.44488977955911824,0.3486973947895792
kpx_group_1,static_corr_top,8,499,15.965696835265382,0.7387919639278557,0.10621596579223809,0.049620690742571555,0.49899799599198397,0.3967935871743487
kpx_group_1,static_corr_top,9,499,19.726722606272702,0.799872316763156,0.09120135709102109,0.034679777669870356,0.5651302605210421,0.45090180360721444
kpx_group_2,direction_conditional_top,0,498,4.227815407161926,0.220033132437156,0.07439854573753962,-0.02697633128967766,0.7088353413654619,0.6606425702811245
kpx_group_2,direction_conditional_top,1,498,6.523512250105457,0.27110891677822396,0.0948004978688555,-0.018368927225379115,0.572289156626506,0.4839357429718876
kpx_group_2,direction_conditional_top,2,497,7.720899371139926,0.32744599075937103,0.1125238229383266,-0.005699972102174694,0.49295774647887325,0.3843058350100604
kpx_group_2,direction_conditional_top,3,498,8.818637623852183,0.3985543343745352,0.13307020237954564,0.010250131146453971,0.41164658634538154,0.3132530120481928
kpx_group_2,direction_conditional_top,4,497,9.985756246476925,0.495491687905209,0.15096582584883472,0.04230238846619498,0.3118712273641851,0.23340040241448692
kpx_group_2,direction_conditional_top,5,498,11.16104724596522,0.5625435372043731,0.1489097125153414,0.057779361079241726,0.3473895582329317,0.23694779116465864
kpx_group_2,direction_conditional_top,6,497,12.473266191272696,0.6446406450741485,0.14441606041456861,0.056499507303959313,0.38028169014084506,0.2837022132796781
kpx_group_2,direction_conditional_top,7,498,14.033931510216847,0.684977782983787,0.12825112109857248,0.07094981467179276,0.44779116465863456,0.36947791164658633
kpx_group_2,direction_conditional_top,8,497,16.001092474288626,0.7272657059020792,0.12723974218897371,0.0880174999626025,0.5090543259557344,0.4104627766599598
kpx_group_2,direction_conditional_top,9,498,19.725335166811714,0.8011773060761564,0.08801112343159971,0.05295597148828837,0.6465863453815262,0.5301204819277109
kpx_group_2,nearest_modal,0,498,4.086076064585327,0.2147019539268184,0.07223794849636295,-0.025296548498077154,0.7349397590361446,0.6726907630522089
kpx_group_2,nearest_modal,1,498,6.030529483417327,0.2964471403205414,0.10604012836354453,-0.015418808690893054,0.5160642570281124,0.4357429718875502
kpx_group_2,nearest_modal,2,497,7.09971750290981,0.3529268119830092,0.11811119882335316,-0.002409026819672008,0.4607645875251509,0.3722334004024145
kpx_group_2,nearest_modal,3,498,8.073205345186203,0.4199328305815856,0.13314568063588858,0.025853813848801456,0.41164658634538154,0.3192771084337349
kpx_group_2,nearest_modal,4,497,9.017155336721979,0.517770059244355,0.1397579181946027,0.0530317480877995,0.3983903420523139,0.2917505030181087
kpx_group_2,nearest_modal,5,498,9.945613653855983,0.5647029004908524,0.13941366788004442,0.047219764136547986,0.3855421686746988,0.28714859437751006
kpx_group_2,nearest_modal,6,497,11.047499163040593,0.6303246088568447,0.1387537164490918,0.03953103945148403,0.3682092555331992,0.2796780684104628
kpx_group_2,nearest_modal,7,498,12.461768280932738,0.6483452587200655,0.14909926223076517,0.07401919041360795,0.40562248995983935,0.3172690763052209
kpx_group_2,nearest_modal,8,497,14.503305262497268,0.7055437543781207,0.11399291118909842,0.07342868660501561,0.5191146881287726,0.4164989939637827
kpx_group_2,nearest_modal,9,498,18.496137614448916,0.7825672575487134,0.09198496572018026,0.057714370154828484,0.6285140562248996,0.5140562248995983
kpx_group_2,soft_upstream,0,498,3.6499263146819696,0.2199538038264168,0.07547249228054739,-0.026412216161717208,0.7188755020080321,0.6546184738955824
kpx_group_2,soft_upstream,1,498,5.4739187715209665,0.30151344005652236,0.10494320953776894,-0.013490296371994783,0.5160642570281124,0.44377510040160645
kpx_group_2,soft_upstream,2,497,6.561696981100825,0.37519710093896713,0.121687351798339,9.008183273616871e-06,0.44064386317907445,0.3501006036217304
kpx_group_2,soft_upstream,3,498,7.449095788574572,0.42177622127398484,0.13363445588705944,0.0318796427430564,0.42971887550200805,0.3353413654618474
