target,feature_family,rows,speed_actual_corr,speed_abs_residual_corr,speed_signed_residual_corr,mean_abs_error_ratio,pass8_rate,pass6_rate,selected_grid_unique
kpx_group_1,direction_conditional_top,4989,0.7254611357910009,0.05599078080682254,0.12103273249167597,0.11301299775922717,0.4854680296652636,0.38845460012026456,6
kpx_group_1,nearest_modal,4989,0.5085790131071687,0.01660902130198541,0.08855415350492854,0.11301299775922717,0.4854680296652636,0.38845460012026456,1
kpx_group_1,soft_upstream,4989,0.6156075317701388,0.053655635250269,0.11284061128582051,0.11301299775922717,0.4854680296652636,0.38845460012026456,0
kpx_group_1,static_corr_top,4989,0.7491059363740877,0.08463958561590779,0.13987971462892926,0.11301299775922717,0.4854680296652636,0.38845460012026456,1
kpx_group_2,direction_conditional_top,4976,0.719137631411134,0.03880936967072733,0.18808317125672044,0.12024779108738826,0.4829180064308682,0.39067524115755625,4
kpx_group_2,nearest_modal,4976,0.6626178657117276,0.044284582797026725,0.17088749732389172,0.12024779108738826,0.4829180064308682,0.39067524115755625,1
kpx_group_2,soft_upstream,4976,0.6395032761225183,0.04144467138406776,0.16424427843501446,0.12024779108738826,0.4829180064308682,0.39067524115755625,0
kpx_group_2,static_corr_top,4976,0.7220284733100689,0.042272155913532276,0.19803362645566325,0.12024779108738826,0.4829180064308682,0.39067524115755625,1
kpx_group_3,direction_conditional_top,4566,0.6935017685707063,0.26796874650154523,-0.008509765552860392,0.13119605921715835,0.40451160753394655,0.32763907139728426,6
kpx_group_3,nearest_modal,4566,0.6999427967594699,0.27859208158895293,-0.0017209275359425231,0.13119605921715835,0.40451160753394655,0.32763907139728426,1
kpx_group_3,soft_upstream,4566,0.6469337538807578,0.24976466809258646,-0.003296135632882496,0.13119605921715835,0.40451160753394655,0.32763907139728426,0
kpx_group_3,static_corr_top,4566,0.714899311315543,0.2828106838224147,0.0007265542842721187,0.13119605921715835,0.40451160753394655,0.32763907139728426,1
