target,feature_family,month,rows,speed_actual_corr,speed_abs_residual_corr,mean_abs_error_ratio,pass8_rate
kpx_group_1,direction_conditional_top,1,469,0.7371962602730938,-0.2863233516774324,0.12116955724886343,0.47121535181236673
kpx_group_1,direction_conditional_top,2,254,0.7387518113158513,-0.11699313966412322,0.11470136219029542,0.47244094488188976
kpx_group_1,direction_conditional_top,3,556,0.746042519414015,0.10387063763357579,0.11745416405708613,0.447841726618705
kpx_group_1,direction_conditional_top,4,403,0.4855027872947803,0.15751484372068006,0.104952699557286,0.5260545905707196
kpx_group_1,direction_conditional_top,5,534,0.6456835285733133,0.06388374543110346,0.11834930714824786,0.4794007490636704
kpx_group_1,direction_conditional_top,6,330,0.5730425155573777,0.3556906710690992,0.12744139781771088,0.42727272727272725
kpx_group_1,direction_conditional_top,7,536,0.5840063981481858,-0.0009099155369821561,0.12958987380501621,0.39738805970149255
kpx_group_1,direction_conditional_top,8,251,0.5937875939042954,0.08945378382445206,0.1040865022368567,0.5338645418326693
kpx_group_1,direction_conditional_top,9,285,0.45248852126060934,0.29088340255763384,0.09509393029393436,0.5894736842105263
kpx_group_1,direction_conditional_top,10,339,0.5979925730205682,0.04842196455025605,0.09201743522717586,0.6224188790560472
kpx_group_1,direction_conditional_top,11,342,0.7926322053904917,-0.06445618422577473,0.10286256919058273,0.5497076023391813
kpx_group_1,direction_conditional_top,12,690,0.5667143556978149,-0.16415031327518018,0.11006372359491925,0.44782608695652176
kpx_group_1,nearest_modal,1,469,0.5381850361060795,-0.31054663553869655,0.12116955724886343,0.47121535181236673
kpx_group_1,nearest_modal,2,254,0.49083571103312823,-0.08613709797155869,0.11470136219029542,0.47244094488188976
kpx_group_1,nearest_modal,3,556,0.5419183776569819,0.10448219560447329,0.11745416405708613,0.447841726618705
kpx_group_1,nearest_modal,4,403,0.20304389603198134,0.06531626703658677,0.104952699557286,0.5260545905707196
kpx_group_1,nearest_modal,5,534,0.33830767004313567,0.09075768493668583,0.11834930714824786,0.4794007490636704
kpx_group_1,nearest_modal,6,330,0.3477136058061187,0.16064782651743303,0.12744139781771088,0.42727272727272725
kpx_group_1,nearest_modal,7,536,0.46317524710407154,-0.05921920300898273,0.12958987380501621,0.39738805970149255
kpx_group_1,nearest_modal,8,251,0.4040737101729939,0.058708895293020265,0.1040865022368567,0.5338645418326693
kpx_group_1,nearest_modal,9,285,0.3215786405092246,0.09731052593191314,0.09509393029393436,0.5894736842105263
kpx_group_1,nearest_modal,10,339,0.4221161189276601,-0.041213390651951544,0.09201743522717586,0.6224188790560472
kpx_group_1,nearest_modal,11,342,0.6572653287399213,-0.09735100445331195,0.10286256919058273,0.5497076023391813
kpx_group_1,nearest_modal,12,690,0.3495955716958492,-0.10767360496907977,0.11006372359491925,0.44782608695652176
kpx_group_1,soft_upstream,1,469,0.6190199106003986,-0.31068529226674674,0.12116955724886343,0.47121535181236673
kpx_group_1,soft_upstream,2,254,0.5604379892228811,-0.08697521121717147,0.11470136219029542,0.47244094488188976
kpx_group_1,soft_upstream,3,556,0.6409147801776892,0.1208832874304141,0.11745416405708613,0.447841726618705
kpx_group_1,soft_upstream,4,403,0.3647273871885936,0.1287054871151891,0.104952699557286,0.5260545905707196
kpx_group_1,soft_upstream,5,534,0.4352762059357687,0.09858820087445508,0.11834930714824786,0.4794007490636704
kpx_group_1,soft_upstream,6,330,0.3979138843320018,0.20711525262033031,0.12744139781771088,0.42727272727272725
kpx_group_1,soft_upstream,7,536,0.49441958519692386,-0.043577640765088854,0.12958987380501621,0.39738805970149255
kpx_group_1,soft_upstream,8,251,0.5319780860119828,0.09982982324021616,0.1040865022368567,0.5338645418326693
kpx_group_1,soft_upstream,9,285,0.412492455833524,0.1917289798295082,0.09509393029393436,0.5894736842105263
kpx_group_1,soft_upstream,10,339,0.5326183206680055,0.037294378336680596,0.09201743522717586,0.6224188790560472
kpx_group_1,soft_upstream,11,342,0.7236620279330385,-0.06003297941747106,0.10286256919058273,0.5497076023391813
kpx_group_1,soft_upstream,12,690,0.4028121958245542,-0.12209877430497879,0.11006372359491925,0.44782608695652176
kpx_group_1,static_corr_top,1,469,0.7418998449017722,-0.28664091280795007,0.12116955724886343,0.47121535181236673
kpx_group_1,static_corr_top,2,254,0.7568195070488297,-0.16378541591415857,0.11470136219029542,0.47244094488188976
kpx_group_1,static_corr_top,3,556,0.7486759002750675,0.11397899028354547,0.11745416405708613,0.447841726618705
kpx_group_1,static_corr_top,4,403,0.6364204026966868,0.27588801859632445,0.104952699557286,0.5260545905707196
kpx_group_1,static_corr_top,5,534,0.6343632602241156,0.07520422321200661,0.11834930714824786,0.4794007490636704
kpx_group_1,static_corr_top,6,330,0.5715856105438517,0.3648467812449541,0.12744139781771088,0.42727272727272725
kpx_group_1,static_corr_top,7,536,0.5850159466614194,-0.0029201614282817912,0.12958987380501621,0.39738805970149255
kpx_group_1,static_corr_top,8,251,0.6312213181404676,0.1283216245906779,0.1040865022368567,0.5338645418326693
kpx_group_1,static_corr_top,9,285,0.5061583998263054,0.3610872977832357,0.09509393029393436,0.5894736842105263
kpx_group_1,static_corr_top,10,339,0.7116383437320992,0.21854045822768173,0.09201743522717586,0.6224188790560472
kpx_group_1,static_corr_top,11,342,0.8013952611204596,-0.03209504648011021,0.10286256919058273,0.5497076023391813
kpx_group_1,static_corr_top,12,690,0.5500651245580083,-0.16335252523748944,0.11006372359491925,0.44782608695652176
kpx_group_2,direction_conditional_top,1,504,0.631692130086895,-0.14144487155332977,0.16471961956408798,0.44047619047619047
kpx_group_2,direction_conditional_top,2,262,0.7355314757645027,-0.145783477808015,0.1379296240543457,0.44656488549618323
kpx_group_2,direction_conditional_top,3,535,0.6739995452885281,-0.00468751297918368,0.1378722117721188,0.4542056074766355
kpx_group_2,direction_conditional_top,4,407,0.5743091459218391,0.19021074900283744,0.10047487101270136,0.5405405405405406
kpx_group_2,direction_conditional_top,5,526,0.6408217689434852,0.0053318526319222825,0.10933039602352655,0.49429657794676807
kpx_group_2,direction_conditional_top,6,345,0.5848301580671161,0.35324283733690404,0.12490900026313881,0.4579710144927536
kpx_group_2,direction_conditional_top,7,526,0.57924913388242,-0.15213384360244772,0.11833081343866483,0.467680608365019
kpx_group_2,direction_conditional_top,8,239,0.6007536263472358,0.18405311350971698,0.12293503225013999,0.4351464435146444
kpx_group_2,direction_conditional_top,9,303,0.5461009727481847,0.2981794181459113,0.091191737760905,0.6105610561056105
kpx_group_2,direction_conditional_top,10,315,0.6801585532103606,0.2610154345716756,0.11095194875104707,0.5174603174603175
kpx_group_2,direction_conditional_top,11,328,0.753542005670149,0.07541998872851191,0.10649190468811996,0.5030487804878049
kpx_group_2,direction_conditional_top,12,686,0.5056533420382296,-0.2505837641120352,0.10904762941185957,0.46647230320699706
kpx_group_2,nearest_modal,1,504,0.6018139556952772,-0.16573280730515544,0.16471961956408798,0.44047619047619047
kpx_group_2,nearest_modal,2,262,0.6358942741867575,-0.027745611129071056,0.1379296240543457,0.44656488549618323
kpx_group_2,nearest_modal,3,535,0.6137592369140806,-0.0058279571105865555,0.1378722117721188,0.4542056074766355
kpx_group_2,nearest_modal,4,407,0.49407677255246957,0.15980336132948217,0.10047487101270136,0.5405405405405406
kpx_group_2,nearest_modal,5,526,0.5429803281946081,0.04302270136494441,0.10933039602352655,0.49429657794676807
kpx_group_2,nearest_modal,6,345,0.48590613892683693,0.26122085359390107,0.12490900026313881,0.4579710144927536
kpx_group_2,nearest_modal,7,526,0.5227408645487468,-0.115965149705166,0.11833081343866483,0.467680608365019
kpx_group_2,nearest_modal,8,239,0.6209521482344323,0.20699712298900702,0.12293503225013999,0.4351464435146444
kpx_group_2,nearest_modal,9,303,0.5430856063502453,0.2843560884055645,0.091191737760905,0.6105610561056105
kpx_group_2,nearest_modal,10,315,0.6443304139427014,0.231589303446126,0.11095194875104707,0.5174603174603175
kpx_group_2,nearest_modal,11,328,0.7178677903585666,0.013574101677731454,0.10649190468811996,0.5030487804878049
kpx_group_2,nearest_modal,12,686,0.396884245830957,-0.22415395162076468,0.10904762941185957,0.46647230320699706
kpx_group_2,soft_upstream,1,504,0.5637798302396843,-0.15176662795504206,0.16471961956408798,0.44047619047619047
kpx_group_2,soft_upstream,2,262,0.5984540907201833,0.00012977866565512706,0.1379296240543457,0.44656488549618323
kpx_group_2,soft_upstream,3,535,0.5805004058834361,-0.009685977811140438,0.1378722117721188,0.4542056074766355
kpx_group_2,soft_upstream,4,407,0.44722217290899346,0.1435935220448704,0.10047487101270136,0.5405405405405406
kpx_group_2,soft_upstream,5,526,0.4970930947494575,0.05020883896863036,0.10933039602352655,0.49429657794676807
kpx_group_2,soft_upstream,6,345,0.43944719115741043,0.2520456428525582,0.12490900026313881,0.4579710144927536
kpx_group_2,soft_upstream,7,526,0.5268109827564449,-0.11954211833144886,0.11833081343866483,0.467680608365019
kpx_group_2,soft_upstream,8,239,0.6105441321147835,0.18632712134524387,0.12293503225013999,0.4351464435146444
kpx_group_2,soft_upstream,9,303,0.5353893042178223,0.2649112410409348,0.091191737760905,0.6105610561056105
kpx_group_2,soft_upstream,10,315,0.6303442764532224,0.20867831678243923,0.11095194875104707,0.5174603174603175
kpx_group_2,soft_upstream,11,328,0.7007245926609587,0.025688127056401378,0.10649190468811996,0.5030487804878049
kpx_group_2,soft_upstream,12,686,0.3734116001452021,-0.21701290194099232,0.10904762941185957,0.46647230320699706
kpx_group_2,static_corr_top,1,504,0.6317409650302,-0.14142340675419432,0.16471961956408798,0.44047619047619047
kpx_group_2,static_corr_top,2,262,0.7093367256236088,-0.18709446252115577,0.1379296240543457,0.44656488549618323
kpx_group_2,static_corr_top,3,535,0.670358430949312,-0.01382278158030325,0.1378722117721188,0.4542056074766355
kpx_group_2,static_corr_top,4,407,0.627236242364745,0.23134759590828258,0.10047487101270136,0.5405405405405406
kpx_group_2,static_corr_top,5,526,0.6447384313035195,0.009756228687148323,0.10933039602352655,0.49429657794676807
kpx_group_2,static_corr_top,6,345,0.580359281775754,0.34304934389886366,0.12490900026313881,0.4579710144927536
kpx_group_2,static_corr_top,7,526,0.5803797841161892,-0.15294703089134587,0.11833081343866483,0.467680608365019
kpx_group_2,static_corr_top,8,239,0.6222728732223782,0.21860449580235564,0.12293503225013999,0.4351464435146444
kpx_group_2,static_corr_top,9,303,0.5436388549060905,0.32875341665882574,0.091191737760905,0.6105610561056105
kpx_group_2,static_corr_top,10,315,0.7196208191757061,0.3110760239371743,0.11095194875104707,0.5174603174603175
kpx_group_2,static_corr_top,11,328,0.7550340566093936,0.08038751278546809,0.10649190468811996,0.5030487804878049
kpx_group_2,static_corr_top,12,686,0.5057063673413266,-0.2502049124151712,0.10904762941185957,0.46647230320699706
kpx_group_3,direction_conditional_top,1,519,0.6490042636662464,0.24979554404254964,0.14029063374019132,0.3371868978805395
kpx_group_3,direction_conditional_top,2,256,0.6880537540796797,0.1983198386358434,0.14434537216934845,0.34375
kpx_group_3,direction_conditional_top,3,496,0.6914841278650624,0.2922486615192013,0.14174105052082597,0.3709677419354839
kpx_group_3,direction_conditional_top,4,356,0.46858503651752714,0.2630446329236239,0.11577732027821588,0.4943820224719101
kpx_group_3,direction_conditional_top,5,485,0.5722546828965663,0.28043667549949247,0.13456425646765952,0.3628865979381443
kpx_group_3,direction_conditional_top,6,295,0.6085222730800087,0.31007622215940256,0.1208117126365117,0.43728813559322033
kpx_group_3,direction_conditional_top,7,515,0.5647115525695701,0.002116576894591976,0.14737602013150478,0.2912621359223301
kpx_group_3,direction_conditional_top,8,199,0.5896437699995349,0.14326578843596394,0.12567451091105786,0.49246231155778897
kpx_group_3,direction_conditional_top,9,249,0.44074551333935263,0.41852978584452727,0.08386759612501175,0.6305220883534136
kpx_group_3,direction_conditional_top,10,241,0.6313067036247719,0.3985640036444883,0.11849474805570517,0.5186721991701245
kpx_group_3,direction_conditional_top,11,293,0.7369539038060126,0.4393750029071577,0.15030100352124146,0.35494880546075086
kpx_group_3,direction_conditional_top,12,662,0.5459838105055024,-0.018275648958651032,0.12457433190297586,0.43051359516616317
kpx_group_3,nearest_modal,1,519,0.6603376075720789,0.26995542720640464,0.14029063374019132,0.3371868978805395
kpx_group_3,nearest_modal,2,256,0.6761001408509193,0.19883268482490268,0.14434537216934845,0.34375
kpx_group_3,nearest_modal,3,496,0.6887181073694056,0.3176570798509751,0.14174105052082597,0.3709677419354839
kpx_group_3,nearest_modal,4,356,0.5729627984410549,0.34497791506634345,0.11577732027821588,0.4943820224719101
kpx_group_3,nearest_modal,5,485,0.5635856403670322,0.28789031371516777,0.13456425646765952,0.3628865979381443
kpx_group_3,nearest_modal,6,295,0.5854854895060558,0.29783201676600346,0.1208117126365117,0.43728813559322033
kpx_group_3,nearest_modal,7,515,0.5641137486216319,-0.004351844449344741,0.14737602013150478,0.2912621359223301
kpx_group_3,nearest_modal,8,199,0.577646599312449,0.1167292777971169,0.12567451091105786,0.49246231155778897
kpx_group_3,nearest_modal,9,249,0.4317166320729352,0.40293316051422784,0.08386759612501175,0.6305220883534136
kpx_group_3,nearest_modal,10,241,0.6655582966318762,0.44173734126447706,0.11849474805570517,0.5186721991701245
kpx_group_3,nearest_modal,11,293,0.7613843877395248,0.44620785982493943,0.15030100352124146,0.35494880546075086
kpx_group_3,nearest_modal,12,662,0.5347572886043819,-0.030440525991343087,0.12457433190297586,0.43051359516616317
kpx_group_3,soft_upstream,1,519,0.5947527392867568,0.25688531054064856,0.14029063374019132,0.3371868978805395
kpx_group_3,soft_upstream,2,256,0.6182207484583464,0.17938673037308306,0.14434537216934845,0.34375
kpx_group_3,soft_upstream,3,496,0.6145596684776904,0.2747733762837835,0.14174105052082597,0.3709677419354839
kpx_group_3,soft_upstream,4,356,0.3873372137538316,0.19579789153849392,0.11577732027821588,0.4943820224719101
kpx_group_3,soft_upstream,5,485,0.4729269528596299,0.2541855089866773,0.13456425646765952,0.3628865979381443
kpx_group_3,soft_upstream,6,295,0.4657272160967614,0.22758296548214305,0.1208117126365117,0.43728813559322033
kpx_group_3,soft_upstream,7,515,0.5353855988137273,-0.013890409249964637,0.14737602013150478,0.2912621359223301
kpx_group_3,soft_upstream,8,199,0.5997016886881436,0.10280965861083735,0.12567451091105786,0.49246231155778897
kpx_group_3,soft_upstream,9,249,0.41899434722187806,0.38994711411100597,0.08386759612501175,0.6305220883534136
kpx_group_3,soft_upstream,10,241,0.6337766385329985,0.41177645609053487,0.11849474805570517,0.5186721991701245
kpx_group_3,soft_upstream,11,293,0.7174320345533552,0.4242248810213464,0.15030100352124146,0.35494880546075086
kpx_group_3,soft_upstream,12,662,0.48236083478046976,-0.052666782909477586,0.12457433190297586,0.43051359516616317
kpx_group_3,static_corr_top,1,519,0.6701169740680664,0.2623699019542752,0.14029063374019132,0.3371868978805395
kpx_group_3,static_corr_top,2,256,0.7058346822303353,0.2205460345616846,0.14434537216934845,0.34375
kpx_group_3,static_corr_top,3,496,0.7083741463557316,0.3432282538295831,0.14174105052082597,0.3709677419354839
kpx_group_3,static_corr_top,4,356,0.6188766459449527,0.3876672527789903,0.11577732027821588,0.4943820224719101
kpx_group_3,static_corr_top,5,485,0.6011569084280638,0.2933492044992748,0.13456425646765952,0.3628865979381443
kpx_group_3,static_corr_top,6,295,0.6376021047241694,0.3016913873144239,0.1208117126365117,0.43728813559322033
kpx_group_3,static_corr_top,7,515,0.5881149028503149,-4.1291347354234956e-05,0.14737602013150478,0.2912621359223301
kpx_group_3,static_corr_top,8,199,0.5781011471895952,0.13914822468148413,0.12567451091105786,0.49246231155778897
kpx_group_3,static_corr_top,9,249,0.42705858282933773,0.3979242069319478,0.08386759612501175,0.6305220883534136
kpx_group_3,static_corr_top,10,241,0.6696794271781605,0.4487317151593654,0.11849474805570517,0.5186721991701245
