target,feature_family,speed_decile,rows,settlement_weight_share,in8_rate,near_8_10_rate,lost_10_15_rate,mean_signed_error_ratio,mean_abs_error_ratio
kpx_group_1,direction_conditional_top,0,499,0.04725343211971246,0.6833667334669339,0.04208416833667335,0.10821643286573146,-0.033266155674258766,0.0869713404499519
kpx_group_1,direction_conditional_top,1,499,0.05449441696640345,0.5771543086172345,0.056112224448897796,0.1402805611222445,-0.019923423049729858,0.10164148086796096
kpx_group_1,direction_conditional_top,2,499,0.061952388729864964,0.5170340681362725,0.06412825651302605,0.18637274549098196,0.0009277175757792404,0.09981275596748379
kpx_group_1,direction_conditional_top,3,499,0.072896990471494,0.41082164328657317,0.07615230460921844,0.18837675350701402,0.017682902263183517,0.12064112095438333
kpx_group_1,direction_conditional_top,4,499,0.0894273792839612,0.37675350701402804,0.06212424849699399,0.17835671342685372,0.025831929703968325,0.13616368963845082
kpx_group_1,direction_conditional_top,5,498,0.10674043134861459,0.39357429718875503,0.07630522088353414,0.178714859437751,0.021489643654278235,0.12696715823880367
kpx_group_1,direction_conditional_top,6,499,0.1224241942275018,0.3967935871743487,0.09018036072144289,0.1683366733466934,0.03626997471987261,0.13445178335207025
kpx_group_1,direction_conditional_top,7,499,0.13382112159547183,0.4248496993987976,0.0841683366733467,0.1843687374749499,0.049970173317220305,0.12719202582428818
kpx_group_1,direction_conditional_top,8,499,0.14883476281087304,0.503006012024048,0.09619238476953908,0.14228456913827656,0.04552921388650019,0.10612371064189406
kpx_group_1,direction_conditional_top,9,499,0.1621548824461028,0.5711422845691383,0.09418837675350701,0.16032064128256512,0.03171149140335665,0.09019287590644266
kpx_group_1,nearest_modal,0,499,0.05430037071430745,0.6352705410821643,0.052104208416833664,0.12424849699398798,-0.036739355049988924,0.09555619226375736
kpx_group_1,nearest_modal,1,499,0.07306593764573978,0.44488977955911824,0.050100200400801605,0.17635270541082165,0.0020257038263112362,0.12437300857941355
kpx_group_1,nearest_modal,2,499,0.08351719180028887,0.47695390781563124,0.06012024048096192,0.1743486973947896,0.017369486957282115,0.11695917044441799
kpx_group_1,nearest_modal,3,499,0.09094493628130298,0.4909819639278557,0.06012024048096192,0.1683366733466934,0.01448258229480672,0.11035768071903487
kpx_group_1,nearest_modal,4,499,0.09177240061128517,0.46693386773547096,0.09018036072144289,0.13627254509018036,0.02904660535718045,0.11480332131918408
kpx_group_1,nearest_modal,5,498,0.09647566713403723,0.43775100401606426,0.08433734939759036,0.20281124497991967,0.02814369233305842,0.11355902138771312
kpx_group_1,nearest_modal,6,499,0.1036170647710417,0.44488977955911824,0.07214428857715431,0.15430861723446893,0.01201671881759178,0.12287034335398701
kpx_group_1,nearest_modal,7,499,0.1188876356760247,0.43687374749499,0.10220440881763528,0.1683366733466934,0.02158991510211468,0.11826746810574679
kpx_group_1,nearest_modal,8,499,0.1335498884766563,0.48897795591182364,0.08016032064128256,0.1523046092184369,0.049973488105512734,0.11322836903002642
