model_id,model_family,raw_score,raw_1_nmae,raw_ficr,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,delta_vs_baseline,worst_month_score,high_generation_score,group_1_score,group_2_score,group_3_score,train_seconds,predict_seconds,total_seconds,status,notes,months_better_than_lgbm,groups_better_than_lgbm
lgbm_l1_baseline,LightGBM,0.6117673564727266,0.8700286771288893,0.3535060358165638,1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.0006292718009832665,0.6026838369238885,0.6159288142378625,0.6455045729023654,0.6553938738628603,0.5631672933377241,,,0.0,ok,current B1 baseline parameters; loaded cached prediction,0.0,0.0
lgbm_l2,LightGBM,0.6015813556715044,0.8674200202363113,0.3357426911066976,1.03,0.6108833543165592,0.868659238819103,0.3531074698140153,-0.009842620583440875,0.5768974216288609,0.6021705515579027,0.6356991128374658,0.6461557621064018,0.5507951880058098,,,0.0,ok,"same params, L2 objective; loaded cached prediction",3.0,0.0
lgbm_huber,LightGBM,0.41915089391093513,0.7345351040386578,0.10376668378321241,1.03,0.421777512107068,0.7377957145923614,0.10575930962177461,-0.19894846279293205,0.3531732920832772,0.28829971796879983,0.4229748076694062,0.423052003378504,0.4193057252732937,,,0.0,ok,"same params, huber objective; loaded cached prediction",0.0,0.0
hist_gbdt_l2,sklearn HistGradientBoosting,0.603295766949479,0.867833154109497,0.3387583797894609,1.03,0.6134423527290497,0.869157233541025,0.35772747191707427,-0.007283622170950355,0.5822786324908439,0.6053906197624364,0.6339788514108602,0.6484255725068744,0.5579226342694145,,,0.0,ok,fast sklearn boosting diversity; loaded cached prediction,4.0,0.0
extra_trees,sklearn ExtraTrees,0.5932408097509794,0.8686168538838477,0.31786476561811106,1.03,0.6089984143599894,0.8712021723550386,0.34679465636494017,-0.011727560540010673,0.5664070283608884,0.5921010310383831,0.6171451306336626,0.6477655436456355,0.5620845688006699,,,0.0,ok,bagging diversity candidate; loaded cached prediction,2.0,0.0
random_forest,sklearn RandomForest,0.5927799551298101,0.8665672662172925,0.3189926440423277,1.03,0.606009629836504,0.8689223481665187,0.3430969115064893,-0.014716345063496061,0.5827801032697622,0.588892346978624,0.6158197498947784,0.6477855002831062,0.5544236393316275,,,0.0,ok,bagging diversity candidate; loaded cached prediction,1.0,0.0
ridge,linear,0.5825300028202812,0.8613353412453456,0.3037246643952169,1.03,0.5903793525417873,0.8629083182961603,0.3178503867874143,-0.030346622358212727,0.5528961454563006,0.5653892510979627,0.6178197609014845,0.593932461399098,0.5593858353247795,,,0.0,ok,linear diversity diagnostic; loaded cached prediction,0.0,0.0
elastic_net,linear,,,,,,,,,,,,,,,,,skipped,deferred after runtime screen; linear Ridge already covers first-pass linear diversity,,
huber,linear,,,,,,,,,,,,,,,,,skipped,deferred after runtime screen; robust linear optimization is too slow for first screening,,
xgboost_l1,XGBoost,0.6089785095984172,0.8690016737370283,0.34895534545980605,1.0275,0.6176402913337409,0.8702091405323495,0.3650714421351322,-0.0030856835662591564,0.5862633067159905,0.6078794510778383,0.6364838579208913,0.6518670135165405,0.5645700025637908,,,0.0,ok,installed wheel; absolute-error objective; loaded cached prediction,3.0,1.0
catboost_mae,CatBoost,0.6073586693165991,0.867625512913991,0.3470918257192072,1.03,0.6140365738320124,0.8685533636102254,0.3595197840537993,-0.006689401067987655,0.5935124326129911,0.6119683592410983,0.630830762123678,0.6437920961950666,0.5674868631772926,,,0.0,ok,installed wheel; MAE loss; loaded cached prediction,1.0,1.0
tabm_feasibility,TabM,,,,,,,,,,,,,,,,,skipped,tabm not installed; deferred because dependency/runtime is heavy for first screening,,
tabpfn_feasibility,TabPFN,,,,,,,,,,,,,,,,,skipped,tabpfn not installed; deferred because dependency/runtime is heavy for first screening,,
autogluon_feasibility,AutoGluon,,,,,,,,,,,,,,,,,skipped,autogluon not installed; deferred because dependency/runtime is heavy for first screening,,
