model,target,actual_bin,abs_error,ficr_pass_rate,rows
lgbm_l1_baseline,kpx_group_2,60-80%,0.1286407148084259,0.3893333333333333,1125
lgbm_l1_baseline,kpx_group_2,80%+,0.08788346865414746,0.6295907660020986,953
lgbm_l1_baseline,kpx_group_3,<10%,0.04053347178827814,0.0,4212
lgbm_l1_baseline,kpx_group_3,10-30%,0.10632917876110778,0.48838752488387527,1507
lgbm_l1_baseline,kpx_group_3,30-60%,0.1395054907082742,0.3328729281767956,1448
lgbm_l1_baseline,kpx_group_3,60-80%,0.13773851883250815,0.39933259176863184,899
lgbm_l1_baseline,kpx_group_3,80%+,0.24044182693714014,0.06320224719101124,712
lgbm_l2,kpx_group_1,<10%,0.06740758828530795,0.0,3789
lgbm_l2,kpx_group_1,10-30%,0.1033581611031137,0.5173745173745173,1554
lgbm_l2,kpx_group_1,30-60%,0.13144919201058214,0.3584905660377358,1484
lgbm_l2,kpx_group_1,60-80%,0.11917962502855622,0.4383438343834383,1111
lgbm_l2,kpx_group_1,80%+,0.12556419619925752,0.4142857142857143,840
lgbm_l2,kpx_group_2,<10%,0.05967936380351475,0.0,3802
lgbm_l2,kpx_group_2,10-30%,0.12696286472247936,0.4853760445682451,1436
lgbm_l2,kpx_group_2,30-60%,0.14021234675793018,0.34131326949384405,1462
lgbm_l2,kpx_group_2,60-80%,0.12100796433120149,0.4053333333333333,1125
lgbm_l2,kpx_group_2,80%+,0.09577847569051093,0.5445960125918153,953
lgbm_l2,kpx_group_3,<10%,0.050651340383869904,0.0,4212
lgbm_l2,kpx_group_3,10-30%,0.11230438199821423,0.47577969475779697,1507
lgbm_l2,kpx_group_3,30-60%,0.1384868632506632,0.3259668508287293,1448
lgbm_l2,kpx_group_3,60-80%,0.14141874790226822,0.3793103448275862,899
lgbm_l2,kpx_group_3,80%+,0.2737134946948889,0.033707865168539325,712
random_forest,kpx_group_1,<10%,0.06652840027563481,0.0,3789
random_forest,kpx_group_1,10-30%,0.10143222326770189,0.509009009009009,1554
random_forest,kpx_group_1,30-60%,0.12476317363397711,0.38544474393531,1484
random_forest,kpx_group_1,60-80%,0.12401412704256762,0.42484248424842486,1111
random_forest,kpx_group_1,80%+,0.1539039990019362,0.2845238095238095,840
random_forest,kpx_group_2,<10%,0.06520115022988902,0.0,3802
random_forest,kpx_group_2,10-30%,0.12279490080019372,0.4895543175487465,1436
random_forest,kpx_group_2,30-60%,0.1339389479691504,0.36183310533515733,1462
random_forest,kpx_group_2,60-80%,0.12028134145307308,0.41955555555555557,1125
random_forest,kpx_group_2,80%+,0.10640242400449777,0.5183630640083945,953
random_forest,kpx_group_3,<10%,0.05092550845529578,0.0,4212
