model,catboost_mae,extra_trees,hist_gbdt_l2,lgbm_huber,lgbm_l1_baseline,lgbm_l2,random_forest,ridge,xgboost_l1
catboost_mae,1.0,0.938886885893791,0.9346835692173054,0.35569574611537064,0.9614808090479602,0.9366091553270441,0.9318725130763258,0.8364578634734027,0.9575356007829686
extra_trees,0.938886885893791,1.0,0.9507408694716739,0.5074801246573922,0.9489647548384574,0.9522136521647735,0.978532905208794,0.8659952969480369,0.9525290879589038
hist_gbdt_l2,0.9346835692173054,0.9507408694716739,1.0,0.4303697783923583,0.9547152913468792,0.9824533032378784,0.9556297264059679,0.8298476354880875,0.9542794449552989
lgbm_huber,0.35569574611537064,0.5074801246573922,0.4303697783923583,1.0,0.3705272473723806,0.4250790701348351,0.49351568087115055,0.5439040542339855,0.3892594583282415
lgbm_l1_baseline,0.9614808090479602,0.9489647548384574,0.9547152913468792,0.3705272473723806,1.0,0.9575746009455767,0.9485805795646551,0.8302317337664248,0.9818047412205476
lgbm_l2,0.9366091553270441,0.9522136521647735,0.9824533032378784,0.4250790701348351,0.9575746009455767,1.0,0.9553686166317157,0.8326054907668354,0.9554376233176074
random_forest,0.9318725130763258,0.978532905208794,0.9556297264059679,0.49351568087115055,0.9485805795646551,0.9553686166317157,1.0,0.8511820289346334,0.9519051251513099
ridge,0.8364578634734027,0.8659952969480369,0.8298476354880875,0.5439040542339855,0.8302317337664248,0.8326054907668354,0.8511820289346334,1.0,0.8331794029211809
xgboost_l1,0.9575356007829686,0.9525290879589038,0.9542794449552989,0.3892594583282415,0.9818047412205476,0.9554376233176074,0.9519051251513099,0.8331794029211809,1.0
