target,lead_hour,rows,candidate_abs_error,baseline_abs_error,mean_signed_error,std_signed_error,mean_actual_ratio,mean_abs_source_disagreement,pass_to_fail,fail_to_pass,net_ficr_pass
kpx_group_1,12.0,366,0.10499542494223543,0.10421893744377878,0.041879196389117565,0.14432906405551227,0.34499285721513867,2.939676938148363,3,7,4
kpx_group_1,13.0,366,0.10799780997847794,0.10775375055733254,0.051480126518193316,0.14828333302551563,0.3439518830955272,2.929243821780808,4,1,-3
kpx_group_1,14.0,366,0.10709647841224877,0.10670315711401403,0.039512154653171816,0.15272220073336223,0.35807548724954463,2.8793187607920743,4,10,6
kpx_group_1,15.0,366,0.10614762738160693,0.10462674110387578,0.028580151704861854,0.15959767349610107,0.36655514065978545,2.9283071321451817,9,6,-3
kpx_group_1,16.0,366,0.10549192854771926,0.1041647443335669,0.027492201761023755,0.1588485481183414,0.3611709731076705,2.833132463712419,4,5,1
kpx_group_1,17.0,366,0.10526126018984405,0.10478483814459667,0.0312383830235802,0.1543611862853746,0.3439994468478041,2.6763271291935093,5,7,2
kpx_group_1,18.0,366,0.10540968248144088,0.10604341879915236,0.023164057881555854,0.15809373555865347,0.331158310564663,2.6071406355253166,4,7,3
kpx_group_1,19.0,366,0.10012693816161804,0.09986375702848367,0.024405471546819556,0.15611852484958838,0.30934721779498076,2.6208722592673586,8,5,-3
kpx_group_1,20.0,366,0.09286922287595495,0.09156822750019558,0.025356124761425604,0.14435399258166537,0.2851504797864805,2.507768790390512,8,8,0
kpx_group_1,21.0,366,0.08199035015287746,0.08258740627699931,0.009054829841073008,0.13182512740291674,0.25607085433110705,2.4312158579326857,0,6,6
kpx_group_1,22.0,366,0.07495963109691016,0.07568259071058364,0.01203720234722928,0.1266559056001064,0.23425976269985835,2.394879453112491,2,7,5
kpx_group_1,23.0,366,0.07299427469180292,0.07393216565563222,0.012333929647437776,0.11717688250451701,0.22719725465506715,2.5666322075393238,7,5,-2
kpx_group_1,24.0,366,0.07216317561664004,0.073016166750987,0.018241588046512297,0.11717949891819071,0.21984279532967033,2.6933838412359203,2,6,4
kpx_group_1,25.0,366,0.07401744120414068,0.07356102759552278,0.021816418408702635,0.11866935787570444,0.22049215112433862,2.8090397700822627,3,2,-1
kpx_group_1,26.0,366,0.07371581207807637,0.07388305235421538,0.02323963281552305,0.1179131000891016,0.22343654232442825,2.792468600297367,6,5,-1
kpx_group_1,27.0,366,0.0779616538723051,0.07744763240074481,0.029837332732595277,0.12770253940418674,0.2246275355444242,2.6675706245018977,5,7,2
kpx_group_1,28.0,366,0.08722199227017438,0.08703212941192334,0.035334705430796746,0.13343309932491404,0.23076545069317952,2.4634744236066735,4,5,1
kpx_group_1,29.0,366,0.09088204529632314,0.09032211241324473,0.03849102467139824,0.13702110723362262,0.2414075502175673,2.406175789388311,8,0,-8
kpx_group_1,30.0,366,0.09427124084685296,0.094518671343019,0.03619130397954898,0.1422689825382281,0.26203862654320986,2.536681033505942,2,6,4
kpx_group_1,31.0,366,0.1022918753258636,0.10222264221274267,0.032227385589844254,0.14903628980922087,0.28736781319570937,2.7128062255964593,6,8,2
kpx_group_1,32.0,366,0.10121384479081373,0.10107198941254779,0.020978052134328243,0.14914919825806205,0.3115901634284558,2.7895665162348133,4,3,-1
kpx_group_1,33.0,366,0.11503179693893467,0.11432923169168223,0.03181610062090973,0.16105498454892245,0.33121319469742966,2.805415823018424,5,8,3
kpx_group_1,34.0,366,0.119470183219059,0.1183763599451466,0.026438958416542906,0.1676343211601363,0.3454410810058693,2.765363757078025,4,6,2
kpx_group_1,35.0,366,0.1138901086169448,0.11324905475639828,0.03620428167456182,0.15962220457371296,0.34169795891519933,2.8416153180943162,2,5,3
kpx_group_2,12.0,366,0.10341394180877768,0.10357964177123914,0.053054620027100964,0.14437828934699704,0.354467748304999,2.939676938148363,5,9,4
kpx_group_2,13.0,366,0.11253595998474498,0.11194064382810978,0.06015856066258078,0.1564527210203967,0.35490499595223635,2.929243821780808,7,4,-3
kpx_group_2,14.0,366,0.10866839998079135,0.10891397261057717,0.05249316106432797,0.15809058048820396,0.3638529935741752,2.8793187607920743,7,4,-3
kpx_group_2,15.0,366,0.1075962023493314,0.10743280828215826,0.047446021382054525,0.15943727335652744,0.3651391207498482,2.9283071321451817,2,8,6
