target,data_available_kst_dtm,rows,mean_signed_error,mean_abs_error,mean_actual_ratio,mean_ldaps_speed,mean_source_disagreement,pass_to_fail,fail_to_pass,net_ficr_pass,abs_cycle_bias
kpx_group_2,2024-01-21 13:00:00,24,0.8117884628611572,0.8117884628611572,0.035655700231481485,14.243713276814722,-2.4963368064119424,0,0,0,0.8117884628611572
kpx_group_1,2024-01-22 13:00:00,24,0.8047750651406925,0.8047750651406925,0.0021761689814814816,12.24717143801793,-2.408339836666793,0,0,0,0.8047750651406925
kpx_group_2,2024-01-22 13:00:00,24,0.7705064974245525,0.7705064974245525,0.12169809992283952,12.24717143801793,-2.408339836666793,0,0,0,0.7705064974245525
kpx_group_1,2024-01-21 13:00:00,24,0.7590768584825178,0.7590768584825178,0.0,14.243713276814722,-2.4963368064119424,0,0,0,0.7590768584825178
kpx_group_1,2024-01-23 13:00:00,24,0.5549387818815052,0.5549387818815052,0.015400584490740742,8.859280657455043,1.7007011949319875,0,0,0,0.5549387818815052
kpx_group_2,2024-01-23 13:00:00,24,0.46502111886100317,0.46502111886100317,0.12719432677469136,8.859280657455043,1.7007011949319875,0,0,0,0.46502111886100317
kpx_group_3,2024-01-19 13:00:00,24,0.4091893320554594,0.4091893320554594,2.869642857142857e-05,8.188056752747983,-4.266665689602616,0,0,0,0.4091893320554594
kpx_group_3,2024-01-21 13:00:00,24,0.38335561951734753,0.38335561951734753,0.32085826984126986,15.516693670342919,-1.2233564128837437,0,0,0,0.38335561951734753
kpx_group_2,2024-02-29 13:00:00,24,0.37923006631692696,0.38458069077200857,0.2243965663580247,13.591314938236927,-3.1665501063721795,0,1,1,0.37923006631692696
kpx_group_2,2024-01-19 13:00:00,24,0.35483467856111606,0.35483467856111606,0.0,9.091996554467288,-3.3627258878833097,0,0,0,0.35483467856111606
kpx_group_3,2024-02-20 13:00:00,24,0.3291346444792207,0.3291346444792207,0.015869305555555557,8.440679768367543,0.5879724226667576,0,0,0,0.3291346444792207
kpx_group_1,2024-01-19 13:00:00,24,0.3192770109256872,0.3192770109256872,0.0,9.091996554467288,-3.3627258878833097,0,0,0,0.3192770109256872
kpx_group_2,2024-01-24 13:00:00,24,0.300020585838867,0.300020585838867,0.1928979050925926,8.090640625734734,2.712482705731445,0,0,0,0.300020585838867
kpx_group_3,2024-03-28 13:00:00,24,-0.285129569689067,0.28639845939058384,0.9096293214285714,17.563197612390486,-6.478834773169688,0,0,0,0.285129569689067
kpx_group_2,2024-07-03 13:00:00,24,0.28495538138118837,0.28495538138118837,0.4273662268518518,15.758040188701722,1.1480137593684645,0,0,0,0.28495538138118837
kpx_group_3,2024-11-27 13:00:00,24,-0.28317398529540605,0.28317398529540605,0.8910912281746032,18.715518981923726,-4.068055585403747,0,0,0,0.28317398529540605
kpx_group_3,2024-02-21 13:00:00,24,0.269026302692248,0.269026302692248,0.009498617063492063,8.384952551958376,1.0821840256281745,0,0,0,0.269026302692248
kpx_group_2,2024-02-04 13:00:00,24,-0.26037894495561575,0.29036366365439475,0.5064895216049382,8.99218744352369,-3.231773331805139,0,0,0,0.26037894495561575
kpx_group_1,2024-01-24 13:00:00,24,0.25595878756023566,0.25595878756023566,0.2546955401234568,8.090640625734734,2.712482705731445,0,0,0,0.25595878756023566
kpx_group_1,2024-02-20 13:00:00,24,0.22652932938664472,0.22652932938664472,0.00016739583333333333,9.585731904351098,1.7330245586503104,0,0,0,0.22652932938664472
kpx_group_2,2024-03-24 13:00:00,24,-0.219684709807498,0.24611238863110574,0.36420151041666665,7.775396857789001,2.8560337326478407,0,0,0,0.219684709807498
