target,data_available_kst_dtm,rows,mean_signed_error,mean_abs_error,mean_actual_ratio,mean_ldaps_speed,mean_source_disagreement,pass_to_fail,fail_to_pass,net_ficr_pass,abs_cycle_bias
kpx_group_1,2023-12-30 13:00:00,1,0.07688215659700844,0.07688215659700844,0.05490643518518519,7.0323861497163485,-0.9381131895436781,0,0,0,0.07688215659700844
kpx_group_1,2023-12-31 13:00:00,24,0.14197977034141934,0.14197977034141934,0.13444822145061727,7.1282053718429355,2.1151352420741487,1,0,-1,0.14197977034141934
kpx_group_1,2024-01-01 13:00:00,24,0.03923362899731727,0.13041979207098567,0.7440826041666666,13.425343611434267,1.9501977497594811,0,0,0,0.03923362899731727
kpx_group_1,2024-01-02 13:00:00,24,0.09823017731178026,0.21838936050385593,0.41506249807098766,9.65494420223046,3.133015942410673,0,2,2,0.09823017731178026
kpx_group_1,2024-01-03 13:00:00,24,-0.07947605902275516,0.09702610604322169,0.7993517303240741,10.688183477562811,-0.11605820329784285,0,0,0,0.07947605902275516
kpx_group_1,2024-01-04 13:00:00,24,-0.0319281351543984,0.06741889509077251,0.8971677604166667,15.88638893984499,-2.096972267644293,0,0,0,0.0319281351543984
kpx_group_1,2024-01-05 13:00:00,24,0.016170850508109385,0.14460375873461775,0.5175935686728396,10.601240012030114,-1.535692020181183,0,1,1,0.016170850508109385
kpx_group_1,2024-01-06 13:00:00,24,0.010371611247388167,0.0562485693645716,0.6207663213734568,13.001619872548739,-2.8157423657037586,1,0,-1,0.010371611247388167
kpx_group_1,2024-01-07 13:00:00,24,-0.10020611556960203,0.149158460614532,0.684265837191358,8.96222898282692,1.1699960300225418,0,0,0,0.10020611556960203
kpx_group_1,2024-01-08 13:00:00,24,0.01845780999988869,0.1114065596551198,0.5564577256944444,9.220695239841934,-3.587646067627908,0,2,2,0.01845780999988869
kpx_group_1,2024-01-09 13:00:00,24,-0.02046879916905451,0.0494048899510947,0.12019152199074074,4.1494308577540755,0.10564927662650274,0,1,1,0.02046879916905451
kpx_group_1,2024-01-10 13:00:00,24,-0.025627990991196257,0.03853972213014762,0.937231601080247,16.439629582590058,0.3625048241354163,0,0,0,0.025627990991196257
kpx_group_1,2024-01-11 13:00:00,24,0.09324125065956378,0.1338197358601744,0.6286061149691358,12.685927513464621,-2.6133704233157142,1,1,0,0.09324125065956378
kpx_group_1,2024-01-12 13:00:00,24,0.0026376603094435355,0.04043123359593741,0.37483125771604936,7.870429985241596,-1.7458150249467834,1,0,-1,0.0026376603094435355
kpx_group_1,2024-01-13 13:00:00,24,-0.007443207766732654,0.10176265463298984,0.7643098186728395,13.447524963374017,-5.513955701232284,0,0,0,0.007443207766732654
kpx_group_1,2024-01-14 13:00:00,24,-0.04497810307042021,0.20892061539675497,0.30572392554012345,6.0994952112897955,1.6089677349618148,0,0,0,0.04497810307042021
kpx_group_1,2024-01-15 13:00:00,24,0.04154332960118532,0.08411079954972848,0.2924158159722222,5.581395524596425,0.3554795483623176,0,0,0,0.04154332960118532
kpx_group_1,2024-01-16 13:00:00,24,-0.014733049870013048,0.06447478491146323,0.8679289718364198,14.307760516011301,-3.2581001185813236,2,1,-1,0.014733049870013048
kpx_group_1,2024-01-17 13:00:00,24,0.11553882491208356,0.11894740942893821,0.11171003858024692,6.691229683338634,-1.0436247974614317,0,0,0,0.11553882491208356
kpx_group_1,2024-01-18 13:00:00,24,0.12577140349504046,0.12577140349504046,0.0,7.5743035436855655,2.6712026922206804,0,0,0,0.12577140349504046
kpx_group_1,2024-01-19 13:00:00,24,0.3192770109256872,0.3192770109256872,0.0,9.091996554467288,-3.3627258878833097,0,0,0,0.3192770109256872
kpx_group_1,2024-01-20 13:00:00,24,0.1332306260929921,0.1332306260929921,0.0,5.890029331064185,-0.7961715467203682,0,0,0,0.1332306260929921
kpx_group_1,2024-01-21 13:00:00,24,0.7590768584825178,0.7590768584825178,0.0,14.243713276814722,-2.4963368064119424,0,0,0,0.7590768584825178
kpx_group_1,2024-01-22 13:00:00,24,0.8047750651406925,0.8047750651406925,0.0021761689814814816,12.24717143801793,-2.408339836666793,0,0,0,0.8047750651406925
kpx_group_1,2024-01-23 13:00:00,24,0.5549387818815052,0.5549387818815052,0.015400584490740742,8.859280657455043,1.7007011949319875,0,0,0,0.5549387818815052
kpx_group_1,2024-01-24 13:00:00,24,0.25595878756023566,0.25595878756023566,0.2546955401234568,8.090640625734734,2.712482705731445,0,0,0,0.25595878756023566
kpx_group_1,2024-01-25 13:00:00,24,0.048159323283876315,0.0958011281779491,0.6240305787037037,9.063100952697322,-0.9063410629212157,1,0,-1,0.048159323283876315
kpx_group_1,2024-01-26 13:00:00,24,0.10758280226882087,0.14637411137716813,0.37045102044753087,8.182660150754282,1.4412063598887486,0,0,0,0.10758280226882087
kpx_group_1,2024-01-27 13:00:00,24,-0.054499416978460315,0.16647751849132467,0.3151260976080247,6.31521360028706,3.4169440248454688,0,0,0,0.054499416978460315
kpx_group_1,2024-01-28 13:00:00,24,0.0865081737263339,0.15099170653453217,0.3168837770061728,8.3367710482273,4.329897281051334,0,3,3,0.0865081737263339
kpx_group_1,2024-01-29 13:00:00,24,0.012008185732680976,0.06227539548422925,0.11706676311728396,3.8855122433271956,0.1630358926212698,0,0,0,0.012008185732680976
kpx_group_1,2024-01-30 13:00:00,24,0.17749574885991967,0.22027887590003456,0.3622764351851852,9.207024805620932,-1.250505721342325,0,0,0,0.17749574885991967
kpx_group_1,2024-01-31 13:00:00,24,0.02869776695959397,0.09195415778216838,0.13796357060185185,6.802384540705767,2.910526125650259,0,1,1,0.02869776695959397
kpx_group_1,2024-02-01 13:00:00,24,0.03188271786226984,0.03188271786226984,2.7899305555555557e-05,3.5767457241136538,0.5568006828762021,0,0,0,0.03188271786226984
kpx_group_1,2024-02-02 13:00:00,24,0.029679923526105507,0.03277525300644148,0.005552023533950617,3.668219413567455,1.1031661108782138,0,0,0,0.029679923526105507
kpx_group_1,2024-02-03 13:00:00,24,0.03287961426229692,0.03287961426229692,0.0016181751543209875,2.97381242885382,1.0013434940125294,0,0,0,0.03287961426229692
kpx_group_1,2024-02-04 13:00:00,24,-0.08916526414324506,0.1463735076198612,0.36548489197530865,8.99218744352369,-3.231773331805139,0,0,0,0.08916526414324506
kpx_group_1,2024-02-05 13:00:00,24,0.03992304442728932,0.0470095917482633,0.013308115354938274,4.111937506081123,0.09038165131093427,0,0,0,0.03992304442728932
kpx_group_1,2024-02-06 13:00:00,24,0.07429455316432974,0.07429455316432974,2.7899305555555557e-05,3.565614005940102,1.74660995452143,0,0,0,0.07429455316432974
kpx_group_1,2024-02-07 13:00:00,24,0.16969368117321193,0.16969368117321193,0.013447613811728395,5.9364868077893655,3.512583332342535,0,0,0,0.16969368117321193
kpx_group_1,2024-02-08 13:00:00,24,0.06678401318492229,0.09251710185334135,0.2982189332561728,7.026448092810381,0.0732654799315861,0,0,0,0.06678401318492229
kpx_group_1,2024-02-09 13:00:00,24,0.00788621838451075,0.0905675238443822,0.624476975308642,9.474309725457749,-2.789264274648527,0,1,1,0.00788621838451075
kpx_group_1,2024-02-10 13:00:00,24,-0.014489335026530409,0.103782485334089,0.6897899594907407,11.600843393374594,-0.5184058706069076,0,0,0,0.014489335026530409
kpx_group_1,2024-02-11 13:00:00,24,-0.02389397949642744,0.0996288782547289,0.6252302642746913,9.982992286475957,-0.638159332958825,0,0,0,0.02389397949642744
kpx_group_1,2024-02-12 13:00:00,24,-0.002072232410714675,0.057593087203054096,0.9071279282407407,16.444824726706468,-6.266487535367666,0,0,0,0.002072232410714675
kpx_group_1,2024-02-13 13:00:00,24,-0.027184727833067735,0.050380421982481195,0.877889130015432,14.546635745447555,-4.585670399258693,0,0,0,0.027184727833067735
kpx_group_1,2024-02-14 13:00:00,24,0.08105273732731057,0.13436680699870412,0.2519055787037037,8.344571864609808,1.3531943972288951,0,0,0,0.08105273732731057
kpx_group_1,2024-02-15 13:00:00,24,0.0434331587555119,0.08108709141668986,0.15389424961419754,6.414912960411923,2.8146948653203947,0,0,0,0.0434331587555119
kpx_group_1,2024-02-16 13:00:00,24,-0.03284582070031013,0.16546642794589705,0.6666053896604939,9.316568420864039,1.4695877725044257,0,0,0,0.03284582070031013
kpx_group_1,2024-02-17 13:00:00,24,0.06403233562677897,0.12014156624557164,0.39673245563271603,8.775350982618912,-1.573888726037486,0,1,1,0.06403233562677897
kpx_group_1,2024-02-18 13:00:00,24,0.1532505657724095,0.19458341681183458,0.3275414236111111,10.768907769688704,-2.254505886541487,3,0,-3,0.1532505657724095
kpx_group_1,2024-02-19 13:00:00,24,0.08068876113131924,0.08068876113131924,0.003292146990740741,7.275127103024723,3.529755530623054,0,0,0,0.08068876113131924
kpx_group_1,2024-02-20 13:00:00,24,0.22652932938664472,0.22652932938664472,0.00016739583333333333,9.585731904351098,1.7330245586503104,0,0,0,0.22652932938664472
kpx_group_1,2024-02-21 13:00:00,24,0.1785419103435173,0.1785419103435173,0.0,8.992459796616176,1.689691270285974,0,0,0,0.1785419103435173
kpx_group_1,2024-02-22 13:00:00,24,0.06281127473556099,0.06281127473556099,0.0,7.145546084289446,2.1079105858021285,0,0,0,0.06281127473556099
