window,score,avg_nmae,ficr,worst_month_score,high_generation_score,delta_score_vs_W3,delta_nmae_vs_W3,months_improved_vs_W3,groups_improved_vs_W3,verdict,reason
W3_2023_to_2024,0.6019566319830276,0.1324913153397692,0.3364045793058246,0.5639112500303214,0.5862693341864187,0.0,0.0,,,Diagnostic,kept for comparison
W4_2022_2023_to_2024,0.609718403767912,0.13085843800078356,0.3502952455366075,0.5887887678627528,0.5973909563639195,0.007761771784884353,-0.00163287733898565,8.0,2.0,Adopt,best mean B1/B2 score and passes material/stability/group criteria
W5_2022_2023_recency_to_2024,0.6070225145924446,0.1315114831672216,0.3455565123521107,0.5756392889728669,0.5937077056578721,0.005065882609416983,-0.0009798321725476011,8.0,2.0,Support,materially improves over W3 on mean B1/B2 metrics
