experiment_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
B0_W3_2023_to_2024,1,0.45951379377799656,0.7548024931911351,0.16422509436485797,0.2451975068088649,1492
B0_W3_2023_to_2024,2,0.40518502718297894,0.6540104843312962,0.1563595700346617,0.3459895156687039,772
B0_W3_2023_to_2024,3,0.4771542498708115,0.7484560005531535,0.2058524991884695,0.2515439994468465,1587
B0_W3_2023_to_2024,4,0.5058619187047645,0.8179588761790005,0.19376496123052847,0.1820411238209995,1166
B0_W3_2023_to_2024,5,0.47436432001800005,0.7259534948402555,0.22277514519574457,0.27404650515974444,1545
B0_W3_2023_to_2024,6,0.5542684268738782,0.8123768379672544,0.29616001578050216,0.18762316203274568,970
B0_W3_2023_to_2024,7,0.38685364852715753,0.6480154257416033,0.12569187131271178,0.3519845742583967,1577
B0_W3_2023_to_2024,8,0.5079763596474145,0.7449849165153524,0.27096780277947663,0.2550150834846477,689
B0_W3_2023_to_2024,9,0.5953483552801676,0.8425235070637015,0.34817320349663367,0.1574764929362985,837
B0_W3_2023_to_2024,10,0.5123848348257007,0.7740169356026662,0.2507527340487352,0.22598306439733387,895
B0_W3_2023_to_2024,11,0.4229557131649292,0.7324535540183648,0.11345787231149361,0.2675464459816352,963
B0_W3_2023_to_2024,12,0.4425457730763056,0.759659508920337,0.12543203723227422,0.24034049107966304,2038
B0_W4_2022_2023_to_2024,1,0.4542542499320118,0.745524718774061,0.16298378108996261,0.254475281225939,1492
B0_W4_2022_2023_to_2024,2,0.42271268784068405,0.6819481361950825,0.1634772394862856,0.3180518638049174,772
B0_W4_2022_2023_to_2024,3,0.47906919017985244,0.7489767527730193,0.20916162758668555,0.25102324722698066,1587
B0_W4_2022_2023_to_2024,4,0.511285666244687,0.8195458700628604,0.20302546242651354,0.18045412993713958,1166
B0_W4_2022_2023_to_2024,5,0.481630689739396,0.7395356639408421,0.22372571553794987,0.2604643360591579,1545
B0_W4_2022_2023_to_2024,6,0.5568571968234749,0.8177080888897238,0.29600630475722595,0.18229191111027623,970
B0_W4_2022_2023_to_2024,7,0.34767058876280543,0.5970355451702039,0.09830563235540705,0.4029644548297962,1577
B0_W4_2022_2023_to_2024,8,0.5184616487531435,0.7705716187940005,0.26635167871228654,0.22942838120599948,689
B0_W4_2022_2023_to_2024,9,0.6193911408270926,0.855686375360956,0.38309590629322915,0.14431362463904396,837
B0_W4_2022_2023_to_2024,10,0.5185602399362247,0.7747790395447424,0.26234144032770695,0.2252209604552576,895
