experiment_id,target,nmae,ficr,eligible_hours
B0_W3_2023_to_2024,kpx_group_1,0.24446576301136738,0.194026859089998,4989
B0_W3_2023_to_2024,kpx_group_2,0.2549867351002761,0.17348271704180065,4976
B0_W3_2023_to_2024,kpx_group_3,0.2564229796365871,0.2136443276390714,4566
B0_W4_2022_2023_to_2024,kpx_group_1,0.24787567766249197,0.19603126879134095,4989
B0_W4_2022_2023_to_2024,kpx_group_2,0.2505573728916021,0.17649718649517684,4976
B0_W4_2022_2023_to_2024,kpx_group_3,0.2564229796365871,0.2136443276390714,4566
B0_W5_2022_2023_recency_to_2024,kpx_group_1,0.24585906927481452,0.1961314892764081,4989
B0_W5_2022_2023_recency_to_2024,kpx_group_2,0.25112366255399665,0.17684887459807075,4976
B0_W5_2022_2023_recency_to_2024,kpx_group_3,0.2564229796365871,0.2136443276390714,4566
B1_lgbm_W3_2023_to_2024,kpx_group_1,0.12393305660725701,0.3851974343555823,4989
B1_lgbm_W3_2023_to_2024,kpx_group_2,0.12732683369466086,0.40012057877813506,4976
B1_lgbm_W3_2023_to_2024,kpx_group_3,0.14593831567756324,0.3297196671046868,4566
B1_lgbm_W4_2022_2023_to_2024,kpx_group_1,0.11991721460913031,0.4021848065744638,4989
B1_lgbm_W4_2022_2023_to_2024,kpx_group_2,0.12405843832663847,0.41202773311897106,4976
B1_lgbm_W4_2022_2023_to_2024,kpx_group_3,0.14593831567756324,0.3297196671046868,4566
B1_lgbm_W5_2022_2023_recency_to_2024,kpx_group_1,0.12186194530147926,0.39777510523150933,4989
B1_lgbm_W5_2022_2023_recency_to_2024,kpx_group_2,0.12441887793767197,0.408108922829582,4976
B1_lgbm_W5_2022_2023_recency_to_2024,kpx_group_3,0.14593831567756324,0.3297196671046868,4566
B2_lgbm_W3_2023_to_2024,kpx_group_1,0.12338371866445196,0.3879534976949288,4989
B2_lgbm_W3_2023_to_2024,kpx_group_2,0.12732283482217036,0.3971563504823151,4976
B2_lgbm_W3_2023_to_2024,kpx_group_3,0.14704313257251203,0.33234778799824793,4566
B2_lgbm_W4_2022_2023_to_2024,kpx_group_1,0.12251819718933353,0.39547003407496495,4989
B2_lgbm_W4_2022_2023_to_2024,kpx_group_2,0.12567532962952374,0.4069031350482315,4976
B2_lgbm_W4_2022_2023_to_2024,kpx_group_3,0.14704313257251203,0.33234778799824793,4566
B2_lgbm_W5_2022_2023_recency_to_2024,kpx_group_1,0.12284649270571545,0.39156143515734615,4989
B2_lgbm_W5_2022_2023_recency_to_2024,kpx_group_2,0.12696013480838775,0.401225884244373,4976
B2_lgbm_W5_2022_2023_recency_to_2024,kpx_group_3,0.14704313257251203,0.33234778799824793,4566
