target,feature,importance_mean,importance_std
kpx_group_1,month_cos,0.006512151492721508,0.0023204753853338796
kpx_group_1,doy_sin,0.006077288428324756,0.0020454272675741866
kpx_group_1,ldaps_wind50max_speed_mean,0.0057742721440908525,0.0016558611068270062
kpx_group_1,month,0.0055568406118924555,0.0008601454875745305
kpx_group_1,ldaps_wind10_u_min,0.005474339995065436,0.0012213331189021837
kpx_group_1,dayofyear,0.005344806316308959,0.0010742374317839764
kpx_group_1,ldaps_wind10_speed_mean,0.005185973353071871,0.000565154628204125
kpx_group_1,ldaps_wind50max_u_max,0.004953892178633202,0.0008242636239994764
kpx_group_1,ldaps_wind50min_u_mean,0.004950808043424693,0.001054988395618654
kpx_group_1,gfs_wind80_u_std,0.004726437207007206,0.0006052050550322552
kpx_group_1,ldaps_wind10_dir_cos_min,0.004653960029607762,0.000550333444378698
kpx_group_1,ldaps_wind50max_speed_max,0.004335523069331404,0.0013486053467402458
kpx_group_2,gfs_wind850_dir_deg_min,0.005619230807364728,0.001464376489374777
kpx_group_2,gfs_wind850_dir_deg_mean,0.005186696278963732,0.001759655844378718
kpx_group_2,gfs_wind850_speed_mean,0.005124480710695112,0.001801147666923373
kpx_group_2,gfs_wind850_dir_sin_max,0.004850087746259657,0.0016178054976083195
kpx_group_2,gfs_wind850_v_min,0.004849096263100016,0.001164992870814169
kpx_group_2,gfs_wind850_v_mean,0.004824309184108544,0.0009995644616530997
kpx_group_2,gfs_wind850_u_min,0.0040068313189700385,0.0006673637353417824
kpx_group_2,gfs_pblwind_dir_sin_max,0.003529184306804556,0.0004715950069675913
kpx_group_2,gfs_wind850_u_mean,0.0034481305585024823,0.0002460826448185792
kpx_group_2,gfs_wind10_dir_cos_mean,0.0033182462645872323,0.0001731508317804025
kpx_group_2,gfs_wind850_speed2_min,0.0029444571133959265,0.0014207990434693066
kpx_group_2,gfs_wind850_v_max,0.002895378696992834,0.001225401439083142
kpx_group_3,gfs_wind850_u_mean,0.005863159764422044,0.0006834082611491026
kpx_group_3,gfs_wind850_speed2_mean,0.005371857858097529,0.0007606196570759101
kpx_group_3,gfs_wind850_speed_mean,0.005092615630375952,0.001192979614514814
kpx_group_3,gfs_wind850_u_max,0.00399098623929639,0.0006912939656986086
kpx_group_3,ldaps_wind50max_speed_max,0.0036388244470666907,0.0008987924654515534
kpx_group_3,ldaps_wind50max_speed2_std,0.003371554740790539,0.0007695007136805128
kpx_group_3,gfs_wind80_u_mean,0.0033705927412587934,0.0005102560228046067
kpx_group_3,ldaps_wind50max_u_max,0.0031004720181884602,0.0011339259468777353
kpx_group_3,ldaps_wind50max_speed2_max,0.0030697754876747307,0.0011545410207315966
kpx_group_3,ldaps_wind50min_u_max,0.0024196299677546663,0.0007514883049620542
kpx_group_3,ldaps_wind10_u_mean,0.0022195603014976808,0.0009110239371409939
kpx_group_3,gfs_wind850_speed2_max,0.0020837871857639634,0.0008941484578808717
