score,one_minus_nmae,avg_nmae,ficr,eligible_hours,candidate,gate,threshold,specialist,delta_score_vs_base
0.6145171613226758,0.8688799299256814,0.13112007007431856,0.36015439271967004,14531,specialist_pred_ge_0.55::B1_plus_fundamental_all,specialist_pred,0.55,B1_plus_fundamental_all,0.0026820523711298394
0.6142691883116852,0.868339769649068,0.13166023035093202,0.36019860697430245,14531,specialist_pred_ge_0.55::B1_plus_scada_wind_proxy,specialist_pred,0.55,B1_plus_scada_wind_proxy,0.002434079360139285
0.6142525313200502,0.8685933450195058,0.13140665498049423,0.35991171762059454,14531,specialist_pred_ge_0.55::B1_plus_proxy_power_curve,specialist_pred,0.55,B1_plus_proxy_power_curve,0.002417422368504285
0.6141379962789046,0.869366938479111,0.13063306152088902,0.3589090540786984,14531,specialist_pred_ge_0.65::B1_plus_fundamental_all,specialist_pred,0.65,B1_plus_fundamental_all,0.002302887327358727
0.6138544599003385,0.868988945857476,0.13101105414252398,0.35871997394320093,14531,specialist_pred_ge_0.60::B1_plus_fundamental_all,specialist_pred,0.6,B1_plus_fundamental_all,0.0020193509487925754
0.6135924425369195,0.8687464023164928,0.13125359768350717,0.3584384827573462,14531,specialist_pred_ge_0.60::B1_plus_proxy_power_curve,specialist_pred,0.6,B1_plus_proxy_power_curve,0.001757333585373555
0.6133215505418994,0.8685117983709004,0.1314882016290996,0.3581313027128985,14531,specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,specialist_pred,0.6,B1_plus_scada_wind_proxy,0.0014864415903534933
0.6132577295745306,0.8699487303079696,0.13005126969203046,0.3565667288410917,14531,specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,specialist_pred,0.9,B1_plus_scada_wind_proxy,0.001422620622984705
0.6130917603961584,0.8687922165907317,0.13120778340926828,0.3573913042015852,14531,specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,specialist_pred,0.65,B1_plus_scada_wind_proxy,0.001256651444612511
0.6128907991255733,0.8700027770363534,0.12999722296364652,0.35577882121479315,14531,specialist_pred_ge_0.90::B1_plus_fundamental_all,specialist_pred,0.9,B1_plus_fundamental_all,0.0010556901740274016
0.6128827247408795,0.8699193262880556,0.1300806737119444,0.35584612319370335,14531,specialist_pred_ge_0.90::B1_plus_proxy_power_curve,specialist_pred,0.9,B1_plus_proxy_power_curve,0.0010476157893335447
0.6128651992742798,0.8694418237394204,0.13055817626057967,0.35628857480913934,14531,specialist_pred_ge_0.85::B1_plus_scada_wind_proxy,specialist_pred,0.85,B1_plus_scada_wind_proxy,0.0010300903227339342
0.6128291246140736,0.8697898464182239,0.13021015358177612,0.35586840280992327,14531,lead_pred_ge_0.80::B1_plus_scada_wind_proxy,lead_pred,0.8,B1_plus_scada_wind_proxy,0.0009940156625276586
0.612759076118885,0.8690244028415461,0.13097559715845383,0.35649374939622386,14531,specialist_pred_ge_0.65::B1_plus_proxy_power_curve,specialist_pred,0.65,B1_plus_proxy_power_curve,0.0009239671673391125
0.612731933503441,0.8691735407318179,0.13082645926818215,0.35629032627506424,14531,specialist_pred_ge_0.70::B1_plus_fundamental_all,specialist_pred,0.7,B1_plus_fundamental_all,0.0008968245518951035
0.6127307788119305,0.8696257259891218,0.13037427401087823,0.3558358316347392,14531,specialist_pred_ge_0.85::B1_plus_fundamental_all,specialist_pred,0.85,B1_plus_fundamental_all,0.0008956698603845847
0.6126283269448609,0.8693687056359025,0.13063129436409746,0.35588794825381925,14531,specialist_pred_ge_0.75::B1_plus_fundamental_all,specialist_pred,0.75,B1_plus_fundamental_all,0.0007932179933149985
0.6125759034033208,0.8694495605900856,0.13055043940991437,0.35570224621655605,14531,specialist_pred_ge_0.85::B1_plus_proxy_power_curve,specialist_pred,0.85,B1_plus_proxy_power_curve,0.0007407944517748843
0.612301783211568,0.8699665954804721,0.1300334045195279,0.35463697094266405,14531,lead_pred_ge_0.85::B1_plus_scada_wind_proxy,lead_pred,0.85,B1_plus_scada_wind_proxy,0.0004666742600221152
0.612300051630235,0.8688995221963637,0.13110047780363632,0.3557005810641065,14531,specialist_pred_ge_0.70::B1_plus_proxy_power_curve,specialist_pred,0.7,B1_plus_proxy_power_curve,0.00046494267868912864
0.6121133744208068,0.8689100698153489,0.13108993018465115,0.3553166790262648,14531,specialist_pred_ge_0.75::B1_plus_scada_wind_proxy,specialist_pred,0.75,B1_plus_scada_wind_proxy,0.00027826546926090767
0.612112063477019,0.8700049826306048,0.1299950173693952,0.35421914432343304,14531,lead_pred_ge_0.90::B1_plus_scada_wind_proxy,lead_pred,0.9,B1_plus_scada_wind_proxy,0.0002769545254730499
0.6120764969452243,0.8687479109568563,0.13125208904314367,0.3554050829335922,14531,specialist_pred_ge_0.70::B1_plus_scada_wind_proxy,specialist_pred,0.7,B1_plus_scada_wind_proxy,0.00024138799367834363
0.6120415183706559,0.8700268947534678,0.12997310524653213,0.3540561419878439,14531,lead_pred_ge_0.90::B1_plus_proxy_power_curve,lead_pred,0.9,B1_plus_proxy_power_curve,0.00020640941910998745
0.6119677150633033,0.8700035544324173,0.1299964455675827,0.3539318756941892,14531,lead_pred_ge_0.90::B1_plus_fundamental_all,lead_pred,0.9,B1_plus_fundamental_all,0.0001326061117573607
0.6118751349230027,0.8699640753315443,0.13003592466845568,0.3537861945144612,14531,specialist_pred_ge_0.95::B1_plus_proxy_power_curve,specialist_pred,0.95,B1_plus_proxy_power_curve,4.002597145680298e-05
0.611854044426576,0.8699467548666308,0.13005324513336922,0.35376133398652126,14531,specialist_pred_ge_0.95::B1_plus_scada_wind_proxy,specialist_pred,0.95,B1_plus_scada_wind_proxy,1.8935475030068538e-05
0.6118520903375838,0.8699691966265544,0.13003080337344564,0.3537349840486132,14531,specialist_pred_ge_0.95::B1_plus_fundamental_all,specialist_pred,0.95,B1_plus_fundamental_all,1.698138603789534e-05
0.6118370765693132,0.8699534504505746,0.13004654954942535,0.3537207026880517,14531,lead_pred_ge_0.95::B1_plus_proxy_power_curve,lead_pred,0.95,B1_plus_proxy_power_curve,1.9676177672733886e-06
0.6118370367750744,0.8699533708620971,0.13004662913790285,0.3537207026880517,14531,lead_pred_ge_0.95::B1_plus_scada_wind_proxy,lead_pred,0.95,B1_plus_scada_wind_proxy,1.9278235284803102e-06
0.6118346049908248,0.8699485072935977,0.13005149270640223,0.3537207026880517,14531,lead_pred_ge_0.95::B1_plus_fundamental_all,lead_pred,0.95,B1_plus_fundamental_all,-5.039607211543284e-07
0.6116222647829108,0.869744316135186,0.13025568386481404,0.35350021343063553,14531,lead_pred_ge_0.80::B1_plus_proxy_power_curve,lead_pred,0.8,B1_plus_proxy_power_curve,-0.0002128441686350957
0.611595310495218,0.8699554988152522,0.1300445011847478,0.35323512217518377,14531,lead_pred_ge_0.85::B1_plus_proxy_power_curve,lead_pred,0.85,B1_plus_proxy_power_curve,-0.00023979845632793317
0.6115532406920398,0.8697635280461171,0.1302364719538829,0.3533429533379624,14531,lead_pred_ge_0.80::B1_plus_fundamental_all,lead_pred,0.8,B1_plus_fundamental_all,-0.00028186825950615724
0.6115117025469677,0.869013411276284,0.13098658872371605,0.35400999381765147,14531,specialist_pred_ge_0.75::B1_plus_proxy_power_curve,specialist_pred,0.75,B1_plus_proxy_power_curve,-0.0003234064045781748
0.6114930190786279,0.8688486463715103,0.13115135362848976,0.3541373917857453,14531,specialist_pred_ge_0.80::B1_plus_scada_wind_proxy,specialist_pred,0.8,B1_plus_scada_wind_proxy,-0.00034208987291806103
0.6114851737203768,0.8691779741867408,0.13082202581325916,0.35379237325401286,14531,specialist_pred_ge_0.80::B1_plus_proxy_power_curve,specialist_pred,0.8,B1_plus_proxy_power_curve,-0.0003499352311691073
0.6114073346744755,0.8692619940918876,0.13073800590811238,0.35355267525706324,14531,specialist_pred_ge_0.80::B1_plus_fundamental_all,specialist_pred,0.8,B1_plus_fundamental_all,-0.00042777427707041404
0.6113972910172917,0.8678386253419462,0.1321613746580538,0.3549559566926372,14531,lead_pred_ge_0.55::B1_plus_fundamental_all,lead_pred,0.55,B1_plus_fundamental_all,-0.00043781793425423654
0.6112098017249301,0.8699468095033945,0.13005319049660544,0.35247279394646563,14531,lead_pred_ge_0.85::B1_plus_fundamental_all,lead_pred,0.85,B1_plus_fundamental_all,-0.0006253072266158011
