ensemble_id,model_id,members,weights,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score,delta_vs_current_anchor,candidate_class
anchor_plus_catboost_quantile_060_depth6_0.15,anchor_plus_catboost_quantile_060_depth6_0.15,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_060_depth6,"{""catboost_quantile_055"": 0.51, ""lgbm_l1_baseline"": 0.17, ""extra_trees_wide"": 0.17, ""catboost_quantile_060_depth6"": 0.15}",1.03,0.627389062947003,0.8732458197504848,0.38153230614352124,0.1267541802495152,0.006663088047002996,,,0.001298975747002995,core
anchor_plus_catboost_quantile_060_depth6_0.20,anchor_plus_catboost_quantile_060_depth6_0.20,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_060_depth6,"{""catboost_quantile_055"": 0.48, ""lgbm_l1_baseline"": 0.16000000000000003, ""extra_trees_wide"": 0.16000000000000003, ""catboost_quantile_060_depth6"": 0.2}",1.03,0.6280201450513638,0.8732562235104441,0.38278406659228364,0.12674377648955595,0.007294170151363799,,,0.0019300578513637978,core
anchor_plus_hist_gbdt_quantile_055_0.01,anchor_plus_hist_gbdt_quantile_055_0.01,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+hist_gbdt_quantile_055,"{""catboost_quantile_055"": 0.594, ""lgbm_l1_baseline"": 0.198, ""extra_trees_wide"": 0.198, ""hist_gbdt_quantile_055"": 0.01}",1.03,0.6262944809939259,0.8731082652076393,0.3794806967802125,0.12689173479236068,0.005568506093925896,,,0.0002043937939258944,stability
anchor_plus_hist_gbdt_quantile_055_0.03,anchor_plus_hist_gbdt_quantile_055_0.03,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+hist_gbdt_quantile_055,"{""catboost_quantile_055"": 0.582, ""lgbm_l1_baseline"": 0.194, ""extra_trees_wide"": 0.194, ""hist_gbdt_quantile_055"": 0.03}",1.03,0.626260700993702,0.8731540419458461,0.37936736004155797,0.12684595805415386,0.00553472609370198,,,0.00017061379370197916,stability
anchor_plus_hist_gbdt_quantile_055_0.05,anchor_plus_hist_gbdt_quantile_055_0.05,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+hist_gbdt_quantile_055,"{""catboost_quantile_055"": 0.57, ""lgbm_l1_baseline"": 0.19, ""extra_trees_wide"": 0.19, ""hist_gbdt_quantile_055"": 0.05}",1.03,0.6261685523567513,0.8731964441858943,0.37914066052760825,0.12680355581410574,0.005442577456751252,,,7.846515675125065e-05,stability
anchor_plus_hist_gbdt_quantile_055_0.07,anchor_plus_hist_gbdt_quantile_055_0.07,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+hist_gbdt_quantile_055,"{""catboost_quantile_055"": 0.5579999999999999, ""lgbm_l1_baseline"": 0.186, ""extra_trees_wide"": 0.186, ""hist_gbdt_quantile_055"": 0.07}",1.03,0.6264523859509454,0.8732350990462421,0.3796696728556488,0.12676490095375786,0.005726411050945401,,,0.0003622987509454001,keep
anchor_plus_hist_gbdt_quantile_055_0.10,anchor_plus_hist_gbdt_quantile_055_0.10,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+hist_gbdt_quantile_055,"{""catboost_quantile_055"": 0.54, ""lgbm_l1_baseline"": 0.18000000000000002, ""extra_trees_wide"": 0.18000000000000002, ""hist_gbdt_quantile_055"": 0.1}",1.03,0.6264362669318713,0.8732854991893308,0.37958703467441174,0.12671450081066918,0.005710292031871234,,,0.0003461797318712323,keep
anchor_plus_hist_gbdt_quantile_055_0.15,anchor_plus_hist_gbdt_quantile_055_0.15,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+hist_gbdt_quantile_055,"{""catboost_quantile_055"": 0.51, ""lgbm_l1_baseline"": 0.17, ""extra_trees_wide"": 0.17, ""hist_gbdt_quantile_055"": 0.15}",1.03,0.6267002124842629,0.8733551475053812,0.3800452774631444,0.1266448524946188,0.005974237584262854,,,0.0006101252842628524,keep
anchor_plus_hist_gbdt_quantile_055_0.20,anchor_plus_hist_gbdt_quantile_055_0.20,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+hist_gbdt_quantile_055,"{""catboost_quantile_055"": 0.48, ""lgbm_l1_baseline"": 0.16000000000000003, ""extra_trees_wide"": 0.16000000000000003, ""hist_gbdt_quantile_055"": 0.2}",1.03,0.6269911877334051,0.8734076173374928,0.38057475812931746,0.12659238266250716,0.006265212833405087,,,0.0009011005334050859,strong
anchor_plus_catboost_quantile_055_depth8_0.01,anchor_plus_catboost_quantile_055_depth8_0.01,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth8,"{""catboost_quantile_055"": 0.594, ""lgbm_l1_baseline"": 0.198, ""extra_trees_wide"": 0.198, ""catboost_quantile_055_depth8"": 0.01}",1.03,0.6262258573388466,0.8730890773848117,0.37936263729288155,0.12691092261518835,0.005499882438846582,,,0.0001357701388465804,stability
anchor_plus_catboost_quantile_055_depth8_0.03,anchor_plus_catboost_quantile_055_depth8_0.03,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth8,"{""catboost_quantile_055"": 0.582, ""lgbm_l1_baseline"": 0.194, ""extra_trees_wide"": 0.194, ""catboost_quantile_055_depth8"": 0.03}",1.03,0.6261378534734837,0.873097855779782,0.37917785116718544,0.12690214422021792,0.005411878573483686,,,4.7766273483684785e-05,stability
anchor_plus_catboost_quantile_055_depth8_0.05,anchor_plus_catboost_quantile_055_depth8_0.05,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth8,"{""catboost_quantile_055"": 0.57, ""lgbm_l1_baseline"": 0.19, ""extra_trees_wide"": 0.19, ""catboost_quantile_055_depth8"": 0.05}",1.03,0.6261591161061619,0.8731047304067878,0.3792135018055361,0.12689526959321215,0.0054331412061618956,,,6.902890616189428e-05,stability
anchor_plus_catboost_quantile_055_depth8_0.07,anchor_plus_catboost_quantile_055_depth8_0.07,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth8,"{""catboost_quantile_055"": 0.5579999999999999, ""lgbm_l1_baseline"": 0.186, ""extra_trees_wide"": 0.186, ""catboost_quantile_055_depth8"": 0.07}",1.03,0.6260604131304016,0.8731092152497452,0.3790116110110581,0.12689078475025484,0.005334438230401584,,,-2.9674069598417674e-05,reject
anchor_plus_catboost_quantile_055_depth8_0.10,anchor_plus_catboost_quantile_055_depth8_0.10,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth8,"{""catboost_quantile_055"": 0.54, ""lgbm_l1_baseline"": 0.18000000000000002, ""extra_trees_wide"": 0.18000000000000002, ""catboost_quantile_055_depth8"": 0.1}",1.0275,0.6256639829115246,0.8731137322624065,0.3782142335606426,0.12688626773759348,0.004938008011524553,,,-0.00042610428847544846,reject
anchor_plus_catboost_quantile_055_depth8_0.15,anchor_plus_catboost_quantile_055_depth8_0.15,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth8,"{""catboost_quantile_055"": 0.51, ""lgbm_l1_baseline"": 0.17, ""extra_trees_wide"": 0.17, ""catboost_quantile_055_depth8"": 0.15}",1.0275,0.6256619608224737,0.8731111101638668,0.3782128114810806,0.1268888898361332,0.004935985922473685,,,-0.00042812637752631666,reject
anchor_plus_catboost_quantile_055_depth8_0.20,anchor_plus_catboost_quantile_055_depth8_0.20,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth8,"{""catboost_quantile_055"": 0.48, ""lgbm_l1_baseline"": 0.16000000000000003, ""extra_trees_wide"": 0.16000000000000003, ""catboost_quantile_055_depth8"": 0.2}",1.03,0.6256442316918185,0.8730917716670594,0.3781966917165775,0.1269082283329406,0.004918256791818454,,,-0.0004458555081815474,reject
anchor_plus_catboost_quantile_055_depth4_reg_0.01,anchor_plus_catboost_quantile_055_depth4_reg_0.01,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth4_reg,"{""catboost_quantile_055"": 0.594, ""lgbm_l1_baseline"": 0.198, ""extra_trees_wide"": 0.198, ""catboost_quantile_055_depth4_reg"": 0.01}",1.03,0.6262932784149318,0.8730798018981747,0.37950675493168884,0.12692019810182534,0.005567303514931732,,,0.00020319121493173053,stability
anchor_plus_catboost_quantile_055_depth4_reg_0.03,anchor_plus_catboost_quantile_055_depth4_reg_0.03,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth4_reg,"{""catboost_quantile_055"": 0.582, ""lgbm_l1_baseline"": 0.194, ""extra_trees_wide"": 0.194, ""catboost_quantile_055_depth4_reg"": 0.03}",1.03,0.6265656788325213,0.8730698934999531,0.3800614641650897,0.12693010650004688,0.005839703932521312,,,0.00047559163252131054,keep
anchor_plus_catboost_quantile_055_depth4_reg_0.05,anchor_plus_catboost_quantile_055_depth4_reg_0.05,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth4_reg,"{""catboost_quantile_055"": 0.57, ""lgbm_l1_baseline"": 0.19, ""extra_trees_wide"": 0.19, ""catboost_quantile_055_depth4_reg"": 0.05}",1.03,0.6266567428117612,0.8730573963566537,0.3802560892668687,0.1269426036433463,0.00593076791176117,,,0.0005666556117611687,keep
anchor_plus_catboost_quantile_055_depth4_reg_0.07,anchor_plus_catboost_quantile_055_depth4_reg_0.07,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth4_reg,"{""catboost_quantile_055"": 0.5579999999999999, ""lgbm_l1_baseline"": 0.186, ""extra_trees_wide"": 0.186, ""catboost_quantile_055_depth4_reg"": 0.07}",1.03,0.6266845363828074,0.8730423679991038,0.3803267047665109,0.1269576320008962,0.0059585614828073785,,,0.0005944491828073772,keep
anchor_plus_catboost_quantile_055_depth4_reg_0.10,anchor_plus_catboost_quantile_055_depth4_reg_0.10,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth4_reg,"{""catboost_quantile_055"": 0.54, ""lgbm_l1_baseline"": 0.18000000000000002, ""extra_trees_wide"": 0.18000000000000002, ""catboost_quantile_055_depth4_reg"": 0.1}",1.03,0.6262826972863482,0.873015912911902,0.37954948166079455,0.12698408708809808,0.00555672238634819,,,0.00019261008634818833,stability
anchor_plus_catboost_quantile_055_depth4_reg_0.15,anchor_plus_catboost_quantile_055_depth4_reg_0.15,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth4_reg,"{""catboost_quantile_055"": 0.51, ""lgbm_l1_baseline"": 0.17, ""extra_trees_wide"": 0.17, ""catboost_quantile_055_depth4_reg"": 0.15}",1.03,0.6266340365755693,0.8729604041568826,0.3803076689942559,0.12703959584311747,0.005908061675569232,,,0.0005439493755692304,keep
anchor_plus_catboost_quantile_055_depth4_reg_0.20,anchor_plus_catboost_quantile_055_depth4_reg_0.20,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_055_depth4_reg,"{""catboost_quantile_055"": 0.48, ""lgbm_l1_baseline"": 0.16000000000000003, ""extra_trees_wide"": 0.16000000000000003, ""catboost_quantile_055_depth4_reg"": 0.2}",1.03,0.6262920962454954,0.8728877473187754,0.3796964451722154,0.12711225268122464,0.0055661213454953895,,,0.00020200904549538823,stability
anchor_plus_catboost_quantile_0525_depth6_0.01,anchor_plus_catboost_quantile_0525_depth6_0.01,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_0525_depth6,"{""catboost_quantile_055"": 0.594, ""lgbm_l1_baseline"": 0.198, ""extra_trees_wide"": 0.198, ""catboost_quantile_0525_depth6"": 0.01}",1.03,0.62625176857935,0.8730755346226898,0.37942800253601033,0.12692446537731014,0.005525793679350022,,,0.00016168137935002047,stability
anchor_plus_catboost_quantile_0525_depth6_0.03,anchor_plus_catboost_quantile_0525_depth6_0.03,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_0525_depth6,"{""catboost_quantile_055"": 0.582, ""lgbm_l1_baseline"": 0.194, ""extra_trees_wide"": 0.194, ""catboost_quantile_0525_depth6"": 0.03}",1.03,0.6263955201853147,0.8730573399086784,0.37973370046195104,0.1269426600913216,0.005669545285314714,,,0.0003054329853147131,keep
