model_id,reference_id,target,pearson,spearman,both_outside_8pct_rate,model_better_abs_error_rate,actual_weighted_boundary_gain
autogluon_tabular,lgbm_l1_baseline,kpx_group_1,0.9130813455889639,0.8925000339336915,0.4758468630988174,0.4546001202645821,4674376.925
autogluon_tabular,lgbm_l1_baseline,kpx_group_2,0.9463035490688326,0.9235371557262423,0.4579983922829582,0.5329581993569131,5462315.309
autogluon_tabular,lgbm_l1_baseline,kpx_group_3,0.9338821418814682,0.934271655199375,0.5593517301795883,0.4837932544897065,3507012.0599999996
autogluon_tabular,current_best_anchor,kpx_group_1,0.923763575577069,0.9074321926818122,0.4764481860092203,0.44417718981759874,4533418.985
autogluon_tabular,current_best_anchor,kpx_group_2,0.9527024668535272,0.935155779342493,0.4712620578778135,0.5221061093247589,4481105.748000001
autogluon_tabular,current_best_anchor,kpx_group_3,0.9385885310230447,0.9389844082433841,0.5593517301795883,0.47371879106438897,3215145.542
catboost_quantile_050_depth6,lgbm_l1_baseline,kpx_group_1,0.9579971719479551,0.946442641498878,0.5067147724994989,0.46662657847263983,3696971.182
catboost_quantile_050_depth6,lgbm_l1_baseline,kpx_group_2,0.9609437459336339,0.9454858888302895,0.4967845659163987,0.47568327974276525,3755431.261
catboost_quantile_050_depth6,lgbm_l1_baseline,kpx_group_3,0.9607654284159187,0.9584561589446108,0.5764345159877354,0.49605781865965837,2877387.409
catboost_quantile_050_depth6,current_best_anchor,kpx_group_1,0.9847241942008419,0.9802164485130977,0.535979154139106,0.40509120064141113,1753281.858
catboost_quantile_050_depth6,current_best_anchor,kpx_group_2,0.986126257017444,0.9792783236741378,0.5156752411575563,0.4272508038585209,2172655.585
catboost_quantile_050_depth6,current_best_anchor,kpx_group_3,0.9827255306768719,0.9816528398642027,0.5915462111257118,0.44130530004380203,1875857.113
catboost_quantile_0525_depth6,lgbm_l1_baseline,kpx_group_1,0.9568001149596448,0.9467308906847002,0.50210463018641,0.49428743235117256,4174718.217
catboost_quantile_0525_depth6,lgbm_l1_baseline,kpx_group_2,0.9611916124367784,0.9474192329395392,0.4857315112540193,0.48934887459807075,4442792.848999999
catboost_quantile_0525_depth6,lgbm_l1_baseline,kpx_group_3,0.9590422354970193,0.9568179930370866,0.5705212439772229,0.5203679369250985,3420753.7860000003
catboost_quantile_0525_depth6,current_best_anchor,kpx_group_1,0.9855096886704012,0.981802819028607,0.5327720986169573,0.4501904189216276,2381995.3310000002
catboost_quantile_0525_depth6,current_best_anchor,kpx_group_2,0.9873738143356592,0.9816103122737065,0.5108520900321544,0.4409163987138264,2612031.8610000005
catboost_quantile_0525_depth6,current_best_anchor,kpx_group_3,0.9822868698614179,0.9809491200365023,0.5946123521681997,0.46868155935173017,2093108.212
catboost_quantile_055_depth4_reg,lgbm_l1_baseline,kpx_group_1,0.952761927535336,0.9398731313248628,0.48767288033674083,0.49288434556023253,5067384.316000001
catboost_quantile_055_depth4_reg,lgbm_l1_baseline,kpx_group_2,0.9536095598955256,0.9384633661237284,0.4803054662379421,0.47729099678456594,4772523.916999999
catboost_quantile_055_depth4_reg,lgbm_l1_baseline,kpx_group_3,0.9513053956175115,0.9484724176162019,0.5558475689881734,0.5376697328077091,4428054.883
catboost_quantile_055_depth4_reg,current_best_anchor,kpx_group_1,0.9836395891605481,0.978562904585027,0.5225496091401083,0.447785127280016,3245576.023
catboost_quantile_055_depth4_reg,current_best_anchor,kpx_group_2,0.9841374038577255,0.9783758121865511,0.5078376205787781,0.4334807073954984,3007136.403
catboost_quantile_055_depth4_reg,current_best_anchor,kpx_group_3,0.9787374012220351,0.9772109608180103,0.581909767849321,0.49321068769163384,3092223.159
catboost_quantile_055_depth8,lgbm_l1_baseline,kpx_group_1,0.9517844224395174,0.9403131624754523,0.4916816997394267,0.5161354980958108,4797154.681
catboost_quantile_055_depth8,lgbm_l1_baseline,kpx_group_2,0.9593864742253608,0.9449057510271043,0.48311897106109325,0.505024115755627,4464314.03
catboost_quantile_055_depth8,lgbm_l1_baseline,kpx_group_3,0.9535685337908795,0.9516452175010985,0.558694699956198,0.5367936925098554,3858481.257
catboost_quantile_055_depth8,current_best_anchor,kpx_group_1,0.9839390371478183,0.9803779026220663,0.5295650430948086,0.4756464221286831,2516546.092
catboost_quantile_055_depth8,current_best_anchor,kpx_group_2,0.9866250812589322,0.9808131595258854,0.5130627009646302,0.4716639871382637,2533641.551
catboost_quantile_055_depth8,current_best_anchor,kpx_group_3,0.9795229502060864,0.9777034546983963,0.5856329391151993,0.5120455540954884,2419642.924
catboost_quantile_055,lgbm_l1_baseline,kpx_group_1,0.9528738016109801,0.9403424132513308,0.488474644217278,0.5103227099619162,5039904.32
catboost_quantile_055,lgbm_l1_baseline,kpx_group_2,0.9601851559115973,0.9465285677265577,0.48392282958199356,0.4971864951768489,4701408.571
catboost_quantile_055,lgbm_l1_baseline,kpx_group_3,0.9556658163212264,0.9533470025668883,0.5637319316688568,0.529347349978099,3861778.865
