model_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
autogluon_tabular__alpha,1,0.6066050245112973,0.8501635357774736,0.3630465132451208,0.14983646422252636,1492
autogluon_tabular__alpha,2,0.5744301760145775,0.85366005896034,0.29520029306881496,0.14633994103966,772
autogluon_tabular__alpha,3,0.5910352015473396,0.8570271254465073,0.3250432776481718,0.14297287455349275,1587
autogluon_tabular__alpha,4,0.6153980388469179,0.881734359364718,0.34906171832911786,0.11826564063528204,1166
autogluon_tabular__alpha,5,0.6110743684406028,0.8725971846211811,0.3495515522600246,0.12740281537881892,1545
autogluon_tabular__alpha,6,0.6061390891382519,0.8768137636338723,0.3354644146426313,0.1231862363661277,970
autogluon_tabular__alpha,7,0.598402096290624,0.8575807302393136,0.33922346234193457,0.14241926976068645,1577
autogluon_tabular__alpha,8,0.5872085033773228,0.8695854946449335,0.30483151210971204,0.13041450535506652,689
autogluon_tabular__alpha,9,0.6491043953356582,0.8987807300556411,0.3994280606156753,0.10121926994435892,837
autogluon_tabular__alpha,10,0.6160467763384517,0.879833001301757,0.35226055137514645,0.120166998698243,895
autogluon_tabular__alpha,11,0.5929797142911698,0.8630493474515005,0.32291008113083913,0.13695065254849947,963
autogluon_tabular__alpha,12,0.6186526376537435,0.8738118727749825,0.36349340253250434,0.12618812722501752,2038
catboost_quantile_050_depth6__alpha,1,0.6140676334376702,0.853257708007724,0.3748775588676163,0.14674229199227595,1492
catboost_quantile_050_depth6__alpha,2,0.5987125139236562,0.8593964624726566,0.3380285653746558,0.14060353752734342,772
catboost_quantile_050_depth6__alpha,3,0.6101514668395276,0.8580701989334792,0.3622327347455759,0.14192980106652076,1587
catboost_quantile_050_depth6__alpha,4,0.6092993814528969,0.8800313488858593,0.33856741401993445,0.11996865111414072,1166
catboost_quantile_050_depth6__alpha,5,0.6118828494189461,0.8694965456376116,0.3542691532002807,0.13050345436238844,1545
catboost_quantile_050_depth6__alpha,6,0.6045784094214149,0.8737950423235905,0.3353617765192393,0.12620495767640943,970
catboost_quantile_050_depth6__alpha,7,0.6101061115955303,0.862949473166178,0.3572627500248826,0.13705052683382205,1577
catboost_quantile_050_depth6__alpha,8,0.5965344667716966,0.8650377323884898,0.32803120115490353,0.13496226761151023,689
catboost_quantile_050_depth6__alpha,9,0.6130662106563771,0.8862344117682575,0.33989800954449684,0.1137655882317426,837
catboost_quantile_050_depth6__alpha,10,0.6023089613209917,0.8740392020401617,0.33057872060182153,0.12596079795983825,895
catboost_quantile_050_depth6__alpha,11,0.5949379818965629,0.8636999506130892,0.3261760131800365,0.1363000493869108,963
catboost_quantile_050_depth6__alpha,12,0.6572848969385646,0.8842899773428465,0.43027981653428266,0.11571002265715341,2038
catboost_quantile_0525_depth6__alpha,1,0.6253342752851836,0.8533778985292261,0.39729065204114106,0.14662210147077395,1492
catboost_quantile_0525_depth6__alpha,2,0.616517813586875,0.861705231169799,0.37133039600395085,0.13829476883020095,772
catboost_quantile_0525_depth6__alpha,3,0.6126225901428991,0.8580604995195573,0.36718468076624083,0.14193950048044265,1587
catboost_quantile_0525_depth6__alpha,4,0.6190502618390046,0.8821693574112658,0.35593116626674326,0.11783064258873417,1166
catboost_quantile_0525_depth6__alpha,5,0.6130519996844754,0.8716733092572034,0.3544306901117474,0.12832669074279654,1545
catboost_quantile_0525_depth6__alpha,6,0.6029457021245291,0.8738512795649569,0.3320401246841013,0.12614872043504313,970
catboost_quantile_0525_depth6__alpha,7,0.613014739845605,0.8639677391007039,0.36206174059050605,0.13603226089929613,1577
catboost_quantile_0525_depth6__alpha,8,0.589669426485128,0.8665616408489254,0.31277721212133064,0.13343835915107463,689
catboost_quantile_0525_depth6__alpha,9,0.6229842368115175,0.8894671314726106,0.35650134215042434,0.11053286852738937,837
catboost_quantile_0525_depth6__alpha,10,0.6069453596933312,0.875217095535001,0.3386736238516614,0.12478290446499891,895
catboost_quantile_0525_depth6__alpha,11,0.6097463927242714,0.8662983466542746,0.3531944387942682,0.1337016533457254,963
