model_id,target,nmae,ficr,eligible_hours,group_score
autogluon_tabular__alpha,kpx_group_1,0.12456742852605333,0.3408056087048545,4989,0.6081190900894006
autogluon_tabular__alpha,kpx_group_2,0.12350034137833453,0.4223643450114554,4976,0.6494320018165605
autogluon_tabular__alpha,kpx_group_3,0.14639859895242976,0.2686363039825013,4566,0.5611188525150358
catboost_quantile_055__alpha,kpx_group_1,0.11979541908332973,0.4044478082404315,4989,0.6423261945785509
catboost_quantile_055__alpha,kpx_group_2,0.1280503898583972,0.43096263835284376,4976,0.6514561242472232
catboost_quantile_055__alpha,kpx_group_3,0.14120560642345314,0.2895716180611912,4566,0.574183005818869
catboost_rmse__alpha,kpx_group_1,0.11827239225623329,0.3801264109772227,4989,0.6309270093604947
catboost_rmse__alpha,kpx_group_2,0.12283826312143967,0.41248921567092095,4976,0.6448254762747406
catboost_rmse__alpha,kpx_group_3,0.14497184880842542,0.2732587542005738,4566,0.5641434526960742
elastic_net__alpha,kpx_group_1,0.12603437668064618,0.35403241615177156,4989,0.6139990197355627
elastic_net__alpha,kpx_group_2,0.14483380979806545,0.30298135477038624,4976,0.5790737724861603
elastic_net__alpha,kpx_group_3,0.14876533666682376,0.26805379047361605,4566,0.5596442269033961
explainable_boosting__alpha,kpx_group_1,0.12186827058431832,0.3686525668380766,4989,0.6233921481268792
explainable_boosting__alpha,kpx_group_2,0.13074747022211286,0.383603699891398,4976,0.6264281148346426
explainable_boosting__alpha,kpx_group_3,0.15418244136684603,0.25312605903385027,4566,0.5494718088335021
extra_trees_wide__alpha,kpx_group_1,0.11992867916705202,0.35425527282531016,4989,0.6171632968291291
extra_trees_wide__alpha,kpx_group_2,0.12146273650217435,0.41615862807801324,4976,0.6473479457879194
extra_trees_wide__alpha,kpx_group_3,0.14482430613686129,0.2688031919070011,4566,0.5619894428850699
flaml_automl__alpha,kpx_group_1,0.12430227074404002,0.36487560937448266,4989,0.6202866693152214
flaml_automl__alpha,kpx_group_2,0.1376706255557907,0.3732711723195364,4976,0.6178002733818728
flaml_automl__alpha,kpx_group_3,0.16552482965832468,0.25313625136568263,4566,0.5438057108536789
gradient_boosting_quantile__alpha,kpx_group_1,0.1238619218002464,0.35697401600926565,4989,0.6165560471045096
gradient_boosting_quantile__alpha,kpx_group_2,0.12877996505120784,0.4027621395084455,4976,0.6369910872286189
gradient_boosting_quantile__alpha,kpx_group_3,0.13865526377864545,0.30842647161278447,4566,0.5848856039170696
h2o_automl__alpha,kpx_group_1,0.12205013108842333,0.38760900950354266,4989,0.6327794392075596
h2o_automl__alpha,kpx_group_2,0.12464757504095773,0.40369495958079843,4976,0.6395236922699203
h2o_automl__alpha,kpx_group_3,0.14875623923584586,0.27027102938461517,4566,0.5607573950743846
hist_gbdt_absolute__alpha,kpx_group_1,0.11932448209309661,0.39655910149009355,4989,0.6386173096984984
hist_gbdt_absolute__alpha,kpx_group_2,0.12500857889062403,0.4287883730457834,4976,0.6518898970775797
hist_gbdt_absolute__alpha,kpx_group_3,0.14321079231698572,0.274489835650672,4566,0.5656395216668431
huber_regressor__alpha,kpx_group_1,0.1272292152910352,0.361443900482677,4989,0.6171073425958209
huber_regressor__alpha,kpx_group_2,0.14143403142859104,0.31227810004703865,4976,0.5854220343092238
huber_regressor__alpha,kpx_group_3,0.1459801203408623,0.2867384104497592,4566,0.5703791450544484
knn_distance__alpha,kpx_group_1,0.15669398538887305,0.2406906921740366,4989,0.5419983533925818
knn_distance__alpha,kpx_group_2,0.1658354326523068,0.2534452029270331,4976,0.5438048851373631
knn_distance__alpha,kpx_group_3,0.18197983833045994,0.2055617850944541,4566,0.5117909733819971
lgbm_l1_baseline__alpha,kpx_group_1,0.11785922557727523,0.40886837138200616,4989,0.6455045729023654
lgbm_l1_baseline__alpha,kpx_group_2,0.12458699411380977,0.43537474183953045,4976,0.6553938738628603
lgbm_l1_baseline__alpha,kpx_group_3,0.14394733511787977,0.27028192179332794,4566,0.5631672933377241
linear_svr__alpha,kpx_group_1,0.3255456369656395,0.026078881118917045,4989,0.3502666220766388
linear_svr__alpha,kpx_group_2,0.3389721341285597,0.022985670301643172,4976,0.3420067680865418
linear_svr__alpha,kpx_group_3,0.3263882254306933,0.03214529225874531,4566,0.352878533414026
mlp_regressor__alpha,kpx_group_1,0.19668252551059187,0.19931742344532224,4989,0.5013174489673652
mlp_regressor__alpha,kpx_group_2,0.21719483925467098,0.18009149003654817,4976,0.4814483253909386
