ensemble_id,model_id,members,weights,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score
w2_lgbm_hist_gbdt_absolute_0.70,w2_lgbm_hist_gbdt_absolute_0.70,lgbm_l1_baseline+hist_gbdt_absolute,"{""lgbm_l1_baseline"": 0.7, ""hist_gbdt_absolute"": 0.30000000000000004}",1.03,0.6214890771448145,0.8715223858277887,0.3714557684618402,0.1284776141722113,0.000763102244814462,,
w2_lgbm_hist_gbdt_absolute_0.75,w2_lgbm_hist_gbdt_absolute_0.75,lgbm_l1_baseline+hist_gbdt_absolute,"{""lgbm_l1_baseline"": 0.75, ""hist_gbdt_absolute"": 0.25}",1.03,0.6213484411913018,0.871494021358126,0.3712028610244777,0.12850597864187396,0.0006224662913018042,,
w2_lgbm_hist_gbdt_absolute_0.80,w2_lgbm_hist_gbdt_absolute_0.80,lgbm_l1_baseline+hist_gbdt_absolute,"{""lgbm_l1_baseline"": 0.8, ""hist_gbdt_absolute"": 0.19999999999999996}",1.03,0.6214186546649363,0.871455221184084,0.3713820881457885,0.128544778815916,0.0006926797649362548,,
w2_lgbm_hist_gbdt_absolute_0.85,w2_lgbm_hist_gbdt_absolute_0.85,lgbm_l1_baseline+hist_gbdt_absolute,"{""lgbm_l1_baseline"": 0.85, ""hist_gbdt_absolute"": 0.15000000000000002}",1.03,0.6211562670300526,0.8714067215058652,0.37090581255424,0.1285932784941348,0.0004302921300525231,,
w2_lgbm_hist_gbdt_absolute_0.90,w2_lgbm_hist_gbdt_absolute_0.90,lgbm_l1_baseline+hist_gbdt_absolute,"{""lgbm_l1_baseline"": 0.9, ""hist_gbdt_absolute"": 0.09999999999999998}",1.03,0.6209064654950145,0.871348139665338,0.37046479132469096,0.12865186033466205,0.00018049059501445974,,
w2_lgbm_hist_gbdt_absolute_0.95,w2_lgbm_hist_gbdt_absolute_0.95,lgbm_l1_baseline+hist_gbdt_absolute,"{""lgbm_l1_baseline"": 0.95, ""hist_gbdt_absolute"": 0.050000000000000044}",1.03,0.6212311963523451,0.8712801557113483,0.371182236993342,0.12871984428865166,0.000505221452345106,,
w2_lgbm_hist_gbdt_absolute_1.00,w2_lgbm_hist_gbdt_absolute_1.00,lgbm_l1_baseline+hist_gbdt_absolute,"{""lgbm_l1_baseline"": 1.0, ""hist_gbdt_absolute"": 0.0}",1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.0006292718009832665,,
w2_lgbm_catboost_rmse_0.50,w2_lgbm_catboost_rmse_0.50,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.5, ""catboost_rmse"": 0.5}",1.03,0.620715333190196,0.872833764004894,0.36859690237549797,0.12716623599510601,-1.0641709804026789e-05,,
w2_lgbm_catboost_rmse_0.55,w2_lgbm_catboost_rmse_0.55,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.55, ""catboost_rmse"": 0.44999999999999996}",1.03,0.6214009495960098,0.8728111269663428,0.3699907722256767,0.1271888730336572,0.0006749746960097447,,
w2_lgbm_catboost_rmse_0.60,w2_lgbm_catboost_rmse_0.60,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.6, ""catboost_rmse"": 0.4}",1.03,0.6213522964521868,0.8727548190200247,0.36994977388434885,0.12724518097997534,0.0006263215521867815,,
w2_lgbm_catboost_rmse_0.65,w2_lgbm_catboost_rmse_0.65,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.65, ""catboost_rmse"": 0.35}",1.03,0.6216849296920142,0.8726693069485613,0.3707005524354671,0.12733069305143876,0.0009589547920141328,,
w2_lgbm_catboost_rmse_0.70,w2_lgbm_catboost_rmse_0.70,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.7, ""catboost_rmse"": 0.30000000000000004}",1.03,0.6215007454146468,0.8725515427321712,0.3704499480971224,0.12744845726782886,0.0007747705146468054,,
w2_lgbm_catboost_rmse_0.75,w2_lgbm_catboost_rmse_0.75,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.75, ""catboost_rmse"": 0.25}",1.03,0.6217460430224906,0.8724034708232113,0.37108861522176984,0.12759652917678863,0.0010200681224905583,0.605463577724254,0.615142707513089
w2_lgbm_catboost_rmse_0.80,w2_lgbm_catboost_rmse_0.80,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.8, ""catboost_rmse"": 0.19999999999999996}",1.03,0.6222953665614692,0.8722249512100902,0.3723657819128483,0.12777504878990972,0.0015693916614691883,0.605780208216885,0.6159791362307304
w2_lgbm_catboost_rmse_0.85,w2_lgbm_catboost_rmse_0.85,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.85, ""catboost_rmse"": 0.15000000000000002}",1.03,0.6214292832123226,0.8720154321318203,0.37084313429282495,0.12798456786817966,0.0007033083123225703,,
w2_lgbm_catboost_rmse_0.90,w2_lgbm_catboost_rmse_0.90,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.9, ""catboost_rmse"": 0.09999999999999998}",1.03,0.6215902110545879,0.8717744427016079,0.3714059794075679,0.12822555729839213,0.0008642361545878607,,
w2_lgbm_catboost_rmse_0.95,w2_lgbm_catboost_rmse_0.95,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 0.95, ""catboost_rmse"": 0.050000000000000044}",1.03,0.6216952139575671,0.8715023964925686,0.37188803142256566,0.12849760350743142,0.0009692390575670728,0.6050182860912894,0.6157471217303713
w2_lgbm_catboost_rmse_1.00,w2_lgbm_catboost_rmse_1.00,lgbm_l1_baseline+catboost_rmse,"{""lgbm_l1_baseline"": 1.0, ""catboost_rmse"": 0.0}",1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.0006292718009832665,,
w2_lgbm_gradient_boosting_quantile_0.50,w2_lgbm_gradient_boosting_quantile_0.50,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.5, ""gradient_boosting_quantile"": 0.5}",1.03,0.618788418503939,0.872865619354817,0.3647112176530609,0.127134380645183,-0.0019375563960610798,,
w2_lgbm_gradient_boosting_quantile_0.55,w2_lgbm_gradient_boosting_quantile_0.55,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.55, ""gradient_boosting_quantile"": 0.44999999999999996}",1.03,0.6188579183300171,0.8729185527387991,0.36479728392123517,0.12708144726120088,-0.001868056569982901,,
w2_lgbm_gradient_boosting_quantile_0.60,w2_lgbm_gradient_boosting_quantile_0.60,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.6, ""gradient_boosting_quantile"": 0.4}",1.03,0.6198239502359437,0.8729218224782196,0.3667260779936678,0.12707817752178038,-0.0009020246640563112,,
w2_lgbm_gradient_boosting_quantile_0.65,w2_lgbm_gradient_boosting_quantile_0.65,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.65, ""gradient_boosting_quantile"": 0.35}",1.03,0.6204153552753086,0.872884295989877,0.36794641456074006,0.12711570401012295,-0.0003106196246914772,,
w2_lgbm_gradient_boosting_quantile_0.70,w2_lgbm_gradient_boosting_quantile_0.70,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.7, ""gradient_boosting_quantile"": 0.30000000000000004}",1.03,0.6205229410873934,0.8727962586841719,0.36824962349061496,0.1272037413158281,-0.00020303381260666775,,
w2_lgbm_gradient_boosting_quantile_0.75,w2_lgbm_gradient_boosting_quantile_0.75,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.75, ""gradient_boosting_quantile"": 0.25}",1.03,0.6210964298574486,0.8726493470525483,0.3695435126623489,0.12735065294745176,0.0003704549574485849,,
w2_lgbm_gradient_boosting_quantile_0.80,w2_lgbm_gradient_boosting_quantile_0.80,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.8, ""gradient_boosting_quantile"": 0.19999999999999996}",1.03,0.6208111259225082,0.8724595819354969,0.36916266990951946,0.12754041806450314,8.515102250816753e-05,,
w2_lgbm_gradient_boosting_quantile_0.85,w2_lgbm_gradient_boosting_quantile_0.85,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.85, ""gradient_boosting_quantile"": 0.15000000000000002}",1.03,0.6212510164626912,0.8722193148917711,0.3702827180336113,0.12778068510822896,0.0005250415626911753,,
w2_lgbm_gradient_boosting_quantile_0.90,w2_lgbm_gradient_boosting_quantile_0.90,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.9, ""gradient_boosting_quantile"": 0.09999999999999998}",1.03,0.621077496425493,0.8719330477758619,0.3702219450751243,0.12806695222413808,0.00035152152549300375,,
