model_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
autogluon_tabular__alpha,1,0.6055392737661606,0.8509315380955119,0.36014700943680916,0.1490684619044881,1492
autogluon_tabular__alpha,2,0.5825786358544627,0.8539321599653285,0.31122511174359685,0.14606784003467152,772
autogluon_tabular__alpha,3,0.5935438513705144,0.8569799427570053,0.33010775998402336,0.14302005724299474,1587
autogluon_tabular__alpha,4,0.6113500276895855,0.8813422247283956,0.34135783065077535,0.11865777527160437,1166
autogluon_tabular__alpha,5,0.6118070823151297,0.8738280681241021,0.3497860965061574,0.12617193187589795,1545
autogluon_tabular__alpha,6,0.5981911956975358,0.8762784145165795,0.32010397687849207,0.1237215854834205,970
autogluon_tabular__alpha,7,0.6003045774168992,0.8581209907510838,0.3424881640827147,0.1418790092489162,1577
autogluon_tabular__alpha,8,0.5952047285865767,0.8685501903531709,0.3218592668199824,0.13144980964682904,689
autogluon_tabular__alpha,9,0.6528933162849149,0.8986168896740054,0.40716974289582425,0.10138311032599455,837
autogluon_tabular__alpha,10,0.610510432285683,0.8795269904741965,0.3414938740971696,0.12047300952580349,895
autogluon_tabular__alpha,11,0.5876225639362791,0.8612165601211301,0.3140285677514281,0.1387834398788699,963
autogluon_tabular__alpha,12,0.6260787610273698,0.8748227741749911,0.3773347478797486,0.12517722582500893,2038
catboost_quantile_055__alpha,1,0.6268917204546662,0.8534098179109817,0.4003736229983508,0.14659018208901828,1492
catboost_quantile_055__alpha,2,0.610350954464604,0.8616771802585744,0.35902472867063345,0.13832281974142555,772
catboost_quantile_055__alpha,3,0.618659604447332,0.8595896063871676,0.37772960250749654,0.1404103936128324,1587
catboost_quantile_055__alpha,4,0.6226494898990975,0.8833288368754161,0.361970142922779,0.11667116312458396,1166
catboost_quantile_055__alpha,5,0.6183575401583192,0.871461977409689,0.3652531029069495,0.12853802259031097,1545
catboost_quantile_055__alpha,6,0.6014146204632043,0.8724405328018994,0.3303887081245091,0.1275594671981006,970
catboost_quantile_055__alpha,7,0.6092736611021602,0.8637363544161989,0.35481096778812143,0.13626364558380116,1577
catboost_quantile_055__alpha,8,0.5932831179721162,0.8638300084916631,0.32273622745256925,0.1361699915083369,689
catboost_quantile_055__alpha,9,0.6176685709364905,0.888690960579372,0.346646181293609,0.11130903942062798,837
catboost_quantile_055__alpha,10,0.6090809373160024,0.8770195911057638,0.3411422835262412,0.12298040889423618,895
catboost_quantile_055__alpha,11,0.6034752029780666,0.8652462928124075,0.34170411314372556,0.13475370718759247,963
catboost_quantile_055__alpha,12,0.6669325607256249,0.8836508910688007,0.450214230382449,0.11634910893119932,2038
catboost_rmse__alpha,1,0.615146204039999,0.8556156872653438,0.37467672081465425,0.14438431273465627,1492
catboost_rmse__alpha,2,0.5896082168958501,0.8578593112811875,0.32135712251051257,0.1421406887188125,772
catboost_rmse__alpha,3,0.5992333895275267,0.8580749698026904,0.34039180925236295,0.14192503019730965,1587
catboost_rmse__alpha,4,0.6215207895527467,0.8858338140240238,0.3572077650814696,0.11416618597597612,1166
catboost_rmse__alpha,5,0.6264345666891165,0.8771965721441848,0.3756725612340482,0.12280342785581526,1545
catboost_rmse__alpha,6,0.6040184664047143,0.8774563121290636,0.330580620680365,0.12254368787093639,970
catboost_rmse__alpha,7,0.6064573560796216,0.8621787088630042,0.35073600329623894,0.1378212911369958,1577
catboost_rmse__alpha,8,0.5962630835074704,0.867119076122223,0.32540709089271774,0.13288092387777692,689
catboost_rmse__alpha,9,0.6360799155912094,0.8956074221753509,0.37655240900706777,0.10439257782464911,837
catboost_rmse__alpha,10,0.6185270651123217,0.8811601926918959,0.35589393753274745,0.11883980730810405,895
catboost_rmse__alpha,11,0.5795106295766748,0.8645960661847875,0.294425192968562,0.13540393381521257,963
catboost_rmse__alpha,12,0.6408541718092049,0.8799193923728975,0.40178895124551217,0.12008060762710253,2038
elastic_net__alpha,1,0.6030455882530942,0.8532575861453723,0.352833590360816,0.1467424138546277,1492
elastic_net__alpha,2,0.5591048192605823,0.8292428277339081,0.28896681078725656,0.17075717226609188,772
elastic_net__alpha,3,0.5857060956874606,0.8563262224853425,0.3150859688895787,0.14367377751465746,1587
elastic_net__alpha,4,0.5845480492307218,0.8736719249317653,0.2954241735296783,0.1263280750682347,1166
elastic_net__alpha,5,0.5857894961808916,0.8625993138307736,0.3089796785310095,0.13740068616922638,1545
elastic_net__alpha,6,0.591081188317767,0.8729700435922086,0.30919233304332544,0.12702995640779138,970
elastic_net__alpha,7,0.5726591250511359,0.8508452341551281,0.29447301594714376,0.14915476584487186,1577
elastic_net__alpha,8,0.5905216381508542,0.8728244297854957,0.3082188465162128,0.12717557021450435,689
elastic_net__alpha,9,0.6220429343611096,0.8896865817365348,0.35439928698568446,0.1103134182634652,837
elastic_net__alpha,10,0.5685568691567884,0.8566105977559166,0.2805031405576601,0.14338940224408334,895
elastic_net__alpha,11,0.5523059643448531,0.83774758139825,0.2668643472914563,0.16225241860174996,963
elastic_net__alpha,12,0.5939485179408477,0.8662851636426429,0.32161187223905247,0.13371483635735718,2038
explainable_boosting__alpha,1,0.5812289140671052,0.8345697423194353,0.3278880858147752,0.1654302576805647,1492
explainable_boosting__alpha,2,0.5926006786010268,0.858646695440225,0.32655466176182874,0.14135330455977507,772
explainable_boosting__alpha,3,0.5913906785194292,0.8529966045508123,0.3297847524880461,0.14700339544918772,1587
explainable_boosting__alpha,4,0.6233233888216455,0.8832781051714813,0.36336867247180976,0.11672189482851869,1166
explainable_boosting__alpha,5,0.6131477706517955,0.8686464307725562,0.3576491105310348,0.13135356922744376,1545
explainable_boosting__alpha,6,0.5892510708675087,0.8684394336533598,0.31006270808165765,0.13156056634664018,970
explainable_boosting__alpha,7,0.5896526809357413,0.8598313849241991,0.31947397694728347,0.14016861507580092,1577
explainable_boosting__alpha,8,0.6076071360962816,0.873548196660593,0.34166607553197026,0.12645180333940698,689
explainable_boosting__alpha,9,0.6324618003817093,0.8959315352097202,0.3689920655536984,0.10406846479027972,837
explainable_boosting__alpha,10,0.5976996160698838,0.871547283574976,0.3238519485647914,0.12845271642502396,895
explainable_boosting__alpha,11,0.582611860105056,0.8642442553349647,0.30097946487514715,0.13575574466503526,963
explainable_boosting__alpha,12,0.6110414894170852,0.8664930142408503,0.35558996459332026,0.13350698575914965,2038
extra_trees_wide__alpha,1,0.5959515434127578,0.8502206406299253,0.34168244619559035,0.1497793593700747,1492
extra_trees_wide__alpha,2,0.5752631657320634,0.855653141082021,0.29487319038210574,0.14434685891797905,772
extra_trees_wide__alpha,3,0.6094765354551317,0.8646946435484612,0.3542584273618023,0.13530535645153882,1587
extra_trees_wide__alpha,4,0.6216065059619487,0.8873127644493699,0.3559002474745274,0.11268723555063011,1166
extra_trees_wide__alpha,5,0.6175339894259428,0.8767635120940475,0.3583044667578383,0.12323648790595258,1545
extra_trees_wide__alpha,6,0.6063511519528251,0.8793058676950556,0.3333964362105946,0.12069413230494441,970
extra_trees_wide__alpha,7,0.6028384593790934,0.8590877057724855,0.3465892129857013,0.1409122942275145,1577
extra_trees_wide__alpha,8,0.6137355514452729,0.8735970445651331,0.35387405832541274,0.12640295543486693,689
extra_trees_wide__alpha,9,0.6282439180727152,0.8947045982833788,0.3617832378620515,0.10529540171662126,837
extra_trees_wide__alpha,10,0.588024827879521,0.8736522476561499,0.3023974081028923,0.12634775234385007,895
extra_trees_wide__alpha,11,0.5664201178951153,0.8588336324763306,0.2740066033138999,0.14116636752366943,963
extra_trees_wide__alpha,12,0.6455614145384899,0.8843372948164517,0.40678553426052805,0.11566270518354826,2038
flaml_automl__alpha,1,0.5860512318617288,0.8393760790532344,0.33272638467022325,0.16062392094676559,1492
flaml_automl__alpha,2,0.571366427886249,0.8457307426148521,0.29700211315764585,0.15426925738514788,772
flaml_automl__alpha,3,0.5855152799317696,0.8470881891655543,0.3239423706979847,0.1529118108344457,1587
flaml_automl__alpha,4,0.6091253205059982,0.875374964235354,0.3428756767766424,0.12462503576464605,1166
flaml_automl__alpha,5,0.5924814865087475,0.8605094887809364,0.3244534842365587,0.1394905112190637,1545
flaml_automl__alpha,6,0.5895436966550798,0.8658610743957065,0.313226318914453,0.13413892560429347,970
flaml_automl__alpha,7,0.5773599785838177,0.843620148404139,0.3110998087634963,0.15637985159586099,1577
flaml_automl__alpha,8,0.5942192890158703,0.8567998956158904,0.33163868241585015,0.1432001043841096,689
flaml_automl__alpha,9,0.6182485304896208,0.8826279536447044,0.35386910733453725,0.11737204635529559,837
flaml_automl__alpha,10,0.6080007521370074,0.8704932808178744,0.34550822345614046,0.12950671918212567,895
flaml_automl__alpha,11,0.5696775965895868,0.8465511011927384,0.2928040919864352,0.15344889880726167,963
flaml_automl__alpha,12,0.6213958216138662,0.8669716389162546,0.3758200043114779,0.13302836108374538,2038
gradient_boosting_quantile__alpha,1,0.6021755854894434,0.8520411258219466,0.35231004515694014,0.1479588741780534,1492
gradient_boosting_quantile__alpha,2,0.5979965626786672,0.8612699873315234,0.3347231380258109,0.13873001266847665,772
gradient_boosting_quantile__alpha,3,0.6037879442050226,0.8597344298374912,0.34784145857255394,0.14026557016250887,1587
gradient_boosting_quantile__alpha,4,0.5994756710173652,0.8780482199039497,0.3209031221307808,0.12195178009605039,1166
gradient_boosting_quantile__alpha,5,0.6047759426675554,0.8670854196309531,0.34246646570415784,0.13291458036904688,1545
gradient_boosting_quantile__alpha,6,0.5978436117297933,0.8730917237475827,0.3225954997120038,0.12690827625241732,970
gradient_boosting_quantile__alpha,7,0.6070307099750466,0.8651866084667044,0.34887481148338884,0.13481339153329558,1577
gradient_boosting_quantile__alpha,8,0.6159456813483746,0.870791777102874,0.361099585593875,0.129208222897126,689
gradient_boosting_quantile__alpha,9,0.6160675772859003,0.8884912897946494,0.34364386477715136,0.11150871020535054,837
gradient_boosting_quantile__alpha,10,0.5856902693860848,0.8651102848366701,0.3062702539354995,0.1348897151633299,895
gradient_boosting_quantile__alpha,11,0.5881002686371871,0.8660600295331159,0.3101405077412584,0.13393997046688413,963
gradient_boosting_quantile__alpha,12,0.6677247948273454,0.8867113582150555,0.44873823143963526,0.11328864178494451,2038
h2o_automl__alpha,1,0.6002340787465816,0.8477209013000118,0.35274725619315145,0.1522790986999882,1492
h2o_automl__alpha,2,0.5856291632936483,0.8590830101441707,0.3121753164431261,0.14091698985582932,772
h2o_automl__alpha,3,0.6178342741333207,0.8616261711199901,0.37404237714665123,0.13837382888000993,1587
h2o_automl__alpha,4,0.6145634264002352,0.8800097089222662,0.3491171438782042,0.1199902910777338,1166
h2o_automl__alpha,5,0.6334321609288728,0.8767841842364679,0.39008013762127763,0.12321581576353217,1545
h2o_automl__alpha,6,0.5964020876097902,0.8742010802864044,0.3186030949331759,0.12579891971359564,970
h2o_automl__alpha,7,0.5983037002084384,0.8582892336711873,0.33831816674568943,0.14171076632881274,1577
h2o_automl__alpha,8,0.6059141911426085,0.8678131082930579,0.3440152739921591,0.13218689170694212,689
h2o_automl__alpha,9,0.6197838845036133,0.8872313631699545,0.35233640583727216,0.11276863683004541,837
h2o_automl__alpha,10,0.6003750759059974,0.8750969632582054,0.3256531885537893,0.12490303674179455,895
h2o_automl__alpha,11,0.6065809774524223,0.8639114437067663,0.34925051119807843,0.13608855629323371,963
h2o_automl__alpha,12,0.6279338316519067,0.8745676162418622,0.38130004706195125,0.12543238375813784,2038
hist_gbdt_absolute__alpha,1,0.6276727774929871,0.8551567529134312,0.4001888020725431,0.14484324708656884,1492
hist_gbdt_absolute__alpha,2,0.604860776133057,0.8608022219383403,0.3489193303277736,0.13919777806165964,772
hist_gbdt_absolute__alpha,3,0.6090994915771439,0.8602284284881284,0.35797055466615957,0.13977157151187156,1587
hist_gbdt_absolute__alpha,4,0.6108106383249383,0.8816046059162003,0.3400166707336763,0.11839539408379977,1166
hist_gbdt_absolute__alpha,5,0.6308883477544512,0.8760843087646846,0.38569238674421796,0.12391569123531539,1545
hist_gbdt_absolute__alpha,6,0.6001499196084012,0.8739047642016535,0.3263950750151491,0.12609523579834644,970
hist_gbdt_absolute__alpha,7,0.5987855488129422,0.8613428393353021,0.3362282582905823,0.13865716066469788,1577
hist_gbdt_absolute__alpha,8,0.6088236900682309,0.8682072479298164,0.34944013220664544,0.1317927520701836,689
hist_gbdt_absolute__alpha,9,0.6267643227365742,0.8905458012862902,0.3629828441868581,0.10945419871370976,837
hist_gbdt_absolute__alpha,10,0.6085001269311128,0.8770864839489269,0.3399137699132986,0.12291351605107319,895
hist_gbdt_absolute__alpha,11,0.5995233684929425,0.8660125214000229,0.33303421558586205,0.13398747859997706,963
hist_gbdt_absolute__alpha,12,0.6531988986003846,0.8822607324050902,0.42413706479567903,0.11773926759490977,2038
huber_regressor__alpha,1,0.6007528135523421,0.8514336744521569,0.35007195265252733,0.14856632554784308,1492
huber_regressor__alpha,2,0.5932735868669993,0.8477584587253478,0.33878871500865065,0.15224154127465214,772
huber_regressor__alpha,3,0.5975109769621303,0.8600244068262741,0.3349975470979865,0.13997559317372593,1587
huber_regressor__alpha,4,0.5836181966477544,0.8745804470802223,0.2926559462152864,0.12541955291977772,1166
huber_regressor__alpha,5,0.5792983022990493,0.8605399580779638,0.2980566465201349,0.13946004192203618,1545
huber_regressor__alpha,6,0.5911854782517824,0.8719938828466263,0.3103770736569385,0.1280061171533737,970
huber_regressor__alpha,7,0.5665267985809744,0.8469409211254588,0.28611267603649004,0.15305907887454123,1577
huber_regressor__alpha,8,0.6013104882966852,0.8776663794382057,0.32495459715516467,0.12233362056179427,689
huber_regressor__alpha,9,0.6049244695485869,0.8838883176751627,0.3259606214220112,0.11611168232483726,837
huber_regressor__alpha,10,0.5821574404699096,0.8606674833837544,0.30364739755606474,0.13933251661624557,895
huber_regressor__alpha,11,0.56556211661536,0.8413082303868724,0.2898160028438476,0.15869176961312756,963
huber_regressor__alpha,12,0.6138205886529066,0.8710522351618373,0.3565889421439758,0.1289477648381627,2038
knn_distance__alpha,1,0.5193252919564093,0.8137154122313659,0.2249351716814528,0.1862845877686341,1492
knn_distance__alpha,2,0.5189924092183822,0.822093817776647,0.21589100066011746,0.177906182223353,772
knn_distance__alpha,3,0.5413828847837323,0.8340753129555238,0.24869045661194075,0.16592468704447616,1587
knn_distance__alpha,4,0.551278953316759,0.8561515651738694,0.24640634145964868,0.14384843482613066,1166
knn_distance__alpha,5,0.5336789542870051,0.8272198999478335,0.24013800862617662,0.17278010005216649,1545
knn_distance__alpha,6,0.5757082070661168,0.8594034726848863,0.2920129414473473,0.14059652731511374,970
knn_distance__alpha,7,0.45621819217231885,0.7652097572484929,0.14722662709614476,0.2347902427515071,1577
knn_distance__alpha,8,0.5290440356276364,0.8323078024506451,0.22578026880462768,0.16769219754935494,689
knn_distance__alpha,9,0.581232716176368,0.8771408834858255,0.28532454886691033,0.12285911651417443,837
knn_distance__alpha,10,0.5132903480620398,0.8199438086987607,0.20663688742531874,0.18005619130123932,895
knn_distance__alpha,11,0.5055966917235841,0.8278527523464604,0.18334063110070795,0.17214724765353964,963
knn_distance__alpha,12,0.5831043056095735,0.8626545657181208,0.30355404550102616,0.13734543428187915,2038
lgbm_l1_baseline__alpha,1,0.6236824321215324,0.8539016526969928,0.39346321154607206,0.1460983473030072,1492
lgbm_l1_baseline__alpha,2,0.6160518555280711,0.8630183321126417,0.3690853789435005,0.13698166788735838,772
lgbm_l1_baseline__alpha,3,0.617276800660023,0.8631137080571949,0.3714398932628511,0.1368862919428051,1587
lgbm_l1_baseline__alpha,4,0.619956171633242,0.8833728007927806,0.3565395424737034,0.11662719920721942,1166
lgbm_l1_baseline__alpha,5,0.6255490613311911,0.874327499384174,0.37677062327820837,0.12567250061582605,1545
lgbm_l1_baseline__alpha,6,0.6038066015731703,0.874282014787002,0.33333118835933867,0.125717985212998,970
lgbm_l1_baseline__alpha,7,0.6067595298932661,0.8632018132994559,0.3503172464870763,0.13679818670054417,1577
lgbm_l1_baseline__alpha,8,0.6140349210918059,0.8670293910121016,0.3610404511715102,0.13297060898789842,689
lgbm_l1_baseline__alpha,9,0.6295822368003818,0.8917419869615909,0.3674224866391727,0.10825801303840905,837
lgbm_l1_baseline__alpha,10,0.6026838369238885,0.8741336227263576,0.3312340511214193,0.1258663772736424,895
lgbm_l1_baseline__alpha,11,0.6131558710915328,0.8681024174810615,0.3582093247020041,0.1318975825189385,963
lgbm_l1_baseline__alpha,12,0.6492868006780896,0.8817439869300051,0.4168296144261743,0.11825601306999485,2038
linear_svr__alpha,1,0.3293766318039516,0.6300169095042076,0.028736354103695544,0.3699830904957923,1492
linear_svr__alpha,2,0.3062745097503574,0.5944014084483533,0.018147611052361515,0.40559859155164674,772
linear_svr__alpha,3,0.3685769182275508,0.6968824847743953,0.04027135168070625,0.30311751522560465,1587
linear_svr__alpha,4,0.36994735329238493,0.7158317255014208,0.024062981083349033,0.2841682744985791,1166
linear_svr__alpha,5,0.34633610667483006,0.6632801300216655,0.029392083327994634,0.33671986997833453,1545
linear_svr__alpha,6,0.4154082426849281,0.7613492585026194,0.06946722686723687,0.23865074149738064,970
linear_svr__alpha,7,0.32404212786365333,0.6270665015087438,0.021017754218562903,0.3729334984912562,1577
linear_svr__alpha,8,0.3653789944147448,0.7033593897419557,0.027398599087533948,0.29664061025804433,689
linear_svr__alpha,9,0.39441759261262227,0.7613279094546782,0.027507275770566376,0.23867209054532182,837
linear_svr__alpha,10,0.3738462537300025,0.7110497089639936,0.03664279849601144,0.28895029103600645,895
linear_svr__alpha,11,0.331997062097469,0.6443800570890896,0.01961406710584829,0.3556199429109103,963
linear_svr__alpha,12,0.3160611336148778,0.6171902061861871,0.014932061043568451,0.38280979381381286,2038
mlp_regressor__alpha,1,0.5033197184158508,0.7870379258344911,0.21960151099721056,0.21296207416550894,1492
mlp_regressor__alpha,2,0.43279497143963336,0.7281615605815102,0.13742838229775656,0.27183843941848984,772
mlp_regressor__alpha,3,0.49093591203112164,0.7936287790528649,0.18824304500937836,0.20637122094713511,1587
mlp_regressor__alpha,4,0.4292642333063522,0.7734398282322565,0.08508863838044783,0.22656017176774346,1166
mlp_regressor__alpha,5,0.43880202393417655,0.7529535964176054,0.12465045145074777,0.24704640358239457,1545
mlp_regressor__alpha,6,0.5067030194052453,0.821556181015343,0.19184985779514754,0.178443818984657,970
mlp_regressor__alpha,7,0.49256325611797674,0.8007339927489933,0.1843925194869602,0.1992660072510067,1577
mlp_regressor__alpha,8,0.5128977667938778,0.8145169277834449,0.2112786058043106,0.18548307221655513,689
mlp_regressor__alpha,9,0.5177930684046769,0.8370374082662994,0.19854872854305441,0.16296259173370065,837
mlp_regressor__alpha,10,0.4347085765196982,0.7610750381648779,0.10834211487451845,0.23892496183512216,895
mlp_regressor__alpha,11,0.4405967173653006,0.7590756629293216,0.12211777180127964,0.24092433707067842,963
mlp_regressor__alpha,12,0.5503001570042578,0.8329641409192742,0.2676361730892414,0.16703585908072582,2038
ngboost_normal__alpha,1,0.5860461646167645,0.848802880951594,0.32328944828193507,0.15119711904840608,1492
ngboost_normal__alpha,2,0.588331265276759,0.8598204647239921,0.31684206582952595,0.14017953527600793,772
ngboost_normal__alpha,3,0.5955407375252633,0.8559232755874507,0.33515819946307585,0.14407672441254926,1587
ngboost_normal__alpha,4,0.5904259723747225,0.8743483570051537,0.30650358774429143,0.1256516429948463,1166
ngboost_normal__alpha,5,0.6082790615578794,0.8715594024645061,0.3449987206512526,0.12844059753549386,1545
ngboost_normal__alpha,6,0.6013882634769112,0.8761554843287878,0.32662104262503466,0.12384451567121225,970
ngboost_normal__alpha,7,0.6040073625873994,0.8614595774759926,0.34655514769880624,0.13854042252400747,1577
ngboost_normal__alpha,8,0.6124748537816278,0.8683958603592001,0.3565538472040555,0.1316041396407999,689
ngboost_normal__alpha,9,0.5878651102396987,0.880029846367881,0.29570037411151634,0.119970153632119,837
ngboost_normal__alpha,10,0.5886022413546929,0.8683862145177157,0.30881826819166996,0.13161378548228433,895
ngboost_normal__alpha,11,0.551371620935052,0.8496365709518745,0.2531066709182294,0.1503634290481255,963
ngboost_normal__alpha,12,0.6487502914205422,0.8817515585120395,0.4157490243290449,0.11824844148796054,2038
nystroem_ridge__alpha,1,0.4304464377330296,0.7444137820015928,0.11647909346446635,0.25558621799840725,1492
nystroem_ridge__alpha,2,0.41575647500053675,0.7281227349622301,0.10339021503884337,0.2718772650377699,772
nystroem_ridge__alpha,3,0.46170095592506855,0.7784597916574671,0.14494212019266994,0.22154020834253285,1587
nystroem_ridge__alpha,4,0.5455085650663432,0.8487831225640874,0.2422340075685988,0.15121687743591267,1166
nystroem_ridge__alpha,5,0.45897881991160605,0.7810147383196084,0.13694290150360364,0.21898526168039154,1545
nystroem_ridge__alpha,6,0.5477025310068259,0.8468145646911712,0.24859049732248042,0.1531854353088288,970
nystroem_ridge__alpha,7,0.3790492299108055,0.6914263703932049,0.06667208942840602,0.3085736296067952,1577
nystroem_ridge__alpha,8,0.5137091803012588,0.8285965239234994,0.19882183667901812,0.1714034760765006,689
nystroem_ridge__alpha,9,0.6475088686419805,0.8979150484390855,0.39710268884487565,0.10208495156091442,837
