model_id,target,pearson,spearman,both_outside_8pct_rate,model_better_abs_error_rate,actual_weighted_boundary_gain
autogluon_tabular,kpx_group_1,0.9096782723586866,0.8882002495347106,0.4722389256364001,0.4578071757867308,4824866.081
autogluon_tabular,kpx_group_2,0.9429652144032783,0.920377299084652,0.4565916398713826,0.5271302250803859,5441372.6559999995
autogluon_tabular,kpx_group_3,0.9467503092019005,0.9475688669363002,0.5641699518177836,0.4877354358300482,3387112.4799999995
catboost_quantile_055,kpx_group_1,0.9528738016109801,0.9403424132513308,0.488474644217278,0.5103227099619162,5039904.32
catboost_quantile_055,kpx_group_2,0.9601851559115973,0.9465285677265577,0.48392282958199356,0.4971864951768489,4701408.571
catboost_quantile_055,kpx_group_3,0.9556658163212264,0.9533470025668883,0.5637319316688568,0.529347349978099,3861778.865
catboost_rmse,kpx_group_1,0.9553208349783324,0.9412443431140043,0.4968931649629184,0.5147324113048707,3632667.9809999997
catboost_rmse,kpx_group_2,0.9593666445560155,0.9409564725720904,0.4805064308681672,0.5279340836012861,4030043.2430000002
catboost_rmse,kpx_group_3,0.9570681962929349,0.9536320816389671,0.5646079719667104,0.5124835742444153,3177497.9359999998
elastic_net,kpx_group_1,0.84080040539989,0.8121518574142621,0.4307476448186009,0.46983363399478856,7039320.18
elastic_net,kpx_group_2,0.8308308906797504,0.794350280595132,0.4352893890675241,0.4180064308681672,5985823.755000001
elastic_net,kpx_group_3,0.8091660062506575,0.8093927885620168,0.5026281208935611,0.48335523434077965,5763033.267
explainable_boosting,kpx_group_1,0.89432895868104,0.870623128181779,0.45520144317498495,0.4854680296652636,5857130.59
explainable_boosting,kpx_group_2,0.8936517094111369,0.8530767418563938,0.4447347266881029,0.47769292604501606,5955219.711999999
explainable_boosting,kpx_group_3,0.8714332285143789,0.8709128336074511,0.5251861585632939,0.47503285151116953,5097453.216
extra_trees_wide,kpx_group_1,0.9452382681089345,0.9275465415189955,0.49288434556023253,0.4902786129484867,3803101.8340000003
extra_trees_wide,kpx_group_2,0.9493172761586528,0.9249438229408578,0.4670418006430868,0.5329581993569131,4687625.177
extra_trees_wide,kpx_group_3,0.9470879079444625,0.942803971011076,0.5549715286903197,0.5116075339465616,3493677.0190000003
flaml_automl,kpx_group_1,0.9092691156797326,0.8903272781063712,0.47043495690519144,0.46802966526357986,5156795.569
flaml_automl,kpx_group_2,0.8650086008034539,0.8261249340632202,0.44352893890675243,0.4465434083601286,6554949.029
flaml_automl,kpx_group_3,0.8555259882833317,0.8474118330330815,0.529347349978099,0.4323258869908016,5245816.289
