experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8
oracle_very_high::B1_plus_fundamental_all,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08120711003542756,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13943275374641514,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11970861500975122,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.24339335783020488,-0.012870831775184758,-9.164032223931548,48,19,29
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07044284511124083,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847016899989905,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.1295624884064111,-0.005185884537065197,-4.356143011134765,87,44,43
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10299452418209623,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13230484442115287,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13110675131152713,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08818574231236707,-0.013591067334717983,-12.952287169986237,103,48,55
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08120711003542756,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13943275374641514,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11970861500975122,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.2511745464866343,-0.005089643118755357,-3.623825900553814,35,21,14
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07282528355677108,0.002382438445530234,0.5217540195711212,22,17,5
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847016899989905,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.12879263888672984,-0.005955734056746449,-5.002816607667017,86,46,40
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10095859114867707,-0.0020359330334191765,-0.4560489994858955,25,20,5
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13230484442115287,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13110675131152713,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08869591862105244,-0.013080891026032623,-12.46608914780909,92,57,35
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.0765530998689972,-0.004654010166430366,-0.9866501552832376,19,11,8
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13943275374641514,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11970861500975122,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.24915826508125616,-0.0071059245241334576,-5.059418261183022,44,20,24
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07044284511124083,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847016899989905,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.12879263888672984,-0.005955734056746449,-5.002816607667017,86,46,40
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10299452418209623,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13230484442115287,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13110675131152713,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08869591862105244,-0.013080891026032623,-12.46608914780909,92,57,35
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08120711003542756,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13943275374641514,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11970861500975122,0.0,0.0,0,0,0
oracle_very_high::B1_plus_proxy_power_curve,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.24915826508125616,-0.0071059245241334576,-5.059418261183022,44,20,24
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07048018893308904,3.7343821848208647e-05,0.008178296984757694,0,0,0
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.13101089080366907,0.0025407218037700515,4.093102825873553,80,85,-5
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.1168279338948708,0.002320648439301747,5.3815837307407515,0,5,-5
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.12432708543640628,-0.010421287507070009,-8.753881505938807,85,47,38
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10314230021225308,0.00014777603015683562,0.03310183075513118,0,0,0
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13811843637040278,0.005813591949249932,9.208729647611893,80,129,-49
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13521199420924526,0.004105242897718101,9.093113018445592,0,6,-6
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08866083225736984,-0.013115977389715221,-12.499526452398605,94,56,38
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08148621466927038,0.00027910463384280964,0.05917018237467564,0,0,0
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.1482075490339057,0.00877479528749056,11.872298023974727,101,149,-48
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.1256359843731292,0.005927369363377976,13.567748472772188,0,8,-8
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.2231808452036555,-0.03308334440173414,-23.55534121403471,48,14,34
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07048018893308904,3.7343821848208647e-05,0.008178296984757694,0,0,0
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12921107200834916,0.000740903008450129,1.1935947466131578,115,111,4
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11793542339332011,0.003428137937751041,7.949851877644663,0,14,-14
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.12593460070372606,-0.008813772239750196,-7.4035686813901656,85,47,38
