experiment,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,feature_count_group1,feature_count_group2,feature_count_group3,delta_score_vs_baseline,delta_ficr_vs_baseline,delta_nmae_vs_baseline
B1_aggregate,0.6117673564727266,0.8700286771288893,0.12997132287111068,0.3535060358165638,0.5917149198256562,0.6001969855349586,14531,286,286,286,0.0,0.0,0.0
B1_plus_soft_upstream,0.6103218475985174,0.8692122549811994,0.1307877450188006,0.35143144021583544,0.5788574536884957,0.5990460283192887,14531,293,293,293,-0.0014455088742092448,-0.0020745956007283683,0.0008164221476899269
B1_plus_fundamental_all,0.609730378299126,0.86559495115095,0.13440504884905005,0.35386580544730206,0.5842501133534141,0.6034786473618593,14531,298,298,298,-0.002036978173600601,0.0003597696307382492,0.004433725977939368
B1_plus_proxy_power_curve,0.6091781170841847,0.8650660909395302,0.1349339090604698,0.35329014322883917,0.5881941604437404,0.6020263510335996,14531,291,291,291,-0.002589239388541942,-0.00021589258772464204,0.004962586189359103
B1_plus_scada_wind_proxy,0.6090615993569144,0.8650033940464841,0.13499660595351595,0.3531198046673447,0.5870278480058365,0.6023452611331677,14531,289,289,289,-0.002705757115812224,-0.0003862311492190962,0.0050252830824052686
